,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Paulo Dybala Juventus,28, AM(CR),FW,26(7),2358,0.6,0.4,0.5,-,0.1,0.8,-,-,7.77
1,Luis Alberto Lazio,30, AM(CL),FW,32(2),2677,1.1,0.5,0.6,-,0.1,1,0.1,-,7.69
2,Faouzi Ghoulam Napoli,31, D(L),,11,987,0.7,1.4,0.9,0.1,1.2,0.2,0.2,-,7.65
3,Papu Gómez Atalanta,34, M(CLR),FW,31(2),2758,0.4,0.7,0.6,-,0.1,0.6,-,-,7.65
4,Lukasz Skorupski Roma,31, GK,,1,90,-,-,-,-,1.0,-,-,-,7.63
5,Aleksandar Kolarov Roma,36, D(CL),M(L),34(1),3061,1.7,1.5,0.7,0.3,2.4,0.6,0.2,-,7.52
6,Lorenzo Insigne Napoli,31, AM(CL),FW,36(1),3104,0.8,0.5,0.3,-,0.1,0.5,-,-,7.51
7,Alex Sandro Juventus,31, D(CL),M(L),23(3),2115,2.2,1.2,2,0.1,1.6,0.7,-,-,7.47
8,Douglas Costa Juventus,32, M(CLR),,18(13),1793,0.5,0.2,0.7,-,0.2,0.5,-,-,7.45
9,Felipe Anderson Lazio,29, M(CLR),FW,9(12),1152,1.6,0.5,0.4,-,0.2,1.4,-,-,7.45
10,Marco Silvestri Verona,31, GK,,2,180,-,0.5,-,-,-,-,-,-,7.44
11,Miralem Pjanic Juventus,32, M(C),,28(3),2489,1.2,2,1.3,-,0.8,1.2,0.1,1,7.42
12,Edin Dzeko Roma,36, FW,,33(3),3019,0.4,0.1,1,-,1,0.3,-,-,7.4
13,Josip Ilicic Atalanta,34, AM(CLR),FW,21(10),2004,0.8,0.5,0.7,-,-,0.7,-,-,7.39
14,Sergej Milinkovic-Savic Lazio,27, AM(C),,33(2),2850,1.6,0.9,1.7,-,0.9,1.1,0.2,-,7.39
15,Ciro Immobile Lazio,32, FW,,33,2697,0.1,-,0.6,-,0.2,0.5,-,-,7.39
16,Ivan Perisic Inter,33, M(CLR),FW,37,3316,1.3,1.2,0.7,-,1.5,1.3,0.2,1,7.35
17,Juan Cuadrado Juventus,34, D(R),M(CLR),15(6),1359,1.3,0.9,0.5,-,0.5,0.8,-,-,7.28
18,Mauro Icardi Inter,29, FW,,34,2971,0.1,0.1,0.5,-,0.7,0.2,0.2,-,7.28
19,Lucas Leiva Lazio,35, D(C),M(C),35(1),2894,3,1.9,1.2,0.1,1.5,2,0.2,-,7.26
20,Christian Puggioni Sampdoria,41, GK,,9,810,-,-,0.1,-,1.1,-,-,-,7.26
21,Federico Fazio Roma,35, D(C),,32(2),2920,1.6,1.4,0.7,0.9,4.6,0.2,0.6,-,7.26
22,Gonzalo Higuaín Juventus,34, FW,,32(3),2818,0.5,0.2,0.5,-,0.6,0.5,0.1,-,7.25
23,Medhi Benatia Juventus,35, D(C),,19(1),1755,1.4,2.2,1.4,0.3,4.3,0.4,0.6,-,7.25
24,Mattia De Sciglio Juventus,30, D(CLR),M(LR),10(2),967,1.8,1.2,0.6,0.2,1.9,0.3,0.2,-,7.24
25,Simone Verdi Bologna,30, AM(CLR),FW,34,2836,1,1.1,0.6,-,0.2,0.9,-,-,7.23
26,Lorenzo Tonelli Napoli,32, D(C),,3(1),350,1.8,1.8,0.3,2,2.5,1,0.3,-,7.23
