,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Paulo Dybala Juventus,28, AM(CR),FW,26(7),2358,5,1.6,38.0,87.3,0.8,2.3,-,7.77
1,Luis Alberto Lazio,30, AM(CL),FW,32(2),2677,14,2.6,47.0,79.9,1.8,2.5,0.4,7.69
2,Faouzi Ghoulam Napoli,31, D(L),,11,987,3,2.5,75.4,89.1,1.6,1.0,0.2,7.65
3,Papu Gómez Atalanta,34, M(CLR),FW,31(2),2758,10,2.9,37.7,81.9,2.3,1.5,0.2,7.65
4,Lukasz Skorupski Roma,31, GK,,1,90,-,-,26.0,73.1,-,8.0,-,7.63
5,Aleksandar Kolarov Roma,36, D(CL),M(L),34(1),3061,8,2.3,56.8,81.2,1.9,3.0,-,7.52
6,Lorenzo Insigne Napoli,31, AM(CL),FW,36(1),3104,11,2.8,65.9,85.2,0.3,1.3,0.2,7.51
7,Alex Sandro Juventus,31, D(CL),M(L),23(3),2115,4,1,54.7,86.4,1,4.2,0.1,7.47
8,Douglas Costa Juventus,32, M(CLR),,18(13),1793,12,1.9,30.2,84.0,1,1.9,-,7.45
9,Felipe Anderson Lazio,29, M(CLR),FW,9(12),1152,7,1.8,28.3,76.6,1,0.8,0.1,7.45
10,Marco Silvestri Verona,31, GK,,2,180,-,-,22.0,68.2,-,6.5,-,7.44
11,Miralem Pjanic Juventus,32, M(C),,28(3),2489,8,1.9,66.7,90.2,0.9,5.3,0.2,7.42
12,Edin Dzeko Roma,36, FW,,33(3),3019,4,1.4,21.3,70.8,0.1,1.6,0.1,7.4
13,Josip Ilicic Atalanta,34, AM(CLR),FW,21(10),2004,8,2.1,34.1,81.6,1.4,2.1,-,7.39
14,Sergej Milinkovic-Savic Lazio,27, AM(C),,33(2),2850,3,1.5,50.0,79.9,0.1,2.4,0.3,7.39
15,Ciro Immobile Lazio,32, FW,,33,2697,9,1.2,23.3,79.1,0.1,0.6,-,7.39
16,Ivan Perisic Inter,33, M(CLR),FW,37,3316,9,2,37.5,75.4,0.6,1.2,0.1,7.35
17,Juan Cuadrado Juventus,34, D(R),M(CLR),15(6),1359,6,1.9,35.9,89.0,1,3.3,-,7.28
18,Mauro Icardi Inter,29, FW,,34,2971,1,0.9,13.1,74.0,-,0.4,-,7.28
19,Lucas Leiva Lazio,35, D(C),M(C),35(1),2894,3,1.1,58.5,86.9,0.1,3.3,0.1,7.26
20,Christian Puggioni Sampdoria,41, GK,,9,810,-,-,28.2,66.9,-,8.0,-,7.26
21,Federico Fazio Roma,35, D(C),,32(2),2920,-,0.1,58.4,84.4,0.1,3.4,-,7.26
22,Gonzalo Higuaín Juventus,34, FW,,32(3),2818,6,0.9,19.9,80.4,-,1.3,0.1,7.25
23,Medhi Benatia Juventus,35, D(C),,19(1),1755,-,0.1,69.3,90.5,-,3.5,-,7.25
24,Mattia De Sciglio Juventus,30, D(CLR),M(LR),10(2),967,-,0.5,57.6,89.9,0.3,3.8,-,7.24
25,Simone Verdi Bologna,30, AM(CLR),FW,34,2836,10,1.5,31.6,78.0,1.3,2.4,-,7.23
26,Lorenzo Tonelli Napoli,32, D(C),,3(1),350,-,-,58.0,94.0,-,1.5,-,7.23
27,Suso AC Milan,28, AM(CLR),FW,33(2),2847,7,2.3,40.0,81.3,1.1,2.6,0.1,7.22
28,Antonio Santurro Bologna,30, Goalkeeper,,1,90,-,-,42.0,47.6,-,17.0,-,7.22
29,José Callejón Napoli,35, M(LR),FW,38,3247,10,1.9,37.9,84.3,1.1,1.5,-,7.22
30,Adem Ljajic Torino,31, AM(CLR),FW,23(4),2155,10,2.5,43.0,82.1,1.2,1.0,0.1,7.21
31,Dries Mertens Napoli,35, AM(CLR),FW,35(3),3013,6,1.5,25.6,75.5,0.2,0.6,0.3,7.21
32,Milan Skriniar Inter,27, D(C),,38,3420,-,0.2,62.6,91.2,-,2.7,0.1,7.2
33,Rafinha Inter,30, M(CLR),,12(5),1048,3,1.7,43.1,89.5,0.2,1.2,-,7.2
34,Marcelo Brozovic Inter,29, M(CR),,21(10),1924,9,2.0,53.7,87.9,1,4.2,0.2,7.2
35,Benedikt Höwedes Juventus,34, D(CLR),,3,248,-,0.7,69.7,92.8,0.7,1.3,-,7.19
