,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
141,Jacques-Alaixys Romao Marseille,38, D(C),M(C),36,3214,-,0.3,42.5,86.6,-,3.2,0.1,6.93
142,Jean-Daniel Akpa Akpro Toulouse,30, D(R),M(CLR),18(4),1483,2,0.6,28.5,76.5,0.8,0.7,-,6.93
143,Maxime Dupé Nantes,29, GK,,4,360,-,0.3,19.8,54.4,-,8.8,-,6.93
144,Radamel Falcao Monaco,36, FW,,16(1),1394,-,0.5,21.5,84.7,0.1,0.4,-,6.93
145,Mickaël Malsa Sochaux,27, DMC,,4,348,1,0.3,26.5,63.2,-,2.3,0.3,6.92
146,Florian Thauvin Marseille,29, M(CLR),FW,25(6),2096,3,1.0,21.9,76.6,0.9,1.5,0.1,6.92
147,Florian Marange Sochaux,36, D(CL),,15,1345,-,0.7,31.1,70.0,0.9,2.5,-,6.92
148,Issiaga Sylla Toulouse,28, D(LR),M(L),26(6),2445,1,0.7,33.2,77.9,0.9,0.6,-,6.92
149,Bakary Koné Lyon,34, D(C),,18(6),1749,1,0.2,30.5,86.1,-,2.9,-,6.92
150,Étienne Didot Toulouse,39, M(C),,28(5),2466,3,1.8,54.1,78.8,1.2,2.5,0.1,6.92
151,Uros Spajic Toulouse,29, D(C),,32,2591,1,0.1,30.1,84.3,-,1.8,-,6.91
152,Kassim Abdallah Evian,35, D(R),,10(1),891,1,0.8,27.3,70.7,0.8,1.0,-,6.91
153,Geoffrey Kondogbia Monaco,29, D(C),DMC,17(9),1569,2,0.5,44.7,87.4,0.1,2.0,0.1,6.9
154,Tongo Doumbia Valenciennes,33, M(C),,34(2),3005,3,0.5,39.9,86.0,0.1,2.5,0.1,6.9
155,Ali Ahamada Toulouse,31, GK,,21,1890,-,-,11.9,52.6,-,2.9,-,6.9
156,Morgan Sanson Montpellier,28, M(CLR),,28(4),2469,2,0.9,34.9,79.5,0.3,3.3,0.1,6.9
157,Mevlüt Erdinç Saint-Etienne,35, FW,,19(8),1670,2,0.8,11.8,71.1,0.1,0.3,-,6.89
158,Cheick Diabaté Bordeaux,34, FW,,18(7),1692,-,0.6,18.7,76.9,-,0.4,-,6.89
159,Salvatore Sirigu PSG,35, GK,,37,3330,-,-,13.4,70.8,-,2.9,-,6.89
160,Majeed Waris Valenciennes,31, AM(LR),FW,16,1388,3,1.3,13.6,80.3,0.1,0.4,0.1,6.89
161,Vincent Aboubakar Lorient,30, AM(R),FW,33(2),2928,7,1.1,24.8,76.2,0.1,1.3,-,6.88
162,Wissam Ben Yedder Toulouse,32, AM(C),FW,35(3),3013,5,1,28.4,76.0,0.4,0.4,0.2,6.88
163,Samuel Umtiti Lyon,28, D(CL),,27(1),2344,-,0.1,39.8,85.6,-,3.9,-,6.88
164,Jesper Hansen Evian,37, GK,,22,1980,-,-,21.1,39.2,-,5.8,-,6.88
165,Stéphane Ruffier Saint-Etienne,36, GK,,38,3420,-,-,19.0,54.6,-,5.4,-,6.88
166,Dusan Veskovac Toulouse,36, D(C),,14,1260,1,0.1,40.7,82.6,0.1,3.0,-,6.88
167,Romaric SC Bastia,39, D(C),M(C),32(2),2841,3,0.9,43.4,79.4,0.1,5.1,0.1,6.88
168,Antoine Devaux Reims,37, M(C),,30(5),2755,1,0.9,40.6,78.8,0.2,2.9,0.1,6.87
169,Banel Nicolita Nantes,37, M(R),,12(5),1051,4,1.2,15.9,74.4,1.5,0.5,-,6.87
170,Rémy Riou Nantes,35, GK,,34,3060,-,-,20.2,51.5,-,4.8,-,6.86
171,Jean-Armel Kana-Biyik Rennes,33, D(C),,21,1741,-,0.1,34.0,85.3,-,2.0,-,6.86
172,Bafétimbi Gomis Lyon,37, FW,,29(4),2462,1,0.5,17.1,79.1,-,0.5,-,6.86
173,Anders Konradsen Rennes,32, DMC,,21(3),1823,1,0.5,36.4,82.0,0.1,1.7,-,6.86
174,Eric Abidal Monaco,43, D(C),,26,2311,-,0.1,46.7,88.3,-,4.5,-,6.86
175,Nicolas Isimat-Mirin Monaco,30, D(C),,5(1),479,-,-,33.2,82.4,-,1.5,-,6.86
176,Rod Fanni Marseille,40, D(CR),,21(1),1845,2,0.4,34.3,83.0,0.7,2.0,-,6.86
177,Anthony Lopes Lyon,32, GK,,32,2822,-,-,16.1,51.3,-,4.1,-,6.86
178,Siaka Tiéné Montpellier,40, D(L),M(L),22(5),1985,2,0.8,32.3,79.6,0.9,2.5,-,6.86
179,Wahbi Khazri SC Bastia,31, M(CLR),FW,26(6),2265,2,1.3,24.9,76.6,0.9,1.8,0.1,6.86
180,Raphaël Guerreiro Lorient,28, D(L),M(CL),33,2970,1,0.7,44.6,76.9,0.4,2.0,-,6.85
181,Vincent Enyeama Lille,40, GK,,38,3420,-,-,19.4,58.7,-,4.7,-,6.85
182,Serge Gakpé Nantes,35, AM(LR),FW,32(4),2772,4,1.1,22.6,69.2,0.7,0.6,0.2,6.85
183,Ricardo Faty AC Ajaccio,36, D(C),DMC,19(1),1674,3,0.4,31.7,78.8,-,2.6,-,6.85
184,Nicolas Benezet Evian,31, AM(CLR),,18(11),1727,2,1.2,23.3,76.6,0.5,0.7,0.1,6.85
185,Maxime Baca Lorient,39, D(LR),,16(4),1540,1,0.5,34.2,76.8,0.1,1.6,-,6.85
186,Yann Jouffre Lorient,38, M(CR),FW,27(4),2348,7,1.6,45.5,81.6,0.5,3.1,0.2,6.85
187,Reynald Lemaître Guingamp,39, D(L),,21(1),1764,2,0.8,31.0,70.2,0.9,1.1,-,6.85
188,Kévin Olimpa Bordeaux,34, GK,,1(1),140,-,-,23.0,58.7,-,6.5,-,6.85
189,Ronald Zubar AC Ajaccio,37, D(C),,15,1255,-,0.1,26.9,83.7,-,3.5,-,6.85
190,Adrien Rabiot PSG,27, DMC,M(L),12(13),1179,-,0.5,33.4,90.2,0.1,2.2,0.1,6.85
191,Jaroslav Plasil Bordeaux,40, M(C),,4,347,-,1.0,40.0,86.3,1.3,2.3,-,6.85
192,Oswaldo Vizcarrondo Nantes,38, D(C),,35(1),3113,1,0.2,24.6,80.1,-,2.3,-,6.85
193,Jonathan Mensah Evian,32, D(CR),,22(4),1829,-,0.2,27.6,76.7,0.1,2.2,-,6.85
194,Petrus Boumal Sochaux,29, D(L),DMC,6(1),567,-,0.9,40.9,73.4,1,1.9,-,6.84
195,Pavle Ninkov Toulouse,37, D(R),M(R),13(6),1103,2,0.7,28.2,77.8,0.7,0.8,0.1,6.84
196,Prince Oniangué Reims,34, M(C),,29(6),2580,2,0.5,27.6,78.1,0.1,1.8,-,6.84
197,John Boye Rennes,35, D(C),,8(2),729,-,0.1,21.6,78.2,-,1.3,-,6.84
198,Olivier Sorlin Evian,43, M(C),,37,3297,1,0.6,53.4,80.9,0.1,7.9,0.1,6.84
199,Vincent Pajot Rennes,32, M(C),,12(2),1076,1,0.9,40.1,85.9,0.2,2.2,-,6.84
