,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
50,Martín Montoya Valencia,31, D(LR),M(R),24(1),2152,2.6,2.1,1.5,0.4,2.6,1,0.4,-,7.09
51,Sime Vrsaljko Atletico,30, D(LR),M(R),19(2),1697,2.3,1.7,1.4,-,2.6,0.7,0.4,-,7.09
52,Jeison Murillo Valencia,30, D(C),,15(2),1374,1.8,1.7,0.9,0.8,4.9,0.4,0.5,-,7.09
53,Sergio Ramos Real Madrid,36, D(CR),,26,2292,1.5,1.8,1.4,0.6,3.2,0.3,0.5,1,7.09
54,Koke Atletico,30, M(CLR),,33(2),2764,2.1,0.7,0.7,-,0.9,1.9,0.1,-,7.08
55,Éver Banega Sevilla,34, M(C),,25(6),2397,2.3,0.4,1.4,-,0.5,1.3,-,-,7.08
56,Dani Giménez Real Betis,39, GK,,4,309,-,-,-,-,0.5,-,-,-,7.08
57,Diego Godín Atletico,36, D(C),,28(2),2554,1.7,2,1.5,0.2,4.7,0.7,0.7,-,7.07
58,Marcelo Real Madrid,34, D(L),M(L),26(2),2262,1.9,1.1,0.9,0.1,0.5,1.3,0.1,-,7.07
59,Daniel Carvajal Real Madrid,30, D(R),,25,2223,2.4,1.5,1.9,0.1,1.4,0.6,0.6,-,7.06
60,Axel Werner Atletico,26, GK,,1,90,-,-,-,-,1.0,-,-,-,7.06
61,Sergio Escudero Sevilla,33, D(L),M(L),26(1),2332,2.9,2.5,1.3,0.3,2.0,1.1,0.2,-,7.06
62,Aymeric Laporte Athletic Bilbao,28, D(CL),,19,1710,2,1.4,1,0.2,4.9,0.6,0.7,1,7.05
63,Rodrigo Valencia,31, M(CLR),FW,31(6),2696,0.6,0.5,0.8,-,0.3,0.5,0.1,-,7.05
64,Samuel Umtiti Barcelona,28, D(CL),,24(1),2189,2,1.5,0.9,0.6,2.8,0.4,0.7,-,7.03
65,Cristhian Stuani Girona,36, AM(CLR),FW,32(1),2723,0.7,0.2,2.7,0.1,1.0,0.8,-,-,7.03
