,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
53,Sergio Ramos Real Madrid,36, D(CR),,26,2292,1,0.5,72.5,90.3,-,6.1,0.1,7.09
54,Koke Atletico,30, M(CLR),,33(2),2764,4,1.5,56.8,85.2,0.9,3.5,0.2,7.08
55,Éver Banega Sevilla,34, M(C),,25(6),2397,3,2.1,68.8,86.8,1.1,5.3,0.1,7.08
56,Dani Giménez Real Betis,39, GK,,4,309,-,0.3,26.0,64.4,-,3.8,-,7.08
57,Diego Godín Atletico,36, D(C),,28(2),2554,-,0.2,40.4,85.8,-,3.8,-,7.07
58,Marcelo Real Madrid,34, D(L),M(L),26(2),2262,6,2,57.4,84.6,1.1,3.4,-,7.07
59,Daniel Carvajal Real Madrid,30, D(R),,25,2223,2,1.4,62.7,87.2,1,3.2,-,7.06
60,Axel Werner Atletico,26, GK,,1,90,-,-,16.0,25.0,-,4.0,-,7.06
61,Sergio Escudero Sevilla,33, D(L),M(L),26(1),2332,2,0.5,49.0,81.5,0.3,2.1,-,7.06
62,Aymeric Laporte Athletic Bilbao,28, D(CL),,19,1710,1,0.4,51.2,83.7,0.2,7.4,0.1,7.05
63,Rodrigo Valencia,31, M(CLR),FW,31(6),2696,4,0.9,24.1,76.2,0.1,0.9,0.1,7.05
64,Samuel Umtiti Barcelona,28, D(CL),,24(1),2189,-,-,64.7,91.2,-,3.0,-,7.03
65,Cristhian Stuani Girona,36, AM(CLR),FW,32(1),2723,-,0.4,14.9,66.7,-,0.2,-,7.03
66,Martín Aguirregabiria Deportivo Alaves,26, D(LR),M(R),20(1),1829,4,0.6,29.4,71.8,0.4,1.4,-,7.02
67,Marco Asensio Real Madrid,26, AM(CLR),FW,19(13),1839,6,1.6,35.4,90.2,0.7,1.2,0.1,7.02
68,Luisinho Deportivo,37, D(L),M(L),29(1),2622,1,0.6,39.4,79.5,0.6,2.1,-,7.02
69,Cédric Bakambu Villarreal,31, AM(LR),FW,15,1269,-,1,18.6,73.8,0.2,0.4,-,7.01
70,Willian José Real Sociedad,30, FW,,32(2),2780,4,1.2,24.8,75.2,0.1,1.3,0.1,7.01
71,Joaquín Real Betis,41, M(CLR),FW,29(6),2487,7,1.5,35.2,86.2,1,2.0,0.1,7.01
72,José Morales Levante,35, D(R),M(CLR),35,3066,8,1.3,22.6,69.5,0.9,0.9,0.1,7.01
73,Karim Benzema Real Madrid,34, FW,,25(7),2156,10,1.4,27.1,82.9,0.1,0.9,0.1,7.0
74,Jonny Celta Vigo,28, D(CLR),M(LR),36,3203,1,0.6,48.4,83.9,0.3,2.5,0.1,7.0
75,Rubén Pérez Leganes,33, M(C),,29(2),2521,-,0.5,48.0,76.5,-,5.5,0.1,6.99
76,Iván Ramis Eibar,38, D(C),,15(1),1304,-,0.1,43.5,82.9,-,6.6,-,6.99
77,Joseba Zaldua Leganes,30, D(R),,29(1),2560,-,0.5,28.6,73.0,0.6,1.5,-,6.99
78,Mikel Oyarzabal Real Sociedad,25, AM(CLR),FW,31(4),2784,5,1.2,25.9,78.0,0.6,0.9,-,6.99
79,Jefferson Lerma Levante,28, D(R),DMC,25(1),2138,1,0.7,42.0,81.7,-,2.0,-,6.99
80,Cote Eibar,33, D(L),,28(2),2431,8,1.5,36.8,66.0,1.7,3.8,-,6.99
81,Manu García Deportivo Alaves,36, DMC,,27(3),2439,-,0.5,32.8,73.4,0.1,2.0,-,6.98
82,Pablo Hernández Celta Vigo,36, M(C),,18(12),1813,2,0.5,40.9,83.7,0.1,3.1,-,6.98
83,Theo Hernández Real Madrid,25, D(L),M(L),10(3),963,-,0.6,42.4,87.3,0.6,0.6,-,6.98
84,Pedro León Eibar,35, M(LR),,10(2),929,3,2.3,23.8,66.4,2.9,0.7,-,6.98
85,Jan Oblak Atletico,29, GK,,37,3330,-,0.1,21.6,50.2,-,5.8,-,6.98
86,Pablo Maffeo Girona,25, D(R),M(R),32(1),2651,1,0.8,25.8,74.0,0.9,1.1,-,6.97
87,Juan Cala Getafe,32, D(C),,20,1800,2,0.3,32.5,63.4,-,6.3,-,6.96
88,Pione Sisto Celta Vigo,27, AM(CLR),FW,31(3),2535,9,1.2,28.8,84.2,0.8,2.1,0.1,6.96
89,Héctor Moreno Real Sociedad,34, D(CL),,8,720,-,0.3,63.3,86.6,-,5.6,-,6.96
90,Loren Morón Real Betis,28, FW,,12(3),1064,-,0.5,12.6,72.0,0.1,0.3,0.1,6.96
91,Nicolás Pareja Sevilla,38, D(C),,5,406,-,0.2,45.6,86.4,-,5.4,0.2,6.96
92,Carlos Bacca Villarreal,36, FW,,30(5),2512,6,0.9,14.9,73.8,0.1,0.4,-,6.95
93,Jesús Vallejo Real Madrid,25, D(CR),,7,630,-,-,52.3,87.2,-,3.1,-,6.95
94,Leandro Cabrera Getafe,31, D(CL),,8(1),720,-,0.2,23.8,50.5,0.4,2.7,-,6.95
95,Hugo Mallo Celta Vigo,31, D(CR),M(R),34,3004,5,0.9,51.4,74.8,0.6,2.7,-,6.95
96,Adrián López Deportivo,34, M(CLR),FW,26(4),2347,6,1.1,28.7,70.2,0.1,0.5,-,6.95
97,Maximiliano Gómez Celta Vigo,26, FW,,35(1),3078,4,0.6,17.5,72.3,0.1,0.7,-,6.95
98,José Giménez Atletico,27, D(CR),,17(6),1684,1,0.3,32.0,79.5,-,3.4,-,6.95
99,Keylor Navas Real Madrid,35, GK,,27,2430,-,-,21.1,76.0,-,3.9,-,6.94
100,Iker Muniain Athletic Bilbao,29, AM(CLR),,7(7),775,2,1.1,30.6,85.1,0.3,1.6,0.2,6.94
101,Unai Núñez Athletic Bilbao,25, D(C),,33,2942,-,0.1,44.4,82.3,-,5.2,-,6.94
102,Víctor Sánchez Espanyol,35, D(LR),M(CL),29(1),2464,2,0.2,39.3,73.4,0.3,2.1,-,6.94
103,Rubén Duarte Deportivo Alaves,27, D(CL),,24,2141,2,0.8,27.3,70.3,0.6,1.8,-,6.94
104,Javi López Espanyol,36, D(R),DMC,12(2),967,-,0.4,31.4,74.8,0.3,1.2,-,6.94
105,Paulo Oliveira Eibar,30, D(C),,25(1),2215,-,0.2,34.2,73.5,-,3.7,-,6.93
106,Damián Suárez Getafe,34, D(R),M(R),33,2879,4,1.1,35.5,68.8,0.8,3.2,0.1,6.92
107,Víctor Laguardia Deportivo Alaves,33, D(C),,17,1530,-,0.1,32.9,68.3,-,3.8,-,6.92
108,Alberto de la Bella Real Sociedad,36, D(L),,17,1529,1,0.9,48.3,82.8,1.4,2.3,0.1,6.92
109,Guido Pizarro Sevilla,32, DMC,,19(5),1754,-,0.3,51.9,86.3,-,2.0,-,6.92
