,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kylian Mbappé PSG,23, AM(LR),FW,34(1),3032,0.3,0.1,0.8,-,0.4,0.2,-,-,8.04
1,Andy Delort Montpellier,30, AM(R),FW,3,270,0.7,-,2.0,-,1.3,0.3,-,-,7.82
2,Lionel Messi PSG,35, AM(CR),FW,24(2),2153,0.4,0.2,0.2,-,-,0.4,-,-,7.77
3,Neymar PSG,30, AM(CLR),FW,22,1861,1.3,0.2,1.4,-,0.1,1.1,-,-,7.65
4,Tetê Lyon,22, AM(R),,7(2),585,1.1,0.3,0.4,-,0.1,1.1,-,-,7.48
5,Gaëtan Laborde Montpellier,28, AM(CLR),FW,4,342,0.5,1.3,0.8,-,1.3,0.5,-,-,7.47
6,Benjamin Bourigeaud Rennes,28, M(CLR),,38,3215,1.2,0.8,0.7,-,1,1.1,0.1,-,7.44
7,Dimitri Payet Marseille,35, M(CLR),FW,28(3),2597,0.5,0.3,0.3,-,0.1,0.8,-,-,7.44
8,Martin Terrier Rennes,25, AM(CL),FW,37,2805,1.5,0.5,0.8,-,0.5,0.5,0.1,-,7.41
9,Téji Savanier Montpellier,30, M(C),,28(1),2422,1.6,0.9,1.6,-,0.4,1.3,-,-,7.4
10,Mamadou Mbow Reims,22, Defender,,1,90,6,1.0,-,-,6,-,-,-,7.33
11,Aurélien Tchouaméni Monaco,22, DMC,,33(2),2933,2.5,2.9,1.5,0.1,0.9,0.7,0.2,-,7.32
12,Sofiane Boufal Angers,28, AM(CLR),FW,28(1),2345,1.5,0.2,1.5,-,-,0.7,0.1,-,7.27
13,Danilo Barbosa Nice,26, D(C),DMC,1,90,-,2.0,-,-,9,-,1,-,7.26
14,Lucas Paquetá Lyon,25, AM(CR),FW,32(3),2713,1.9,0.3,1.8,-,0.6,1,0.1,-,7.24
15,Jonathan Clauss Lens,29, D(R),M(R),35(2),3063,1.7,2.0,1,-,1.1,0.9,-,-,7.22
16,Marco Verratti PSG,29, M(C),,23(1),1951,2.5,0.8,1.3,-,0.4,1.3,0.4,1,7.21
17,Bruno Guimarães Lyon,24, DMC,,19(1),1642,2.5,1.1,1.6,0.1,0.4,1.8,0.2,-,7.21
18,Moussa Dembele Lyon,26, FW,,25(5),2209,0.6,0.3,1,-,1,0.3,-,-,7.21
19,Romain Faivre Brest,24, AM(CLR),,20(1),1801,1.4,0.6,0.7,-,0.5,0.9,-,-,7.2
20,Ángel Di María PSG,34, M(CLR),FW,19(7),1654,1.1,0.2,0.3,-,0.1,0.9,-,-,7.17
21,Karl Toko-Ekambi Lyon,29, AM(LR),FW,26(4),2305,0.4,0.7,0.5,-,0.2,0.6,-,-,7.15
22,Gaëtan Laborde Rennes,28, AM(CLR),FW,32(2),2741,0.6,0.2,0.9,-,0.5,0.6,0.1,-,7.14
23,Andrei Girotto Nantes,30, D(C),DMC,36,3150,2.4,1.9,1.4,0.4,3.9,1.4,0.9,-,7.13
24,Franck Honorat Brest,26, M(LR),,34,2911,1.6,0.4,0.7,-,0.6,0.6,0.1,-,7.13
25,Andy Delort Nice,30, AM(R),FW,26(6),2449,0.5,0.3,1.2,-,0.4,0.2,0.1,-,7.09
26,Marcin Bulka Nice,22, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,7.08
27,Youcef Atal Nice,26, D(R),M(R),13(4),1144,1.7,1.9,1,0.1,1.2,0.6,0.1,-,7.08
28,Lovro Majer Rennes,24, AM(CR),,21(8),1841,1.1,0.4,1.2,-,0.3,1.1,0.1,-,7.06
29,Ludovic Ajorque Strasbourg,28, FW,,31(5),2743,1,0.2,1.1,-,0.9,0.9,0.1,1,7.05
30,Wissam Ben Yedder Monaco,32, AM(C),FW,29(8),2541,0.5,-,0.5,-,-,0.2,-,-,7.04
31,Boubakar Kouyaté Metz,25, D(C),,30,2666,2.8,2.6,1.2,0.5,7,1.0,1.1,-,7.04
32,Frédéric Guilbert Strasbourg,27, D(CLR),M(R),28(5),2521,2.1,1.7,0.8,0.2,1.1,0.9,0.3,-,7.04
33,Romain Faivre Lyon,24, AM(CLR),,9(5),889,0.7,0.2,1.0,0.1,0.1,0.6,-,-,7.03
34,Marcelo Lyon,35, D(C),,2,180,2.0,2,2.0,0.5,5,1.0,1,1,7.02
35,Amine Gouiri Nice,22, AM(L),FW,32(6),2765,0.6,0.3,0.8,-,0.4,0.6,0.1,-,7.01
36,Moses Simon Nantes,27, M(CLR),FW,29(1),2352,0.6,0.4,0.5,-,0.1,0.4,0.1,-,7.01
37,Randal Kolo Muani Nantes,23, AM(R),FW,34(2),2958,0.8,0.2,1.6,-,0.8,0.4,0.1,-,7.01
38,Hamari Traoré Rennes,30, D(R),M(R),33,2898,1.9,1.1,1.4,0.2,2,0.5,0.2,1,7.0
39,Kamaldeen Sulemana Rennes,20, AM(L),,11(9),1018,1.2,0.2,1.0,0.1,0.2,0.4,0.1,-,7.0
40,Lenny Lacroix Metz,19, Defender,,2(1),201,3.0,3.3,0.3,1,1.7,1.0,0.3,-,7.0
41,Benjamin André Lille,32, D(R),M(CLR),33,2764,3.7,1.5,2.0,0.1,1.5,1.9,0.3,-,6.99
42,Jimmy Cabot Angers,28, M(LR),,24,2012,3.4,1.3,1.4,0.4,1.0,1.5,-,-,6.99
43,Florian Sotoca Lens,31, AM(C),FW,28(7),2487,0.9,0.7,1.1,-,1.2,1.1,0.1,-,6.99
