,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
81,Azor Matusiwa Reims,24, DMC,,29,2469,1,1,0.3,0.6,0.5,1.0,-,0.3,0.9,6.84
82,Jonathan Gradit Lens,29, D(CR),,35,3073,-,-,0.1,0.4,0.5,1.1,-,0.3,0.4,6.84
83,Ruben Aguilar Monaco,29, D(R),M(R),22(6),2138,-,2,0.4,0.4,0.2,1.0,-,0.2,1.1,6.84
84,Ander Herrera PSG,33, M(C),,12(7),1093,3,2,0.7,0.9,0.3,0.3,0.2,0.3,0.9,6.84
85,Hugo Ekitike Reims,20, FW,,15(9),1275,10,3,1.3,0.7,1.0,1.3,0.5,0.9,2.8,6.83
86,Julien Laporte Lorient,28, D(C),,33,2893,2,-,0.5,0.2,0.2,0.8,-,0.1,0.2,6.83
87,Mohamed Bayo Clermont Foot,24, FW,,27(5),2426,14,5,2.1,1.0,0.9,0.2,0.4,1.2,1.8,6.83
88,Ghislain Konan Reims,26, D(L),M(L),28,2422,1,3,0.7,1.1,1.4,1.2,0.1,0.7,1.6,6.83
89,Sven Botman Lille,22, D(C),,25,2250,3,1,0.6,0.3,0.2,0.5,-,0.1,0.4,6.83
90,Baptiste Santamaría Rennes,27, DMC,,28(6),2520,2,1,1,0.5,0.5,0.6,-,0.5,0.9,6.83
91,Cengiz Ünder Marseille,25, AM(CLR),,25(7),2209,10,2,1.8,1.1,0.8,1,0.4,0.8,2,6.82
92,Xherdan Shaqiri Lyon,30, M(CLR),,9(2),686,2,3,1.2,1.4,0.5,0.2,0.3,1,0.8,6.82
93,Reinildo Lille,28, D(CL),M(L),18,1531,1,-,0.3,0.2,0.8,1.5,0.1,0.5,0.9,6.81
94,Jean Onana Bordeaux,22, DMC,,23,1846,3,2,0.9,0.7,0.7,1.6,-,0.9,2,6.81
95,Eiji Kawashima Strasbourg,39, GK,,1,90,-,-,-,-,-,-,-,-,-,6.81
96,Aleksandr Golovin Monaco,26, M(CLR),,17(10),1505,3,4,0.9,1.6,0.8,0.8,0.1,0.8,1,6.81
97,Angelo Fulgini Angers,26, AM(CLR),FW,35(1),2947,5,4,1.6,1.4,1.4,2.3,0.1,1.5,2.2,6.81
98,Nicolas de Préville Metz,31, AM(CLR),FW,24(3),1982,5,2,1.5,1,1.7,2,0.3,1.9,2.9,6.8
99,Rominigue Kouamé Troyes,25, M(C),,34,2977,1,2,1.1,0.6,1.9,1.9,-,0.9,1.4,6.8
100,Luan Peres Marseille,28, D(CL),,29(5),2677,-,2,0.1,0.5,0.4,0.5,-,0.4,0.8,6.8
101,Ronaël Pierre-Gabriel Brest,24, D(LR),,29(1),2555,-,1,0.2,0.5,1.1,1,0.1,0.7,1,6.8
102,Justin Kluivert Nice,23, AM(LR),,25(3),1883,4,5,1.1,1.3,1.5,1,0.2,1.3,1.8,6.79
