,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Kylian Mbappé PSG,23, AM(LR),FW,34(1),3032,17,2.0,38.3,82.2,0.6,1.2,0.1,8.04
1,Andy Delort Montpellier,30, AM(R),FW,3,270,1,3.0,27.3,61.0,1.3,0.7,-,7.82
2,Lionel Messi PSG,35, AM(CR),FW,24(2),2153,14,2.4,61.7,86.7,0.3,3.1,0.7,7.77
3,Neymar PSG,30, AM(CLR),FW,22,1861,6,2.8,55.5,82.2,0.5,1.7,0.5,7.65
4,Tetê Lyon,22, AM(R),,7(2),585,5,1.4,24.6,82.8,0.6,0.9,0.1,7.48
5,Gaëtan Laborde Montpellier,28, AM(CLR),FW,4,342,-,1.0,23.3,60.2,0.3,1.0,0.3,7.47
6,Benjamin Bourigeaud Rennes,28, M(CLR),,38,3215,12,3.2,42.1,76.9,2.7,2.7,0.1,7.44
7,Dimitri Payet Marseille,35, M(CLR),FW,28(3),2597,10,3.2,45.5,81.8,2.3,2.6,0.5,7.44
8,Martin Terrier Rennes,25, AM(CL),FW,37,2805,3,1.1,24.9,81.1,0.2,1.0,0.1,7.41
9,Téji Savanier Montpellier,30, M(C),,28(1),2422,7,2.1,47.5,72.4,1.6,5.5,0.2,7.4
10,Mamadou Mbow Reims,22, Defender,,1,90,-,-,25.0,76.0,-,3.0,-,7.33
11,Aurélien Tchouaméni Monaco,22, DMC,,33(2),2933,2,0.6,58.9,86.7,0.1,3.1,0.1,7.32
12,Sofiane Boufal Angers,28, AM(CLR),FW,28(1),2345,4,1.9,30.9,78.3,1.2,1.2,0.1,7.27
13,Danilo Barbosa Nice,26, D(C),DMC,1,90,-,-,42.0,76.2,-,3.0,-,7.26
14,Lucas Paquetá Lyon,25, AM(CR),FW,32(3),2713,6,1.2,43.3,79.6,0.2,1.5,0.3,7.24
15,Jonathan Clauss Lens,29, D(R),M(R),35(2),3063,11,2,33.3,73.3,2.1,1.5,0.1,7.22
16,Marco Verratti PSG,29, M(C),,23(1),1951,2,1.3,87.3,91.6,0.1,2.7,0.2,7.21
17,Bruno Guimarães Lyon,24, DMC,,19(1),1642,3,1.8,66.5,88.0,0.3,4.7,0.3,7.21
18,Moussa Dembele Lyon,26, FW,,25(5),2209,4,0.9,14.4,66.1,-,0.1,-,7.21
19,Romain Faivre Brest,24, AM(CLR),,20(1),1801,5,1.8,35.0,83.3,1.9,1.2,0.1,7.2
20,Ángel Di María PSG,34, M(CLR),FW,19(7),1654,7,2.1,39.7,80.3,1.3,1.8,0.2,7.17
21,Karl Toko-Ekambi Lyon,29, AM(LR),FW,26(4),2305,5,1.3,29.0,80.6,0.5,0.8,0.1,7.15
22,Gaëtan Laborde Rennes,28, AM(CLR),FW,32(2),2741,8,1.1,18.4,65.7,0.4,0.2,0.1,7.14
23,Andrei Girotto Nantes,30, D(C),DMC,36,3150,1,0.3,46.0,81.6,-,3.0,-,7.13
24,Franck Honorat Brest,26, M(LR),,34,2911,4,1.7,28.7,74.5,1.6,1.2,0.1,7.13
25,Andy Delort Nice,30, AM(R),FW,26(6),2449,2,1,19.8,61.1,0.3,0.4,0.1,7.09
26,Marcin Bulka Nice,22, Goalkeeper,,1,90,-,-,18.0,83.3,-,1.0,-,7.08
27,Youcef Atal Nice,26, D(R),M(R),13(4),1144,1,0.8,33.6,78.8,0.5,1.6,0.2,7.08
28,Lovro Majer Rennes,24, AM(CR),,21(8),1841,8,1.6,33.0,81.0,0.8,1.6,0.1,7.06
29,Ludovic Ajorque Strasbourg,28, FW,,31(5),2743,8,1.3,24.6,72.9,0.2,0.7,0.1,7.05
30,Wissam Ben Yedder Monaco,32, AM(C),FW,29(8),2541,5,0.9,18.1,73.5,0.1,0.4,0.1,7.04
31,Boubakar Kouyaté Metz,25, D(C),,30,2666,-,0.1,38.3,81.4,-,2.5,-,7.04
32,Frédéric Guilbert Strasbourg,27, D(CLR),M(R),28(5),2521,4,1.4,29.9,75.5,2,1.5,-,7.04
33,Romain Faivre Lyon,24, AM(CLR),,9(5),889,-,1.9,37.7,87.9,1.7,1.3,0.1,7.03
34,Marcelo Lyon,35, D(C),,2,180,-,-,83.5,90.4,-,2.5,-,7.02
35,Amine Gouiri Nice,22, AM(L),FW,32(6),2765,9,1.3,24.7,80.4,0.7,0.9,0.1,7.01
36,Moses Simon Nantes,27, M(CLR),FW,29(1),2352,8,2.2,20.1,75.0,1.7,0.6,-,7.01
37,Randal Kolo Muani Nantes,23, AM(R),FW,34(2),2958,4,1.1,14.1,70.1,0.2,0.1,-,7.01
38,Hamari Traoré Rennes,30, D(R),M(R),33,2898,10,1,54.6,84.9,0.5,2.6,-,7.0
39,Kamaldeen Sulemana Rennes,20, AM(L),,11(9),1018,2,1.1,16.0,80.3,0.4,1.3,-,7.0
40,Lenny Lacroix Metz,19, Defender,,2(1),201,1,0.7,26.0,67.9,-,1.7,-,7.0
41,Benjamin André Lille,32, D(R),M(CLR),33,2764,1,0.5,52.4,80.4,0.1,2.5,0.1,6.99
42,Jimmy Cabot Angers,28, M(LR),,24,2012,4,0.8,45.6,80.9,0.5,3.1,-,6.99
43,Florian Sotoca Lens,31, AM(C),FW,28(7),2487,4,0.9,32.5,78.2,0.2,2.2,0.1,6.99
44,Florian Tardieu Troyes,30, M(C),,29(1),2631,2,1.6,63.1,86.5,1.2,5.0,0.1,6.98
45,Marshall Munetsi Reims,26, D(C),DMC,20(4),1886,1,0.3,27.9,79.7,-,2.0,-,6.95
46,Adrien Thomasson Strasbourg,28, M(CLR),,27(4),2397,4,1.1,39.5,78.8,0.4,1.4,0.2,6.94
47,Seko Fofana Lens,27, M(C),,38,3364,1,1.1,45.8,89.8,0.2,1.7,-,6.94
48,Abdoulaye Bakayoko Saint-Etienne,19, Defender,,4,309,-,-,34.0,68.4,-,2.0,-,6.94
49,Simon Banza Lens,26, FW,,1(3),123,1,0.5,7.3,62.1,-,0.5,-,6.94
50,Ludovic Blas Nantes,24, M(CLR),FW,35,2978,5,1.2,28.6,80.9,0.4,2.3,0.1,6.94
51,Cheick Oumar Doucouré Lens,22, DMC,,33(1),2948,4,1.2,55.7,87.5,-,2.4,0.2,6.94
52,Abdou Diallo PSG,26, D(CL),,10(2),877,1,0.3,52.8,89.7,0.4,1.7,-,6.93
53,Houssem Aouar Lyon,24, M(CL),,29(7),2508,4,1.1,39.1,86.9,0.1,1.2,0.2,6.93
54,Jonas Omlin Montpellier,28, GK,,29,2589,-,-,30.7,74.6,-,5.9,-,6.93
55,Danilo Pereira PSG,30, D(C),DMC,22(5),2039,-,0.2,57.1,94.6,-,2.4,0.1,6.93
56,Achraf Hakimi PSG,23, D(LR),M(R),28(4),2486,6,1,49.9,90.4,0.3,0.9,-,6.93
57,Fabien Centonze Metz,26, D(R),M(R),18(1),1587,1,0.6,31.2,80.1,0.3,1.0,-,6.92
58,Emerson Lyon,28, D(L),M(L),26(3),2267,2,1.1,53.1,86.7,0.8,1.8,-,6.91
59,Boubacar Kamara Marseille,22, D(CL),DMC,31(3),2779,-,0.7,70.1,90.6,-,3.2,0.1,6.91
60,Sofiane Diop Monaco,22, AM(CLR),,24(6),1959,4,1.3,28.7,77.6,0.9,1.4,0.2,6.9
61,Flavien Tait Rennes,29, M(CLR),,24(4),2131,3,1.1,44.0,86.4,0.1,2.8,-,6.9
62,Steve Mounié Brest,27, FW,,25(10),2313,2,0.5,20.3,60.2,0.1,0.3,-,6.89
63,Sergio Rico PSG,28, GK,,0(1),22,-,-,6.0,66.7,-,1.0,-,6.89
64,Melvin Bard Nice,21, D(L),,30(3),2593,2,0.7,46.1,82.8,0.5,1.9,-,6.89
65,Gerson Marseille,25, M(CLR),,29(6),2553,4,0.9,35.6,90.4,0.1,1.0,-,6.89
66,Nayef Aguerd Rennes,26, D(C),,31,2738,2,0.1,70.8,89.0,-,5.6,-,6.88
67,Dénis Bouanga Saint-Etienne,27, M(CLR),FW,28(6),2449,6,1,20.2,71.7,0.4,1.3,0.1,6.88
68,William Saliba Marseille,21, D(C),,36,3240,-,0.2,84.5,93.1,0.1,2.3,-,6.87
69,Mattéo Guendouzi Marseille,23, M(C),,35(3),3154,6,0.9,55.1,88.4,0.2,3.1,0.1,6.87
70,Jean-Clair Todibo Nice,22, D(C),,35(1),3116,-,0.4,67.3,87.5,0.1,3.5,0.1,6.87
71,Brendan Chardonnet Brest,27, D(C),,31(1),2687,-,0.3,39.9,81.5,-,5.4,-,6.87
72,Steve Mandanda Marseille,37, GK,,9,810,-,0.1,40.2,80.1,-,5.6,-,6.87
73,Anthony Mandréa Angers,25, GK,,10,900,-,-,23.5,52.8,-,4.7,-,6.87
74,Idrissa Gueye PSG,32, M(C),,18(8),1641,1,0.6,53.0,93.5,-,1.4,-,6.86
75,Marquinhos PSG,28, D(CR),DMC,32,2862,-,0.2,74.7,93.6,-,4.3,0.1,6.86
76,Youcef Belaïli Brest,30, AM(L),,11(2),832,2,1.4,25.2,76.1,1,2.0,0.2,6.86
77,Christopher Wooh Lens,20, D(C),,11(3),1051,1,0.3,43.0,87.2,-,1.4,-,6.85
78,Valentin Rongier Marseille,27, D(R),M(C),25(7),2199,1,0.5,56.6,90.1,0.1,2.0,0.1,6.85
79,Predrag Rajkovic Reims,26, GK,,38,3420,-,-,27.4,65.6,-,5.6,-,6.85
80,Renato Sanches Lille,25, M(CR),,20(5),1657,5,1.4,44.9,85.1,0.8,4.8,0.1,6.85
81,Azor Matusiwa Reims,24, DMC,,29,2469,1,0.6,40.6,83.7,-,3.4,-,6.84
82,Jonathan Gradit Lens,29, D(CR),,35,3073,-,0.4,58.6,89.2,0.1,2.8,0.1,6.84
83,Ruben Aguilar Monaco,29, D(R),M(R),22(6),2138,2,0.4,50.6,84.9,0.2,2.3,0.1,6.84
84,Ander Herrera PSG,33, M(C),,12(7),1093,2,0.9,55.2,92.3,0.1,2.5,0.3,6.84
85,Hugo Ekitike Reims,20, FW,,15(9),1275,3,0.7,16.2,71.1,-,0.3,-,6.83
86,Julien Laporte Lorient,28, D(C),,33,2893,-,0.2,43.7,84.7,-,5.2,-,6.83
87,Mohamed Bayo Clermont Foot,24, FW,,27(5),2426,5,1.0,16.4,73.1,0.2,0.3,0.1,6.83
88,Ghislain Konan Reims,26, D(L),M(L),28,2422,3,1.1,33.3,78.4,0.6,1.7,-,6.83
89,Sven Botman Lille,22, D(C),,25,2250,1,0.3,60.7,88.1,-,4.1,-,6.83
90,Baptiste Santamaría Rennes,27, DMC,,28(6),2520,1,0.5,44.9,87.0,0.1,3.6,-,6.83
91,Cengiz Ünder Marseille,25, AM(CLR),,25(7),2209,2,1.1,25.2,79.7,0.8,1.0,0.1,6.82
92,Xherdan Shaqiri Lyon,30, M(CLR),,9(2),686,3,1.4,27.8,81.0,0.7,2.0,0.3,6.82
93,Reinildo Lille,28, D(CL),M(L),18,1531,-,0.2,43.4,85.3,0.1,0.8,-,6.81
94,Jean Onana Bordeaux,22, DMC,,23,1846,2,0.7,45.6,81.8,0.1,3.9,0.3,6.81
95,Eiji Kawashima Strasbourg,39, GK,,1,90,-,-,25.0,88.0,-,3.0,-,6.81
96,Aleksandr Golovin Monaco,26, M(CLR),,17(10),1505,4,1.6,23.5,80.2,1.2,0.7,0.1,6.81
97,Angelo Fulgini Angers,26, AM(CLR),FW,35(1),2947,4,1.4,36.1,83.3,0.6,0.9,-,6.81
98,Nicolas de Préville Metz,31, AM(CLR),FW,24(3),1982,2,1,19.3,71.7,0.9,0.7,-,6.8
99,Rominigue Kouamé Troyes,25, M(C),,34,2977,2,0.6,45.4,88.2,0.1,1.5,0.1,6.8
100,Luan Peres Marseille,28, D(CL),,29(5),2677,2,0.5,52.2,88.1,0.3,2.4,-,6.8
101,Ronaël Pierre-Gabriel Brest,24, D(LR),,29(1),2555,1,0.5,37.0,84.0,0.5,1.4,-,6.8
102,Justin Kluivert Nice,23, AM(LR),,25(3),1883,5,1.3,17.3,76.3,1.5,0.7,0.1,6.79
103,Mario Lemina Nice,28, DMC,,24(8),1972,-,0.2,36.4,87.8,0.1,1.7,-,6.79
104,Vanderson Monaco,21, D(R),M(R),12(5),1122,1,0.6,30.6,73.3,0.4,2.0,0.1,6.79
105,Ryad Boudebouz Saint-Etienne,32, M(CLR),FW,27(3),2267,4,1.8,49.1,81.9,0.9,2.9,0.2,6.79
106,Steven Fortès Lens,30, D(C),,1,90,-,-,28.0,96.4,-,5.0,-,6.79
107,Kevin Volland Monaco,30, AM(CLR),FW,29(5),2450,9,1,17.6,67.9,0.2,0.8,0.2,6.79
108,Ibrahima Sissoko Strasbourg,24, D(C),DMC,26(9),2306,5,0.8,28.9,80.9,0.1,1.4,-,6.79
109,Walter Benítez Nice,29, GK,,37,3330,-,-,23.4,71.0,-,4.6,-,6.79
110,Romain Thomas Angers,34, D(C),,29(1),2566,-,0.1,56.6,86.3,-,4.9,-,6.78
111,Keylor Navas PSG,35, GK,,21,1858,-,-,21.3,89.9,-,2.2,-,6.78
112,Sergio Ramos PSG,36, D(CR),,8(4),799,-,0.1,68.8,93.7,-,6.9,-,6.78
