,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
217,Stefano Lucchini Atalanta,42, D(C),,14(5),1265,1.8,1.7,0.7,0.4,5.3,0.6,0.7,-,6.86
218,Carlos Carmona Atalanta,35, DMC,,30(2),2545,2.6,1.7,1.5,-,1.4,0.9,0.5,-,6.86
219,Cristian Zaccardo AC Milan,40, D(CR),,7(4),673,1.5,1.6,0.6,0.3,3.5,0.2,-,-,6.86
220,Marco Andreolli Inter,36, D(C),,2(2),203,1,1.0,0.5,-,3.0,0.3,0.5,-,6.86
221,Roberto Soriano Sampdoria,31, AM(CLR),,21(8),1935,2.2,0.5,2.2,-,0.9,0.9,0.2,-,6.86
222,Ciro Capuano Catania,41, D(L),,4(1),383,2.2,3.0,1.2,0.2,3.0,1.2,-,-,6.85
223,Rene Krhin Bologna,32, DMC,,24(3),2028,1.6,1.6,0.9,0.1,2.6,0.4,0.1,-,6.85
224,Jorginho Napoli,30, DMC,,12(3),1124,1.5,1.9,1.1,-,0.5,1.2,0.2,-,6.85
225,Ibrahima Mbaye Livorno,27, D(LR),M(LR),22(3),1947,2.8,1.3,2,-,2.9,1,0.4,-,6.85
226,Vlada Avramov Cagliari,43, GK,,22(1),2015,-,0.2,-,-,1.0,-,-,-,6.85
227,Panagiotis Tachtsidis Catania,31, DMC,,10(2),839,2.5,1.8,1,-,1.5,1.3,0.5,-,6.85
228,Salvatore Masiello Torino,40, D(L),M(L),6(2),594,3.1,0.9,1.6,0.3,2.5,0.5,0.3,-,6.84
229,Naldo Udinese,34, D(C),,13(3),1179,2.6,1.9,1.4,0.4,4.8,1.3,0.5,-,6.84
230,Luis Pedro Cavanda Lazio,32, D(LR),M(R),15(4),1354,2.1,1.6,1.2,0.1,2.4,0.9,0.2,-,6.84
231,Antonio Mirante Parma Calcio 1913,39, GK,,36,3196,0.1,0.1,-,-,0.7,0.1,-,-,6.84
232,Gianpaolo Bellini Atalanta,42, D(LR),,8(1),573,1.9,1.4,1.1,0.3,2.7,1.2,0.6,1,6.83
233,Alberto Frison Catania,34, GK,,14,1260,-,-,0.1,-,0.9,-,-,1,6.83
234,Përparim Hetemaj Chievo,35, M(CL),,28(4),2562,3.1,1,3.4,-,1.0,1.8,0.1,-,6.83
235,Lorenzo Ariaudo Sassuolo,33, D(C),,12,1035,1.3,2.2,1.3,0.7,7.3,0.8,0.6,-,6.83
236,Federico Peluso Juventus,38, D(CL),M(L),4(5),338,0.4,1,1.3,0.1,1.1,0.1,-,-,6.82
237,Gianluca Pegolo Sassuolo,41, GK,,33,2970,-,0.1,-,-,0.7,-,-,-,6.82
238,Giuseppe Bellusci Catania,33, D(CR),,19(1),1553,1.4,2.3,1.7,0.6,6.2,0.9,0.7,-,6.82
239,Andrea Costa Sampdoria,36, D(CL),,19(2),1612,1.7,3.2,1.5,0.6,4.1,0.4,0.1,-,6.82
240,Jaime Valdés Parma Calcio 1913,41, AM(C),,5(1),454,1.8,0.3,0.8,0.2,1.5,1.3,0.3,-,6.82
241,Sebastien De Maio Genoa,35, D(C),,15(8),1441,1.8,1.9,1.5,0.4,5.3,0.2,0.6,-,6.82
242,Jaroslav Plasil Catania,40, M(C),,22(6),2063,2.2,1.4,0.7,-,0.9,0.9,0.1,-,6.82
243,Abdoulay Konko Lazio,38, D(LR),M(R),21,1788,2.1,1.7,1.1,0.1,3.6,0.6,0.3,1,6.82
244,Cyril Théréau Chievo,39, AM(CL),FW,28(4),2371,0.9,0.2,1.1,-,0.6,0.4,0.1,-,6.82
245,Cristian Ledesma Lazio,40, M(C),,25(2),2236,1.9,1.7,0.9,0.1,2.4,1.3,0.4,-,6.82
246,Yohan Benalouane Parma Calcio 1913,35, D(CR),,2(2),212,1.5,4.3,1,0.8,4.3,0.8,-,-,6.82
247,Mikael Antonsson Bologna,41, D(C),,32(2),2957,1.9,2.4,0.8,0.6,5.0,0.6,0.6,-,6.81
248,Antonio Floro Flores Sassuolo,39, AM(L),FW,17(12),1507,0.8,0.2,0.8,-,0.4,0.1,-,-,6.81
249,Etrit Berisha Lazio,33, GK,,17,1530,-,-,-,-,1.5,-,-,-,6.8
250,Renan Sampdoria,36, M(C),,6(12),702,2.3,0.8,1.0,0.1,0.8,0.6,0.1,-,6.8
251,György Garics Bologna,38, D(R),M(R),32(2),2774,1.9,2.0,1.0,0.3,3.5,1.1,0.2,-,6.8
252,Rodrigo Taddei Roma,42, M(C),,6(13),836,2.4,0.9,0.8,0.1,0.9,1.2,0.1,-,6.8
