,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
139,Emiliano Moretti Torino,41, D(CL),,36,3229,1,0.4,60.2,91.7,-,6.0,-,6.99
140,Lukasz Skorupski Roma,31, GK,,2,180,-,-,24.5,73.5,-,5.0,-,6.99
141,Domenico Maietta Verona,40, D(C),,23(2),1974,1,0.2,33.8,87.3,-,3.2,-,6.99
142,Andrea Barzagli Juventus,41, D(CR),,26,2288,-,0.2,64.3,91.2,0.1,5.5,-,6.99
143,Jasmin Kurtic Torino,33, M(CL),,14(2),1199,1,0.9,30.6,82.0,0.4,2.4,-,6.99
144,Nenad Tomovic Fiorentina,35, D(CLR),,23(2),2025,1,0.8,40.1,83.5,0.4,1.5,-,6.99
145,Marquinho Verona,36, M(CL),,13(2),1084,1,1.3,23.8,77.9,0.9,1.4,-,6.99
146,Angelo Ogbonna Juventus,34, D(C),,14(2),1262,-,0.6,52.1,90.5,-,4.4,-,6.99
147,Dusan Basta Udinese,38, D(R),M(R),26(4),2274,1,0.4,30.3,75.1,0.6,1.0,-,6.98
148,Thomas Manfredini Sassuolo,42, D(C),,3,270,-,-,43.3,81.5,0.3,4.7,-,6.98
149,Giovanni Marchese Genoa,38, D(CL),M(L),23(4),2123,2,0.7,39.6,79.9,0.7,2.2,-,6.98
150,Facundo Roncaglia Fiorentina,35, D(CLR),,11(2),1072,-,0.4,50.5,86.7,0.5,3.6,-,6.98
151,Mario Yepes Atalanta,46, D(C),,21(3),1899,-,0.2,30.0,86.1,-,3.8,-,6.98
152,Nicolò Cherubin Bologna,35, D(CL),,14(1),1133,-,0.5,31.5,80.3,0.3,2.5,-,6.98
153,Omar El Kaddouri Torino,32, AM(CL),,25(4),2113,7,1.4,28.1,77.5,0.4,1.9,0.3,6.98
154,Gabriel Silva Udinese,31, D(LR),M(L),29(2),2520,1,0.5,27.3,77.8,0.5,0.4,-,6.97
155,Germán Denis Atalanta,41, FW,,36(1),3241,5,1.4,27.3,72.7,0.2,0.8,0.1,6.97
156,Pasquale Schiattarella Livorno,35, DMC,M(R),17,1470,3,1.3,36.6,79.7,0.5,2.2,0.1,6.97
157,Lionel Scaloni Atalanta,44, D(R),,4(1),429,-,0.2,33.0,78.8,0.6,2.4,-,6.97
158,Alexis Rolín Catania,33, D(C),,20(5),1835,-,-,21.6,73.8,-,2.4,-,6.97
159,Rafael Verona,40, GK,,37,3330,-,-,28.2,50.5,-,10.0,-,6.97
160,Jonathan Biabiany Parma Calcio 1913,34, M(LR),FW,32(4),2746,5,0.9,21.1,84.7,0.9,0.4,-,6.97
161,Norbert Gyömbér Catania,30, D(CR),DMC,15(3),1438,-,0.2,25.5,84.5,0.1,1.7,-,6.97
162,Paulinho Livorno,36, FW,,35,3144,3,1.3,29.6,78.8,0.1,2.2,0.1,6.96
163,Manuel Pasqual Fiorentina,40, D(L),M(L),26,2180,4,1.2,49.4,85.8,1.4,1.5,-,6.96
164,Massimo Ambrosini Fiorentina,45, M(C),,16(5),1320,1,0.7,37.3,88.0,0.1,1.7,-,6.96
165,Pedro Mendes Parma Calcio 1913,32, D(CR),,4(2),435,-,-,31.0,84.9,-,2.0,-,6.96
166,Matteo Darmian Torino,32, D(CLR),M(LR),37,3286,3,0.8,39.8,83.2,0.3,2.5,-,6.96
167,Samir Handanovic Inter,38, GK,,36,3111,-,-,18.9,70.7,-,4.9,-,6.96
168,Paolo De Ceglie Juventus,36, D(L),M(CL),2(2),217,-,0.5,19.8,83.5,0.5,1.5,-,6.96
169,Martín Cáceres Juventus,35, D(CLR),M(R),14(3),1314,-,0.1,61.4,90.5,-,4.0,-,6.96
170,Bruno Pereirinha Lazio,34, D(LR),,9(2),769,1,0.5,33.8,82.8,0.6,2.7,-,6.96
171,Miroslav Klose Lazio,44, FW,,22(3),2019,2,0.7,23.4,73.3,-,1.0,-,6.95
172,Gianluigi Buffon Juventus,44, GK,,33,2868,-,-,22.2,81.6,-,7.1,-,6.95
173,Mateo Kovacic Inter,28, M(CL),,14(18),1608,4,0.9,34.4,89.8,0.3,2.2,0.1,6.95
174,Fabián Rinaudo Catania,35, D(C),DMC,17,1413,-,0.3,48.1,85.3,0.4,4.0,-,6.95
175,Roberto Pereyra Udinese,31, M(CLR),FW,33(3),2950,6,1.6,36.1,87.5,0.3,1.6,0.1,6.95
176,Kamil Glik Torino,34, D(C),,33(1),2965,-,0.1,48.5,91.6,-,5.4,-,6.94
177,Neto Fiorentina,33, GK,,35,3150,-,0.1,24.6,60.3,-,6.1,-,6.94
178,Luca Antonelli Genoa,35, D(L),M(CL),30,2583,1,0.5,29.7,71.6,0.4,0.8,-,6.93
179,Djamel Mesbah Parma Calcio 1913,38, D(L),M(L),2(1),175,-,1,21.0,84.1,0.3,0.3,-,6.93
180,Lazaros Christodoulopoulos Bologna,35, AM(CLR),FW,20(7),1834,2,1.7,26.2,83.7,0.8,1.6,0.1,6.93
181,Rafael Tolói Roma,32, D(C),,4(1),379,-,0.2,33.8,91.1,-,2.4,-,6.93
182,Stephan Lichtsteiner Juventus,38, D(R),M(R),24(3),2121,8,0.9,30.7,78.3,0.8,0.7,-,6.93
183,Marios Oikonomou Cagliari,30, D(C),,1,90,-,-,47.0,89.4,-,6.0,-,6.93
184,Vasilis Torosidis Roma,37, D(CLR),M(R),12(6),1238,-,0.5,37.3,82.0,0.3,1.5,-,6.93
