time : 0.50 Pitch : -0.21 Roll : -2.08 Yaw : 26.03 dYaw : 0.07 Latitude : 0 Longitude : 0 GPS Time : 0:0:7 accel(x, y, z) :  (0.01, -0.07, 1.00)  gyro(x, y, z) :  (3.11, -5.80, 1.53)  mag(x, y, z) :  (21.18, -23.94, 22.49)  Speed (m/s): 0.00
time : 0.53 Pitch : -0.09 Roll : -1.55 Yaw : 26.29 dYaw : 0.27 Latitude : 0 Longitude : 0 GPS Time : 0:0:7 accel(x, y, z) :  (0.00, -0.05, 0.96)  gyro(x, y, z) :  (1.59, -0.12, 3.36)  mag(x, y, z) :  (21.24, -24.05, 21.67)  Speed (m/s): 0.00
time : 0.55 Pitch : -0.50 Roll : -0.98 Yaw : 26.27 dYaw : 0.02 Latitude : 0 Longitude : 0 GPS Time : 0:0:8 accel(x, y, z) :  (0.02, -0.03, 0.95)  gyro(x, y, z) :  (-0.55, -2.81, 9.28)  mag(x, y, z) :  (21.53, -23.61, 21.14)  Speed (m/s): 0.00
time : 0.58 Pitch : -0.26 Roll : -1.89 Yaw : 23.10 dYaw : 3.17 Latitude : 0 Longitude : 0 GPS Time : 0:0:8 accel(x, y, z) :  (0.01, -0.06, 0.95)  gyro(x, y, z) :  (-2.44, -4.33, 10.38)  mag(x, y, z) :  (21.87, -20.65, 23.33)  Speed (m/s): 0.00
time : 0.60 Pitch : -1.02 Roll : -2.06 Yaw : 22.98 dYaw : 0.12 Latitude : 0 Longitude : 0 GPS Time : 0:0:8 accel(x, y, z) :  (0.03, -0.06, 0.94)  gyro(x, y, z) :  (3.66, 1.59, -3.78)  mag(x, y, z) :  (22.30, -20.47, 22.92)  Speed (m/s): 0.00
time : 0.62 Pitch : -1.17 Roll : -1.21 Yaw : 24.34 dYaw : 1.36 Latitude : 0 Longitude : 0 GPS Time : 0:0:9 accel(x, y, z) :  (0.04, -0.04, 0.96)  gyro(x, y, z) :  (0.98, -0.92, -1.53)  mag(x, y, z) :  (22.20, -21.34, 22.90)  Speed (m/s): 0.00
time : 0.65 Pitch : -1.88 Roll : -0.70 Yaw : 25.61 dYaw : 1.26 Latitude : 0 Longitude : 0 GPS Time : 0:0:9 accel(x, y, z) :  (0.06, -0.02, 1.01)  gyro(x, y, z) :  (2.32, 0.67, -2.81)  mag(x, y, z) :  (22.29, -22.22, 22.18)  Speed (m/s): 0.00
time : 0.68 Pitch : -0.55 Roll : -2.00 Yaw : 23.92 dYaw : 1.69 Latitude : 0 Longitude : 0 GPS Time : 0:0:9 accel(x, y, z) :  (0.02, -0.06, 0.94)  gyro(x, y, z) :  (2.99, -2.38, 3.97)  mag(x, y, z) :  (22.22, -21.80, 22.05)  Speed (m/s): 0.00
time : 0.70 Pitch : -0.21 Roll : -1.40 Yaw : 23.90 dYaw : 0.01 Latitude : 0 Longitude : 0 GPS Time : 0:0:10 accel(x, y, z) :  (0.01, -0.04, 0.92)  gyro(x, y, z) :  (-0.12, 1.10, -1.16)  mag(x, y, z) :  (22.40, -21.77, 22.25)  Speed (m/s): 0.00
time : 0.73 Pitch : -0.66 Roll : -1.12 Yaw : 25.35 dYaw : 1.44 Latitude : 0 Longitude : 0 GPS Time : 0:0:10 accel(x, y, z) :  (0.02, -0.04, 1.04)  gyro(x, y, z) :  (0.98, -1.04, 2.01)  mag(x, y, z) :  (22.08, -22.86, 21.75)  Speed (m/s): 0.00
time : 0.75 Pitch : -0.32 Roll : -1.11 Yaw : 24.39 dYaw : 0.95 Latitude : 0 Longitude : 0 GPS Time : 0:0:10 accel(x, y, z) :  (0.01, -0.03, 0.97)  gyro(x, y, z) :  (1.04, 0.06, 3.17)  mag(x, y, z) :  (22.03, -21.75, 21.29)  Speed (m/s): 0.00
