,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
53,Ignacio Camacho Malaga,32, D(C),M(C),27(6),2377,1,0.2,38.1,78.3,0.1,3.6,-,7.16
54,Daniel Carriço Sevilla,34, D(C),DMC,22,1939,-,0.3,37.5,80.1,-,3.7,-,7.16
55,Miranda Atletico,38, D(C),,32,2880,1,0.2,28.1,79.5,-,4.1,-,7.15
56,Vicente Iborra Sevilla,34, M(C),,25(2),2121,2,0.4,35.9,77.0,-,2.7,0.2,7.15
57,Markel Susaeta Athletic Bilbao,34, M(LR),,34(4),2978,12,2.1,27.8,78.8,2.2,0.4,-,7.15
58,Sergio Escudero Getafe,33, D(L),M(L),18(1),1440,2,0.5,27.8,68.9,0.4,1.8,0.1,7.15
59,Javier Mascherano Barcelona,38, D(C),M(C),27(1),2367,-,0.1,53.6,88.9,-,8.1,-,7.14
60,Martín Montoya Barcelona,31, D(LR),M(R),12(1),1122,2,0.3,48.2,87.5,0.3,1.5,-,7.14
61,Bruno Soriano Villarreal,38, M(C),,35(1),2940,2,0.6,49.6,85.5,-,3.1,0.2,7.14
62,Patrick Ebert Real Valladolid,35, M(CLR),,13,1005,5,1.2,36.2,72.6,1.9,3.1,-,7.14
63,Mateo Musacchio Villarreal,32, D(C),,32,2844,1,0.2,34.1,79.3,-,2.4,-,7.13
64,Liassine Cadamuro Real Sociedad,34, D(CL),,4,360,-,1,46.8,84.0,1.3,5.8,-,7.13
65,Nolito Celta Vigo,36, AM(CL),,24(11),2264,2,1.4,24.4,71.8,0.7,1.6,0.1,7.13
66,Ander Iturraspe Athletic Bilbao,33, M(C),,31(2),2707,2,0.5,49.1,81.5,0.1,5.0,0.1,7.13
67,Pedro Barcelona,35, M(CLR),FW,28(9),2367,8,1,27.1,84.5,0.6,0.5,0.1,7.13
68,Fran Vélez Almeria,31, D(C),DMC,4,257,-,-,24.0,68.8,-,2.0,-,7.13
69,Heinz Real Valladolid,35, Defender,,1,90,-,-,46.0,78.3,-,2.0,-,7.12
70,Yacine Brahimi Granada,32, M(CLR),,33(2),2793,4,1.1,30.1,83.0,0.3,1.5,0.1,7.12
71,Sebastián Dubarbier Almeria,36, D(L),M(L),26(1),2304,-,0.7,27.9,67.4,0.6,1.3,-,7.11
72,Gabriel Paulista Villarreal,31, D(CR),,17(1),1473,1,0.1,25.8,83.9,-,4.7,-,7.11
