,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
48,Max-Alain Gradel Toulouse,34, M(CLR),FW,27(2),2418,8,1,2.4,1.6,2.7,1.6,0.3,2.1,3.3,7.13
49,Gaël Kakuta Amiens,31, M(CLR),FW,36,3092,6,6,1.5,1.8,2.5,1.8,0.2,3.5,3,7.12
50,Layvin Kurzawa PSG,30, D(L),M(L),19(1),1707,2,1,1.1,0.6,0.9,0.6,-,0.8,1.4,7.12
51,Léo Dubois Nantes,28, D(LR),M(R),34,3025,3,4,1.3,1.7,1.1,0.9,0.1,0.9,1.5,7.12
52,Kamil Glik Monaco,34, D(C),,36,3240,3,3,0.7,0.2,0.1,0.9,0.1,0.1,0.3,7.12
53,Hamari Traoré Rennes,30, D(R),M(R),30,2640,-,1,0.5,0.6,0.8,1.2,0.1,0.2,1.0,7.12
54,Kevin Malcuit Lille,31, D(R),M(R),21(2),1817,-,6,0.4,1.1,2.5,1.4,0.2,1.3,1.7,7.11
55,Youssouf Sabaly Bordeaux,29, D(LR),M(R),35,3094,-,5,0.3,1.0,1.5,0.9,0.1,0.9,1.6,7.11
56,Adrien Rabiot PSG,27, DMC,M(L),27(6),2366,1,5,0.7,0.8,1.2,0.7,-,1.1,1.0,7.11
57,João Moutinho Monaco,36, M(C),,31(2),2801,1,6,0.7,1.7,0.6,0.8,-,0.5,0.9,7.11
58,Jérôme Roussillon Montpellier,29, D(L),M(L),22,1887,3,3,0.9,1.2,1.7,1.2,0.2,1.0,1.9,7.11
59,Lucas Ocampos Marseille,28, M(CLR),FW,23(8),2038,9,3,2.0,0.7,1.5,1.5,0.2,1.8,2.4,7.1
60,André-Frank Zambo Anguissa Marseille,26, M(C),,22(11),2092,-,-,0.9,0.8,1.7,1.6,-,1.1,1.2,7.1
61,Thomas Lemar Monaco,26, AM(CLR),,27(3),2383,2,8,1.6,1.8,1.5,1.4,0.1,1.4,1.7,7.1
62,Ronny Rodelin Caen,32, AM(CLR),FW,36(1),3167,5,6,2.9,1.6,1.5,0.9,0.4,1.6,2.2,7.09
63,Rafael Lyon,32, D(LR),M(R),22(2),1819,1,2,0.3,0.9,1,1.1,0.1,0.6,1.0,7.09
64,Thomas Meunier PSG,31, D(R),M(R),16(8),1573,4,4,0.5,0.9,0.8,0.2,0.1,0.3,0.6,7.09
65,Thiago Silva PSG,38, D(C),,24(1),2117,1,-,0.4,0.2,-,0.5,-,-,0.1,7.08
66,Marçal Lyon,33, D(CL),M(L),14(4),1294,-,3,0.1,0.9,0.1,1.4,0.1,0.5,1.0,7.08
67,Ruben Aguilar Montpellier,29, D(R),M(R),27(4),2459,-,2,0.5,1.2,0.9,1.6,0.1,0.9,1.1,7.08
68,Lassana Diarra PSG,37, M(C),,8(2),609,-,1,-,0.4,3.2,0.4,-,1.1,1.1,7.07
69,Neven Subotic Saint-Etienne,33, D(C),,16,1440,2,1,0.4,0.3,0.1,0.3,-,-,0.4,7.06
70,Giovani Lo Celso PSG,26, M(CR),FW,18(15),1769,4,3,1.2,0.5,1.4,1.2,-,0.9,1,7.06
71,Pierre Lees-Melou Nice,29, M(CLR),,33(1),2898,5,6,1.4,1.7,1,1.1,0.2,1.1,1.5,7.05
72,Pablo Bordeaux,31, D(C),,15,1292,-,3,0.5,0.3,0.3,0.4,0.1,-,0.1,7.05
73,Lima Nantes,31, D(L),M(L),30(3),2661,2,3,1,1.6,0.7,0.8,0.1,1.1,1.5,7.05
74,Bouna Sarr Marseille,30, D(R),M(CLR),18(11),1782,-,3,0.6,1,1.5,0.9,0.1,0.9,1,7.04
75,Julian Draxler PSG,29, AM(CLR),FW,19(11),1706,4,5,0.8,0.9,1.5,0.3,0.1,1.1,0.9,7.04
76,Diego Benaglio Monaco,39, GK,,2(1),225,-,-,-,-,-,-,-,-,-,7.03
77,Jonathan Martins Pereira Guingamp,36, D(R),,14,1137,-,-,0.4,1.1,0.6,1.2,-,0.8,0.9,7.03
78,Loic Perrin Saint-Etienne,37, D(C),,28,2466,-,1,0.5,0.3,0.4,1,-,0.2,0.3,7.02
79,Bakaye Dibassy Amiens,33, D(CL),,31(1),2779,1,1,0.4,0.3,1.2,0.7,0.1,1,0.9,7.02
80,Ferland Mendy Lyon,27, D(L),M(L),24(3),2123,-,5,0.7,1,1.8,1.7,-,1,1.6,7.02
81,Flavien Tait Angers,29, M(CLR),,26(5),2248,4,3,1.9,1.2,2.2,1.6,0.1,1.9,1.7,7.02
82,Rony Lopes Monaco,26, AM(CLR),FW,32(6),2553,15,5,1.8,1.1,1.2,1,0.2,1.3,2.3,7.01
83,Stevan Jovetic Monaco,33, AM(CL),FW,7(8),751,8,1,2.3,0.6,0.4,0.7,0.5,1.2,1.7,7.01
84,Ramy Bensebaïni Rennes,27, D(CL),DMC,26(3),2345,-,1,0.7,0.3,0.8,1.4,0.1,0.2,0.5,7.01
85,Brice Samba Caen,28, GK,,3(1),315,-,-,-,-,0.3,-,-,-,-,7.01
86,Wahbi Khazri Rennes,31, M(CLR),FW,23(1),1927,9,2,2.7,1.4,1.9,2.2,0.7,2.3,2.9,7.0
87,Renaud Cohade Metz,38, M(C),,38,3301,1,3,1,1.1,0.8,0.7,0.1,1,1.8,6.99
88,Morgan Sanson Marseille,28, M(CLR),,25(8),2173,9,2,1.6,1.1,1.4,1.8,0.2,1.8,2.2,6.99
89,Ibrahim Sangaré Toulouse,24, DMC,,18(2),1589,1,2,1,1,1.5,1.1,-,1.3,1.2,6.99
90,Javier Pastore PSG,33, AM(CLR),,14(11),1344,4,5,1.0,1.1,1.1,0.5,0.1,1,1.3,6.99
91,Racine Coly Nice,26, D(L),M(L),7,618,-,-,0.3,0.1,2.0,1.1,0.1,0.9,1.3,6.98
92,Papy Djilobodji Dijon,33, D(C),DMC,30,2700,-,1,0.6,0.3,0.5,0.9,-,0.4,0.2,6.97
93,Soualiho Meïté Bordeaux,28, M(C),,15(3),1335,1,2,0.6,0.8,1.9,1.2,-,1.8,1.4,6.97
94,Yves Bissouma Lille,26, M(C),,15(9),1557,2,1,1.7,0.5,2.3,0.5,0.2,0.8,1.2,6.97
95,Adil Rami Marseille,36, D(C),,33,2957,1,2,0.5,0.3,0.2,0.7,-,0.1,0.2,6.97
96,Karl Toko-Ekambi Angers,30, AM(LR),FW,33(4),3041,17,6,2.8,1.3,1.8,0.9,0.8,2.3,2.9,6.96
97,Hilton Montpellier,45, D(C),,27,2430,-,-,0.7,0.3,0.3,0.9,0.1,-,0.3,6.96
98,Kenny Lala Strasbourg,31, D(LR),M(R),30(1),2725,3,4,0.5,0.8,2.0,0.9,-,1.1,1.2,6.96
99,Patrice Evra Marseille,41, D(CL),M(L),4,350,-,-,0.5,0.5,1.0,0.5,0.8,-,1.3,6.96
100,Lucas Tousart Lyon,25, DMC,,37,3140,-,-,0.4,0.4,0.5,0.6,-,0.6,1.0,6.95
101,Yassine Benzia Lille,28, AM(CLR),FW,30(1),2308,1,5,0.9,2.0,1.7,1.8,0.1,1.4,1.7,6.95
102,Arnaud Souquet Nice,30, D(CR),M(R),27(2),2415,-,2,0.2,0.4,0.8,1.6,-,0.8,1.3,6.95
103,Almamy Touré Monaco,26, D(CR),M(R),13(7),1242,1,6,0.4,0.9,0.7,0.2,0.1,0.6,0.9,6.94
104,Abdoulaye Touré Nantes,28, DMC,,31(5),2813,1,1,1.1,0.5,1.3,1.5,-,1.3,1.2,6.94
105,Jules Koundé Bordeaux,23, D(CR),,17(1),1588,2,-,0.6,0.2,0.2,0.3,0.1,0.2,0.1,6.94
106,Yannis Salibur Guingamp,31, AM(CLR),FW,19(3),1529,3,3,2.5,1.2,2.3,1.7,0.3,1.4,1.4,6.94
107,Thomas Monconduit Amiens,31, DMC,,34,2956,1,3,0.8,0.7,1.1,1.4,0.1,0.9,1.2,6.94
108,Lukas Lerager Bordeaux,29, M(CR),,37,3286,3,1,1.1,0.6,0.2,1.4,0.1,0.8,1.2,6.94
109,Moussa Sylla Monaco,22, AM(R),FW,3(2),303,2,-,2.0,0.6,1.0,0.8,0.4,1.2,1.8,6.94
110,Yann M'Vila Saint-Etienne,32, D(C),M(C),17,1482,-,-,0.2,0.2,0.3,1.2,-,0.5,0.6,6.93
111,Jemerson Monaco,30, D(CR),DMC,33,2857,2,-,0.5,0.1,0.1,0.5,-,0.1,0.4,6.93
