,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Eden Hazard Belgium,31, M(CLR),FW,6,518,0.7,0.3,1,-,0.2,0.8,-,-,8.51
1,Yerry Mina Colombia,27, D(C),,3,301,1.3,1,2,0.7,7,0.7,0.7,-,8.35
2,Isco Spain,30, M(CLR),FW,4,391,1.3,0.8,0.3,-,0.3,0.5,-,-,8.29
3,Neymar Brazil,30, AM(CLR),FW,5,450,1,-,0.8,-,-,0.4,0.2,-,8.25
4,Essam El Hadary Egypt,49, Goalkeeper,,1,90,-,-,-,-,1,-,-,-,8.23
5,Kieran Trippier England,31, D(LR),M(R),6,577,2.5,1.8,1,0.3,1.5,1,-,-,8.03
6,Lionel Messi Argentina,35, AM(CR),FW,4,360,1.3,0.3,1,-,-,1.5,-,-,7.87
7,Oussama Haddadi Tunisia,30, D(CL),M(L),1,90,1,4,1,-,3,-,-,-,7.77
8,Wilfred Ndidi Nigeria,25, D(C),DMC,3,270,5,4,1.7,-,2,2,-,-,7.77
9,Kylian Mbappé France,23, AM(LR),FW,6(1),534,0.9,0.3,0.1,-,0.1,0.1,-,-,7.75
10,Edinson Cavani Uruguay,35, AM(LR),FW,4,344,1.5,0.3,1,-,0.5,0.5,-,-,7.75
11,Harry Kane England,29, AM(C),FW,6,574,0.2,0.5,0.7,-,0.2,0.3,-,-,7.73
12,Douglas Costa Brazil,32, M(CLR),,0(2),77,1,1,-,-,-,-,-,-,7.73
13,Lovre Kalinic Croatia,32, GK,,1,90,-,-,-,-,2,-,-,-,7.73
14,Cristiano Ronaldo Portugal,37, M(L),FW,4,360,-,-,0.8,-,1,0.3,0.3,-,7.73
15,Adnan Januzaj Belgium,27, AM(CLR),,1,86,-,1,1,-,-,3,-,-,7.67
16,Casemiro Brazil,30, DMC,,4,330,4.3,1.5,0.8,-,3,1.8,0.3,-,7.66
17,Kevin De Bruyne Belgium,31, M(CLR),FW,6,540,1.7,1,0.8,-,0.8,1.3,-,-,7.65
18,Rafal Kurzawa Poland,29, Midfielder,,1,80,2,2,-,-,-,-,-,-,7.61
