,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
53,Denis Cheryshev Russia,31, AM(L),FW,3(2),305,4,-,2.6,-,1.2,0.2,-,0.6,0.6,7.36
54,Hirving Lozano Mexico,27, AM(LR),FW,4,317,1,1,3.3,1.5,3.5,3.5,0.3,1.8,1.8,7.34
55,Ivan Rakitic Croatia,34, M(C),,6(1),638,1,-,2.1,1.4,1.6,2.9,0.1,1.3,1.1,7.33
56,Joel Campbell Costa Rica,30, AM(LR),FW,1(1),113,-,1,1.5,2,3.5,1.5,-,3.5,2.0,7.32
57,Salem Al Dawsari Saudi Arabia,31, Midfielder,,3,270,1,-,2.3,1.7,4,2.0,0.3,2.3,2.7,7.32
58,Thiago Silva Brazil,37, D(C),,5,450,1,-,1.4,0.2,-,0.6,-,-,0.2,7.31
59,Ki Sung-Yeung South Korea,33, DMC,,2,180,-,-,1.5,0.5,0.5,1.5,-,0.5,0.5,7.31
60,Felipe Baloy Panama,41, Defender,,0(1),21,1,-,1,-,-,-,-,-,-,7.3
61,Guillermo Ochoa Mexico,37, GK,,4,360,-,-,-,-,-,0.3,-,-,-,7.29
62,M'Baye Niang Senegal,27, AM(LR),FW,3,247,1,1,2.7,2,0.7,1.3,0.7,-,3,7.29
63,Diego Godín Uruguay,36, D(C),,5,450,-,-,0.6,0.6,1,1,0.2,0.2,0.2,7.28
64,Carl Mikael Lustig Sweden,35, D(CR),,4,352,-,-,0.3,1.5,0.3,0.8,-,-,0.5,7.28
65,John Stones England,28, D(CR),,7,647,2,-,0.9,-,-,0.6,-,0.4,0.3,7.28
66,Thorgan Hazard Belgium,29, M(CLR),FW,1(1),97,-,-,1.5,1.5,2,-,0.5,-,1,7.25
67,Henrik Dalsgaard Denmark,33, D(CR),M(R),4,390,-,-,-,0.5,0.3,0.3,-,-,0.3,7.23
68,Harry Maguire England,29, D(C),,6(1),646,1,1,1.6,0.9,0.7,0.9,-,0.3,0.9,7.22
69,Aleksandar Mitrovic Serbia,28, FW,,3,269,1,-,4.7,0.3,0.7,2.3,1,3,2,7.22
70,Djibril Sidibé France,30, D(CLR),M(R),1,90,-,-,-,3,-,-,-,-,2,7.22
71,Ghaylen Chaaleli Tunisia,28, DMC,,1,90,-,-,1,-,1,3,-,2,1,7.22
72,Roman Zobnin Russia,28, M(CLR),,5,511,-,1,1.4,0.8,1.2,1.8,-,1.2,1.2,7.21
73,Nacho Spain,32, D(CLR),,2,160,1,-,0.5,1,1.5,2,-,-,-,7.21
74,André Carrillo Peru,31, AM(LR),,3,259,1,-,1,2,3.3,1,0.3,3.3,2,7.2
75,Presnel Kimpembe France,27, D(C),,1,90,-,-,-,-,-,2,-,-,1,7.18
76,Aaron Mooy Australia,32, M(CLR),,3,270,-,-,1,3,1.3,0.3,-,0.3,0.3,7.17
77,Miranda Brazil,38, D(C),,5,450,-,-,0.2,0.4,0.2,0.8,-,-,0.2,7.17
78,Marcelo Brazil,34, D(L),M(L),4,280,-,-,1.3,2.3,1,0.8,-,0.5,0.5,7.16
79,Juan Quintero Colombia,29, AM(C),,4,310,1,2,2,1.5,0.8,0.8,-,0.8,0.8,7.16
80,Marouane Fellaini Belgium,34, M(C),,3(2),316,1,-,1,0.6,0.6,1.2,0.2,0.8,1,7.15
81,Kenneth Omeruo Nigeria,28, D(C),,2,180,-,1,-,1,-,1.5,-,-,0.5,7.14
82,Raphaël Varane France,29, D(C),,7,630,1,-,0.6,-,0.3,0.1,-,0.4,0.3,7.14
83,Christian Eriksen Denmark,30, M(CLR),FW,4,390,1,1,3,1.5,1.3,0.8,-,1.8,2.8,7.14
84,Amine Harit Morocco,25, AM(CLR),FW,1,82,-,-,3,2,6,2,-,5,1,7.13
85,Ante Rebic Croatia,28, AM(CLR),FW,6,547,1,-,2.5,0.2,3.2,1.8,-,2,4.2,7.13
86,Ivan Perisic Croatia,33, M(CLR),FW,7,632,3,1,3.1,1,0.7,0.7,0.4,0.7,0.7,7.13
87,Thibaut Courtois Belgium,30, GK,,7,630,-,-,-,-,-,-,-,-,-,7.12
88,Jae-Sung Lee South Korea,30, AM(CL),FW,3,270,-,1,2,1.7,1.7,0.3,-,1.7,1.3,7.12
89,Diego Costa Spain,33, FW,,4,320,3,-,2.5,0.8,0.5,0.5,0.3,2.8,1.8,7.12
90,Grzegorz Krychowiak Poland,32, D(C),M(C),3,270,1,-,0.7,0.7,-,2.7,-,1,0.7,7.12
91,Steve Mandanda France,37, GK,,1,90,-,-,-,-,-,-,-,-,-,7.11
92,Éver Banega Argentina,34, M(C),,2(1),216,-,2,1,1.3,2,1,-,1.7,2.3,7.11
93,Luis Advíncula Peru,32, D(R),M(R),3,270,-,-,1,0.3,0.7,2.7,-,0.7,0.7,7.1
94,Romelu Lukaku Belgium,29, AM(R),FW,6,476,4,1,2.2,0.7,1,0.5,0.2,1.5,2.5,7.1
95,Xherdan Shaqiri Switzerland,30, M(CLR),,4,351,1,1,3.3,2.5,1.8,2.3,-,0.8,1.8,7.1
96,Luis Suárez Uruguay,35, AM(CLR),FW,5,450,2,1,2.4,1.4,0.8,2.2,0.2,2.6,3,7.09
97,Cristian Gamboa Costa Rica,32, D(R),,3,255,-,-,1,0.7,1,2,-,-,1,7.09
98,Filipe Luís Brazil,37, D(L),,1(1),170,-,-,0.5,1.5,0.5,-,-,-,-,7.09
99,Youssef En-Nesyri Morocco,25, FW,,0(1),18,1,-,1,-,-,-,-,-,1,7.09
100,Gerard Piqué Spain,35, D(C),,4,391,-,-,2.3,0.5,-,0.5,-,-,0.8,7.09
101,Dusan Tadic Serbia,33, AM(CLR),FW,3,263,-,1,1.0,2.3,1.3,1.3,-,1.3,3,7.08
102,Benjamin Pavard France,26, D(CLR),M(R),6,540,1,-,0.7,0.3,0.2,0.8,-,0.2,0.7,7.08
103,Ricardo Rodríguez Switzerland,30, D(CL),M(L),4,360,-,-,1.8,1.8,1.8,0.8,-,0.5,0.5,7.07
104,Domagoj Vida Croatia,33, D(CR),,6,630,1,1,0.5,0.2,0.2,0.3,-,-,0.5,7.07
