,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
267,Serge Aurier Villarreal,29, D(CLR),M(R),10(9),1003,-,1,0.6,0.3,0.7,0.3,0.1,0.6,0.8,6.53
268,Esteban Saveljich Rayo Vallecano,31, D(C),,21,1708,-,-,0.4,-,-,0.1,0.1,0.1,0.1,6.53
269,Sime Vrsaljko Atletico,30, D(LR),M(R),10(11),910,1,2,0.2,0.1,0.2,0.2,0.1,0.3,0.7,6.53
270,Roger Martí Levante,31, FW,,25(4),2124,7,3,1.7,0.8,0.5,1,0.4,0.8,2,6.53
271,Samuel Umtiti Barcelona,28, D(CL),,1,90,-,-,-,-,-,1,1,-,-,6.53
272,Matheus Cunha Atletico,23, AM(CL),FW,8(21),1053,6,4,1.3,0.3,0.2,0.9,-,0.4,1.1,6.53
273,Nico González Barcelona,20, M(C),,12(15),1111,2,1,0.6,0.5,1.3,0.7,-,0.7,1.4,6.53
274,Sergi Roberto Barcelona,30, D(R),M(CR),4(5),400,2,1,0.4,0.4,0.3,0.4,0.1,0.2,0.6,6.53
275,Antonio Raíllo Mallorca,30, D(C),,17,1530,2,-,0.5,-,-,0.8,0.1,0.1,0.5,6.53
276,Kike Pérez Elche,25, AM(C),,5(7),518,2,-,0.8,0.5,0.8,0.5,0.1,0.9,1.4,6.53
277,Jonás Ramalho Osasuna,29, D(CR),,3,245,-,-,0.7,-,-,-,-,0.3,1,6.52
278,Ferran Jutglà Barcelona,23, FW,,4(2),303,1,-,1.7,0.3,0.3,1,0.2,0.5,0.8,6.52
279,Felipe Atletico,33, D(C),,15(11),1499,2,1,0.4,0.2,0.1,0.5,0.1,0.1,0.3,6.52
280,Salva Sevilla Mallorca,38, M(CL),,17(11),1510,5,3,0.9,1,0.2,0.3,-,0.2,0.7,6.52
281,Sergi Gómez Espanyol,30, D(CR),,31,2724,1,2,0.3,0.1,-,0.1,-,0.1,0.2,6.52
282,Pervis Estupiñán Villarreal,24, D(L),,17(11),1574,-,1,0.5,0.5,0.6,0.4,0.4,0.5,0.9,6.52
283,Pere Milla Elche,29, AM(CL),FW,18(15),1640,8,3,0.9,0.4,0.5,1.5,0.3,1,1.6,6.51
284,Nemanja Gudelj Sevilla,30, D(C),M(C),9(12),1040,-,-,0.2,0.1,-,0.4,-,0.1,0.3,6.51
285,Néstor Araújo Celta Vigo,30, D(C),,29(5),2617,-,-,0.2,0.1,0.1,0.3,-,0.1,0.3,6.51
286,Óscar Rodríguez Getafe,24, AM(CLR),,9(9),946,-,1,1.4,0.6,0.6,0.6,0.1,0.7,1.1,6.51
287,Marc-André ter Stegen Barcelona,30, GK,,35,3150,-,-,-,-,0.1,0.2,-,-,-,6.51
288,Rubén Sánchez Espanyol,21, Defender,,1(3),148,-,1,0.3,0.3,0.8,0.3,-,0.3,1,6.51
289,Sergio Escudero Granada,32, D(L),M(L),15(12),1429,2,1,0.8,0.5,0.1,0.7,0.2,0.4,0.7,6.5
290,Gonzalo Melero Levante,28, AM(C),FW,20(9),1697,7,2,0.8,0.6,0.4,0.9,0.1,0.9,1.1,6.5
291,Aridane Hernández Osasuna,33, D(C),,12(3),1159,-,-,0.1,0.1,0.1,0.3,0.2,0.1,0.3,6.5
292,Florian Lejeune Deportivo Alaves,31, D(C),,30,2700,-,-,0.7,0.2,0.1,0.2,0.1,-,0.3,6.5
293,Domingos Duarte Granada,27, D(C),,19(2),1689,1,-,0.3,0.1,0.1,0.7,-,-,0.3,6.5
294,Rubén Sobrino Cadiz,30, AM(LR),FW,19(14),1856,4,1,1,0.4,1,1.0,0.1,1,1.8,6.5
295,Víctor Laguardia Deportivo Alaves,32, D(C),,34,3044,3,2,0.4,0.1,-,0.2,0.1,0.1,0.3,6.5
296,Okay Yokuslu Getafe,28, D(C),DMC,5(6),463,-,-,0.4,-,0.5,0.5,-,0.3,0.5,6.49
297,Josan Elche,32, D(R),M(R),10(21),1200,2,3,0.4,0.6,0.9,1.0,0.1,0.5,0.7,6.49
298,Fernando Pacheco Deportivo Alaves,30, GK,,34,3054,-,-,-,0.1,-,0.1,-,-,0.1,6.49
299,Jorge Miramón Levante,33, D(R),M(R),22(7),1976,1,-,0.2,0.6,0.7,0.8,-,0.7,1.1,6.49
300,Héctor Herrera Atletico,32, M(C),,8(13),852,-,-,0.4,0.5,0.8,0.4,-,0.1,0.7,6.49
301,Quini Granada,32, D(LR),,27(5),2305,-,1,0.5,0.6,0.5,0.4,-,0.6,1,6.49
302,Hugo Duro Valencia,22, AM(L),FW,22(8),1847,7,1,1,0.5,0.4,1.5,0.2,1.1,1.9,6.49
303,Martin Valjent Mallorca,26, D(C),,36,3183,-,-,0.3,0.2,0.1,0.2,-,0.1,0.3,6.49
304,Óscar Mingueza Barcelona,23, D(CR),,9(10),892,-,1,0.1,0.5,0.3,0.2,0.1,0.3,0.4,6.49
305,Varazdat Haroyan Cadiz,30, D(C),,16(1),1439,1,-,0.2,0.2,0.2,0.4,0.1,0.1,0.4,6.49
306,Sergi Guardiola Rayo Vallecano,31, FW,,20(12),1716,8,2,1.6,0.5,0.4,0.9,0.4,1,1.8,6.49
307,Luis Hernández Cadiz,33, D(CR),,15(1),1366,-,-,0.4,0.3,-,0.4,0.1,0.1,0.2,6.49
308,Aitor Fernández Levante,31, GK,,13,1167,-,-,-,-,-,0.2,-,-,-,6.49
309,Carlos Neva Granada,26, D(L),M(L),24(2),2115,-,-,0.2,0.5,0.3,0.8,-,0.3,0.8,6.48
310,Antonio Sivera Deportivo Alaves,26, GK,,3(1),276,-,-,-,-,-,-,-,-,-,6.48
311,Unai Vencedor Athletic Bilbao,21, DMC,,29(5),2397,-,-,0.6,0.4,0.7,1,-,0.6,0.7,6.48
312,Aihen Muñoz Real Sociedad,25, D(L),,15(5),1345,-,-,0.4,0.3,0.7,0.7,-,0.6,1.2,6.48
313,Enzo Roco Elche,30, D(C),,29(1),2555,1,-,0.4,0.1,0.2,0.2,-,0.1,0.5,6.48
314,Germán Sánchez Granada,35, D(C),,25(7),2298,2,1,0.4,0.2,-,0.8,-,-,0.1,6.47
315,Kike García Osasuna,32, FW,,18(15),1860,5,1,1.6,0.6,0.4,1.1,0.3,1.1,2.5,6.47
316,Karim Rekik Sevilla,27, D(CL),,11(7),1095,-,2,0.2,0.3,0.3,0.4,0.1,0.3,0.9,6.47
317,Rodri Real Betis,22, AM(R),,10(11),882,1,2,0.7,0.8,0.8,0.7,-,0.5,0.7,6.47
318,Mario Gila Real Madrid,21, Defender,,0(2),24,-,-,-,-,0.5,-,-,-,-,6.47
319,Vicente Iborra Villarreal,34, M(C),,12(8),1032,-,1,0.4,0.1,0.1,0.5,-,0.3,0.3,6.47
320,Renan Lodi Atletico,24, D(L),M(L),13(16),1181,2,2,0.3,0.4,0.6,0.7,0.1,0.4,0.8,6.47
321,Tete Morente Elche,25, AM(CLR),,18(14),1636,3,3,0.9,0.5,0.9,0.7,0.3,0.4,1.4,6.47
322,Manolo Reina Mallorca,37, GK,,23,1892,-,-,-,-,-,0.2,-,-,-,6.47
323,Juan Cruz Osasuna,30, D(CL),,22(1),1935,-,-,0.1,0.1,0.4,0.2,-,0.5,0.4,6.46
324,Dimitri Foulquier Valencia,29, D(CLR),M(R),25(4),2337,-,1,0.6,0.4,0.8,1.4,-,0.4,0.7,6.46
325,Gerard Gumbau Elche,27, DMC,,20(11),1891,-,4,0.7,0.9,0.2,0.7,-,0.2,0.7,6.46
326,Carlos Domínguez Celta Vigo,21, D(C),,3(5),341,-,-,0.1,-,0.1,0.5,-,-,0.3,6.46
327,Chimy Avila Osasuna,28, AM(LR),FW,22(14),1875,6,1,1.8,0.5,0.5,1.1,0.4,0.6,1.3,6.46
328,Oussama Idrissi Sevilla,26, AM(LR),,2(3),127,-,-,0.8,0.2,1.6,0.8,0.4,0.6,0.4,6.46
329,Philippe Coutinho Barcelona,30, M(CLR),,5(7),500,2,-,2,0.1,1.1,1.1,0.2,1.3,1.6,6.46
