,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Robert Lewandowski Bayern,34, FW,,34,2952,0.3,0.2,0.6,0.1,0.2,0.4,0.1,-,7.89
1,Christopher Nkunku RBL,24, M(CLR),FW,31(3),2735,0.7,0.4,0.9,-,0.4,0.8,0.1,-,7.64
2,Joshua Kimmich Bayern,27, D(CR),DMC,28,2478,1.4,1.9,0.7,0.1,0.9,1.4,0.3,-,7.6
3,Stefanos Kapino Arminia Bielefeld,28, GK,,1,90,-,-,-,-,-,-,-,-,7.58
4,Erling Haaland Borussia Dortmund,22, FW,,21(3),1915,0.1,-,0.7,-,1.3,-,-,-,7.55
5,Patrik Schick Leverkusen,26, AM(R),FW,26(1),2094,0.2,0.1,0.5,-,1,0.3,-,-,7.45
6,Florian Wirtz Leverkusen,19, AM(C),,22(2),1864,1,0.5,0.6,-,0.1,0.8,-,-,7.41
7,Nico Schlotterbeck Freiburg,22, D(C),,32,2789,2.3,1.8,1,0.7,4.6,0.5,1,-,7.39
8,Thomas Müller Bayern,32, M(CLR),FW,32,2578,1.1,0.5,0.3,-,0.4,1.2,-,1,7.34
9,Alphonso Davies Bayern,21, D(L),M(LR),20(2),1744,1.5,1,0.7,0.2,0.9,0.8,-,-,7.31
10,Jonas Wind Wolfsburg,23, AM(C),FW,14,1187,0.7,0.4,1.0,-,0.9,0.2,0.2,-,7.31
11,Serge Gnabry Bayern,27, AM(CLR),FW,25(9),2192,1.4,0.4,0.3,-,0.1,1.0,-,-,7.3
12,Marco Reus Borussia Dortmund,33, M(CLR),FW,29,2514,1.6,0.4,0.8,-,1.3,0.9,0.2,-,7.25
13,Jonas Hofmann Borussia M.Gladbach,30, M(CLR),,24(2),2082,1.2,0.5,0.9,-,0.3,1.0,-,-,7.2
14,Moussa Diaby Leverkusen,23, M(CLR),,32,2773,0.6,0.3,1.2,-,0.1,1.0,-,-,7.2
15,Leroy Sané Bayern,26, M(CLR),FW,22(10),1982,0.9,0.4,0.8,-,-,0.5,-,-,7.17
16,David Raum Hoffenheim,24, D(L),M(LR),31(1),2762,1.6,0.8,0.8,0.5,1.1,1.1,0.2,1,7.16
17,Kingsley Coman Bayern,26, M(LR),FW,16(5),1369,0.7,0.4,0.4,-,0.1,0.5,-,-,7.13
18,Jude Bellingham Borussia Dortmund,19, M(CLR),,32,2795,1.6,1.3,1.2,-,0.9,1.0,0.1,-,7.12
19,Julian Brandt Borussia Dortmund,26, M(CLR),FW,22(9),2083,1.2,0.8,0.4,-,0.4,1.2,0.1,-,7.12
20,Tom Rothe Borussia Dortmund,17, Defender,,1(1),94,2,1,1.5,-,1.5,1.5,-,-,7.12
21,Filip Kostic Eintracht Frankfurt,29, M(LR),FW,28(3),2525,1.4,0.5,0.5,0.1,0.6,1.1,-,-,7.11
22,Anthony Modeste FC Koln,34, FW,,31(1),2620,0.3,0.1,1.2,-,0.9,0.5,0.1,-,7.11
23,Diant Ramaj Eintracht Frankfurt,20, Goalkeeper,,1,90,-,-,-,-,4.0,-,-,-,7.11
24,Vincenzo Grifo Freiburg,29, AM(CL),,33(1),2792,0.8,0.4,0.3,-,0.7,0.5,0.1,-,7.1
25,Nicolas Höfler Freiburg,32, D(C),DMC,30,2604,2.4,1.5,1.6,0.1,1.4,1.2,0.7,-,7.09
26,Leon Goretzka Bayern,27, M(CR),,19,1407,1.3,0.9,0.8,0.1,1.2,0.8,0.1,-,7.08
27,Lucas Höler Freiburg,28, AM(CLR),FW,30(4),2598,1.2,0.5,1.1,-,1.1,0.4,0.1,-,7.08
28,Sasa Kalajdzic Stuttgart,25, FW,,13(2),1221,0.7,0.1,0.7,-,0.9,0.5,-,-,7.08
29,Evan Ndicka Eintracht Frankfurt,23, D(CL),,32,2858,1.9,1.5,1.3,1,4.1,0.5,0.6,1,7.06
30,Danilo Soares Bochum,30, D(L),M(L),30,2568,3.6,2.1,1.1,0.2,2.1,0.9,0.3,-,7.06
31,Timo Hübers FC Koln,26, D(C),,20,1742,2.3,2.6,1.3,0.5,4.6,0.9,1,1,7.06
32,Willi Orbán RBL,29, D(C),,30,2646,1.1,1.5,0.4,0.9,4,0.4,0.8,-,7.06
33,Konstantinos Mavropanos Stuttgart,24, D(C),,31,2711,1.8,2.2,0.7,0.2,5.4,0.7,0.7,-,7.05
34,Josko Gvardiol RBL,20, D(CL),,28(1),2413,1.6,1.8,1.4,0.6,1.9,0.6,0.4,1,7.04
35,Max Kruse Union Berlin,34, M(CLR),FW,16,1283,0.3,0.2,0.3,-,0.1,0.9,-,-,7.03
36,Jeremiah St. Juste Mainz,25, D(CR),DMC,7(1),605,1.6,1.8,1.8,0.3,1.6,0.1,0.4,-,7.03
37,Borna Sosa Stuttgart,24, D(L),M(L),28,2500,0.8,0.9,0.5,0.1,2,0.5,0.1,-,7.02
38,Lennart Grill Leverkusen,23, GK,,1,90,-,-,-,-,-,-,-,-,7.01
39,Mark Uth FC Koln,31, AM(CR),FW,24(6),2041,1.1,0.5,1.1,-,0.4,1.1,-,-,7.0
40,Manu Koné Borussia M.Gladbach,21, DMC,,25(1),2107,2.3,1.3,1.4,-,0.5,0.7,0.2,-,6.99
41,Maximilian Arnold Wolfsburg,28, M(CR),,34,2996,1.1,1.1,1.4,0.1,1.6,0.9,0.4,-,6.99
42,Ellyes Skhiri FC Koln,27, DMC,,20(2),1820,2.5,1.7,0.8,-,1.4,0.9,0.3,-,6.98
