,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
45,Alexander Hack Mainz,28, D(C),,24(4),2078,1,0.4,40.0,79.3,-,3.3,-,6.97
46,Jonas Hector FC Koln,32, D(L),M(CL),30,2556,6,1.2,44.1,77.7,0.5,3.2,-,6.97
47,Christopher Trimmel Union Berlin,35, D(CR),M(R),23(2),1996,-,1.2,31.0,68.1,1.4,1.7,0.1,6.97
48,Benjamin Hübner Hoffenheim,33, D(C),,5,378,-,-,54.4,84.6,-,3.0,-,6.96
49,Anthony Losilla Bochum,36, D(C),DMC,32,2847,-,0.5,38.8,76.9,0.1,3.0,-,6.96
50,Angeliño RBL,25, D(L),M(L),26(3),2299,5,1.8,38.4,76.7,2,2.0,-,6.95
51,Omar Marmoush Stuttgart,23, AM(L),FW,19(2),1584,5,1.5,18.7,71.2,1,0.4,-,6.95
52,Jamal Musiala Bayern,19, M(CL),,12(18),1458,5,0.9,23.0,84.8,-,0.3,0.1,6.94
53,Jonathan Tah Leverkusen,26, D(C),,33,2882,3,0.3,57.8,88.2,-,2.5,0.1,6.94
54,Lucas Hernández Bayern,26, D(CL),,25,2041,1,0.4,76.7,89.6,0.1,3.2,-,6.94
55,Max Kruse Wolfsburg,34, M(CLR),FW,14,1138,1,1.1,33.4,74.7,0.4,1.9,0.4,6.94
56,Anton Stach Mainz,23, DMC,,20(9),1864,6,1.1,31.0,72.7,0.6,1.4,-,6.93
57,Marcel Halstenberg RBL,30, D(CL),M(L),5(3),506,-,0.5,49.3,87.3,0.5,1.9,-,6.93
58,Wataru Endo Stuttgart,29, DMC,,33,2902,2,0.7,47.2,80.7,0.1,1.8,0.1,6.93
59,Patrick Wimmer Arminia Bielefeld,21, AM(R),,27(4),2067,6,1.4,21.4,58.6,0.6,0.5,0.1,6.92
60,Alassane Plea Borussia M.Gladbach,29, AM(CLR),FW,23(9),1983,6,1.8,22.8,75.4,0.2,1.2,0.4,6.91
61,Breel Embolo Borussia M.Gladbach,25, AM(CR),FW,23(5),2076,3,1.2,19.1,74.2,-,0.5,0.2,6.91
62,Donyell Malen Borussia Dortmund,23, AM(L),FW,20(7),1696,3,0.8,18.7,75.5,0.2,0.4,-,6.9
63,Andrej Kramaric Hoffenheim,31, AM(CLR),FW,30(2),2710,9,1.3,30.2,81.2,0.6,0.8,0.2,6.89
64,Thomas Meunier Borussia Dortmund,30, D(R),M(R),17,1406,4,0.9,56.9,78.0,0.9,2.4,0.1,6.88
65,Mohamed Simakan RBL,22, D(CR),,23(5),2013,-,0.3,49.5,86.6,-,1.9,-,6.88
66,Jeremie Frimpong Leverkusen,21, D(R),M(R),25,2062,6,1.2,37.3,81.5,0.5,1.0,-,6.88
67,Maximilian Mittelstädt Hertha Berlin,25, D(L),M(CL),16(8),1494,5,0.9,24.2,70.6,0.9,1.0,-,6.88
68,Mats Hummels Borussia Dortmund,33, D(C),,20(3),1768,2,0.1,66.1,87.3,-,4.1,0.1,6.88
69,Florian Kainz FC Koln,29, AM(CLR),,31(1),2347,4,1.5,24.9,70.1,1.7,1.4,-,6.88
70,Florian Grillitsch Hoffenheim,27, D(C),M(CL),16(2),1495,-,0.6,58.1,89.4,0.2,6.6,0.1,6.87
71,Benjamin Pavard Bayern,26, D(CLR),M(R),24(1),2080,1,0.7,77.1,88.1,0.4,3.2,-,6.87
72,Philipp Lienhart Freiburg,26, D(C),,32,2871,-,0.1,54.3,85.3,0.1,4.2,-,6.87
73,Emre Can Borussia Dortmund,28, D(CLR),DMC,19(5),1691,1,0.3,57.9,85.5,-,3.0,-,6.86
74,Reece Oxford Augsburg,23, D(C),DMC,30,2694,1,0.1,38.7,79.7,-,3.2,-,6.86
75,Ramy Bensebaïni Borussia M.Gladbach,27, D(CL),DMC,21(1),1930,1,0.6,53.0,81.6,0.2,2.9,-,6.86
76,Mahmoud Dahoud Borussia Dortmund,26, M(C),,20(2),1665,3,1.3,46.7,79.8,0.5,1.9,0.3,6.85
77,Karim Onisiwo Mainz,30, AM(LR),FW,28(3),2376,8,1.3,16.5,62.4,0.4,0.3,-,6.84
78,Edmond Tapsoba Leverkusen,23, D(C),,19(3),1813,-,-,64.9,88.4,-,3.5,-,6.84
79,Taiwo Awoniyi Union Berlin,25, FW,,29(2),2200,1,0.9,14.8,67.2,0.1,0.1,0.1,6.84
80,Aarón Martín Mainz,25, D(L),M(L),25(3),2296,1,1.6,29.1,75.1,1.6,2,-,6.84
81,Maxence Lacroix Wolfsburg,22, D(C),,29,2497,-,0.2,52.4,81.4,-,3.7,0.1,6.83
82,Paul Jaeckel Union Berlin,24, D(C),DMC,22(2),2045,-,0.3,47.0,79.5,-,3.9,-,6.83
83,Chris Führich Stuttgart,24, M(CLR),FW,21(4),1725,2,1.2,24.3,83.9,0.8,0.8,0.1,6.83
84,Jamie Bynoe-Gittens Borussia Dortmund,18, Forward,,1(3),133,-,0.5,10.3,68.3,-,-,0.5,6.83
85,Jonathan Burkardt Mainz,22, AM(CR),FW,32(2),2632,3,0.9,16.4,70.3,0.1,0.4,-,6.82
86,Josip Brekalo Wolfsburg,24, AM(CLR),FW,0(1),20,1,1,15.0,80.0,-,2,-,6.82
87,Dominik Szoboszlai RBL,21, AM(CL),,15(16),1538,8,1.3,27.5,81.0,1.2,1,0.1,6.82
88,Tony Jantschke Borussia M.Gladbach,32, D(CR),DMC,3,227,-,-,40.0,73.3,-,1.3,-,6.82
89,Amadou Haidara RBL,24, M(CLR),,15(5),1327,1,0.4,38.7,84.1,0.1,1.6,0.1,6.82
90,Raphaël Guerreiro Borussia Dortmund,28, D(L),M(CL),21(2),1803,2,1.2,58.3,85.5,0.6,0.9,-,6.82
91,Ridle Baku Wolfsburg,24, D(R),M(CR),28(6),2450,5,1.1,31.1,76.5,0.6,1.5,-,6.81
92,Niklas Süle Bayern,26, D(CR),,19(9),1835,2,0.4,61.9,90.1,0.1,3.9,-,6.81
93,Daniel Caligiuri Augsburg,34, D(R),M(CLR),24(4),2014,2,0.8,23.8,71.5,0.9,1.3,-,6.81
94,Manuel Riemann Bochum,33, GK,,30,2700,1,0.2,49.9,60.6,-,18.8,-,6.81
95,Lukas Kübler Freiburg,29, D(R),M(R),27(2),2338,-,0.5,33.0,74.9,0.3,2.0,-,6.8
96,Sheraldo Becker Union Berlin,27, AM(CLR),FW,22(6),1770,6,1.5,17.1,71.3,1.1,0.6,0.1,6.8
97,Lukás Hrádecky Leverkusen,32, GK,,32,2880,-,-,33.9,73.8,-,6.1,-,6.8
98,Denis Zakaria Borussia M.Gladbach,25, D(C),DMC,15(1),1395,1,0.6,50.6,90.1,-,1.6,-,6.8
99,Silvan Widmer Mainz,29, D(R),M(R),33,2925,5,0.6,34.0,74.4,0.3,1.2,-,6.79
100,Amos Pieper Arminia Bielefeld,24, D(C),,27,2382,-,0.2,42.4,78.1,0.1,2.6,-,6.79
101,Rafael Borré Eintracht Frankfurt,26, FW,,28(3),2391,4,0.9,21.5,72.3,0.1,0.5,0.1,6.79
102,Salih Özcan FC Koln,24, M(C),,26(5),2310,-,0.6,42.7,84.1,0.2,1.8,-,6.79
103,Michael Gregoritsch Augsburg,28, AM(CR),FW,15(10),1394,-,0.3,15.8,59.0,0.1,0.3,-,6.78
104,Marvin Schwäbe FC Koln,27, GK,,21,1890,-,-,43.3,81.4,-,7.0,-,6.78
105,Robert Andrich Leverkusen,27, M(C),,21(5),1821,2,0.5,38.3,81.1,-,1.3,0.2,6.78
106,Karim Bellarabi Leverkusen,32, M(CLR),FW,9(7),687,2,0.6,14.7,79.6,0.4,0.7,0.1,6.78
