,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
164,Kyle Naughton Swansea,33, D(CLR),M(R),34,3033,2,0.4,48.2,74.8,0.3,2.1,-,6.84
165,Matt Ritchie Newcastle,33, D(L),M(CLR),32(3),2812,5,1.5,29.9,72.5,1.2,1.4,0.1,6.84
166,Daley Blind Man Utd,32, D(CL),DMC,4(3),361,-,0.6,32.0,85.3,1.3,1.6,-,6.84
167,Claudio Bravo Man City,39, GK,,2(1),225,-,-,18.3,90.9,-,3.3,-,6.83
168,David de Gea Man Utd,32, GK,,37,3330,-,-,25.5,57.5,-,7.0,-,6.83
169,Robert Elliot Newcastle,36, GK,,16,1440,-,-,30.7,53.6,-,10.4,-,6.83
170,Eldin Jakupovic Leicester,38, GK,,2,180,-,-,21.5,53.5,-,8.5,-,6.83
171,Jack Wilshere Arsenal,30, M(CLR),,12(8),1188,3,0.8,40.4,86.4,0.1,1.2,0.1,6.82
172,Phil Jagielka Everton,40, D(CR),,23(2),2065,-,-,38.6,75.9,-,4.4,-,6.82
173,Jesse Lingard Man Utd,29, AM(CLR),FW,20(13),1823,5,0.8,28.2,87.8,0.2,0.6,-,6.82
174,Joel Ward Crystal Palace,33, D(CLR),DMC,19,1616,1,0.4,35.8,71.8,0.5,2.1,-,6.82
175,Ben Chilwell Leicester,25, D(L),M(L),20(4),1852,2,0.9,37.5,73.9,0.7,1.1,-,6.82
176,Christian Fuchs Leicester,36, D(CL),M(L),21(4),1918,1,0.7,35.8,74.1,0.4,2.2,-,6.81
177,Pascal Groß Brighton,31, M(CR),FW,35(3),2949,8,2.2,32.0,76.2,1.8,1.8,0.2,6.81
178,Alfie Mawson Swansea,28, D(C),,38,3420,1,0.1,45.9,81.1,-,5.0,-,6.81
179,Mason Holgate Everton,26, D(CR),DMC,13(2),1183,-,0.5,31.7,67.4,0.2,2.9,-,6.81
180,Marvin Zeegelaar Watford,32, D(CL),M(L),12,995,1,0.6,35.2,79.9,0.8,1.3,-,6.81
181,Ragnar Klavan Liverpool,37, D(C),,16(3),1449,-,0.2,63.1,90.7,-,2.7,0.1,6.81
182,Mark Noble West Ham,35, M(C),,28(1),2405,-,0.7,45.7,83.9,0.3,3.9,0.2,6.81
183,Mamadou Sakho Crystal Palace,32, D(C),,18(1),1599,2,0.1,38.9,85.5,-,1.5,0.1,6.81
184,Cheikhou Kouyaté West Ham,32, D(CR),DMC,32(1),2803,3,0.5,28.9,76.0,0.1,0.5,-,6.8
185,Marc Albrighton Leicester,32, D(R),M(LR),30(4),2544,7,1.4,29.6,67.2,1.1,2.2,0.1,6.8
186,Gerard Deulofeu Watford,28, AM(CLR),FW,5(2),438,-,1.6,20.3,74.6,0.4,0.6,-,6.8
187,Andreas Christensen Chelsea,26, D(C),DMC,23(4),2071,-,0.1,50.0,93.4,-,2.3,-,6.8
188,Alberto Moreno Liverpool,30, D(L),M(L),14(2),1264,-,0.9,48.9,84.3,0.6,2.2,0.1,6.8
189,Yohan Cabaye Crystal Palace,36, M(C),,28(3),2389,1,1.4,41.7,82.4,1.5,2.0,0.1,6.8
190,Patrick van Aanholt Crystal Palace,32, D(L),M(L),25(3),2186,1,0.6,31.5,77.2,0.5,1.4,-,6.8
191,Jack Stephens Southampton,28, D(CR),,22,1980,-,0.2,42.2,75.5,0.1,2.1,-,6.79
192,Dale Stephens Brighton,33, M(C),,36,3240,3,0.5,48.8,83.9,-,4.1,-,6.79
193,Héctor Bellerín Arsenal,27, D(R),M(R),34(1),3051,3,0.9,52.6,84.9,0.3,0.9,-,6.79
194,Chris Wood Burnley,30, FW,,20(4),1634,1,0.5,17.3,60.2,-,0.2,-,6.79
195,Ciaran Clark Newcastle,33, D(CL),,19(1),1745,1,0.2,35.0,71.7,-,3.1,0.1,6.79
196,Georginio Wijnaldum Liverpool,31, M(CLR),,27(6),2387,2,0.7,38.4,89.9,-,1.4,-,6.79
197,Anthony Knockaert Brighton,30, AM(LR),,27(6),2427,1,1.0,29.8,83.3,0.5,1.3,0.1,6.79
198,Bernardo Silva Man City,28, M(CLR),FW,15(20),1520,4,0.9,26.7,87.0,0.3,0.6,-,6.79
199,James Milner Liverpool,36, D(LR),M(CLR),16(16),1764,3,1.1,46.3,86.4,0.9,2.7,0.1,6.78
200,Dusan Tadic Southampton,33, AM(CLR),FW,34(2),2813,3,1.6,30.9,74.8,0.8,0.9,0.1,6.78
201,Olivier Giroud Chelsea,36, FW,,6(7),610,1,1,18.4,64.4,-,0.3,0.1,6.78
202,Jonny Evans West Brom,34, D(CL),,26(2),2273,2,0.3,34.3,80.0,0.1,2.9,-,6.78
203,Steve Mounié Huddersfield,28, FW,,21(7),1858,1,0.6,18.7,62.0,-,0.3,-,6.78
204,Adrián West Ham,35, GK,,19,1710,-,-,27.4,42.5,-,9.2,-,6.78
205,Salomón Rondón West Brom,33, FW,,32(4),2772,3,0.6,23.1,66.9,0.1,0.4,0.1,6.77
206,Steven Defour Burnley,34, DMC,,24,2009,1,0.8,42.3,83.8,0.4,2.8,-,6.77
207,Calum Chambers Arsenal,27, D(CR),DMC,10(2),869,-,0.2,50.0,83.3,0.1,2.6,-,6.77
208,Aleksandar Dragovic Leicester,31, D(CR),,7(4),767,-,-,30.6,85.2,-,2.9,-,6.76
209,Daryl Janmaat Watford,33, D(CR),M(R),21(2),1822,-,0.5,33.4,75.9,0.7,2.3,-,6.76
210,Daniel Sturridge Liverpool,33, M(R),FW,5(4),431,1,1.4,14.1,80.3,0.1,0.3,-,6.76
211,Jonathan Hogg Huddersfield,33, D(C),DMC,29(1),2408,-,0.3,47.1,85.1,-,2.1,-,6.76
212,Jack Butland Stoke,29, GK,,35,3150,-,-,33.4,46.1,-,11.5,-,6.76
213,José Holebas Watford,38, D(CL),M(L),26(2),2382,4,1.4,34.2,68.4,1.6,2.0,-,6.76
214,Federico Fernández Swansea,33, D(C),,30,2677,1,0.2,40.3,82.3,-,3.1,-,6.76
