,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
190,Stefan Aigner ,35, AM(CLR),FW,24(4),2168.0,4.0,6.0,1.6,1.3,1.2,6.95,0
194,Maximilian Beister ,32, AM(LR),FW,14(2),1225.0,5.0,3.0,2.8,0.8,1.1,6.94,0
199,Leonardo Bittencourt ,28, M(CLR),FW,20(11),1840.0,4.0,5.0,1.8,1.1,2.4,6.93,0
201,Franco Di Santo ,33, AM(CLR),FW,21(2),1668.0,4.0,4.0,1.5,0.7,1.6,6.93,0
212,Felix Klaus ,30, AM(CLR),,14(7),1396.0,5.0,1.0,1.7,0.6,1.1,6.89,0
221,Nils Petersen ,33, FW,,19(9),1637.0,7.0,2.0,1.9,0.5,1.3,6.87,0
236,Alexander Esswein ,32, AM(CLR),FW,5(8),623.0,0.0,1.0,1.8,0.9,2.1,6.83,0
251,Raúl Bobadilla ,35, AM(R),FW,9(8),841.0,3.0,0.0,1.6,1.2,2.1,6.8,0
253,Jacques Zoua ,31, AM(LR),FW,18(9),1678.0,2.0,2.0,1.6,0.5,1.3,6.8,0
256,Ronny ,36, AM(C),,10(17),1192.0,4.0,4.0,2.1,1.1,1.8,6.78,0
260,Eljero Elia ,35, AM(LR),FW,23(10),2035.0,4.0,3.0,1.0,0.6,2.3,6.77,0
264,Václav Kadlec ,30, AM(R),FW,14(7),1355.0,5.0,3.0,1.7,0.5,1.2,6.76,0
265,Yunus Malli ,30, M(CLR),FW,11(10),1046.0,5.0,3.0,1.6,0.8,1.2,6.76,0
