,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
0,Robert Lewandowski ,34, FW,,34,2952,35,3,4.7,1.1,1.4,7.89,0
1,Christopher Nkunku ,24, M(CLR),FW,31(3),2735,20,13,2.4,1.9,1.9,7.64,0
4,Erling Haaland ,22, FW,,21(3),1915,22,7,3.3,1,0.5,7.55,0
5,Patrik Schick ,26, AM(R),FW,26(1),2094,24,3,3.3,0.6,0.6,7.45,0
6,Florian Wirtz ,19, AM(C),,22(2),1864,7,10,1.5,2.5,2.3,7.41,0
8,Thomas Müller ,32, M(CLR),FW,32,2578,8,18,1.7,2.6,0.4,7.34,0
10,Jonas Wind ,23, AM(C),FW,14,1187,5,2,2.6,1.1,0.7,7.31,0
11,Serge Gnabry ,27, AM(CLR),FW,25(9),2192,14,5,2,1.4,1.9,7.3,0
12,Marco Reus ,33, M(CLR),FW,29,2514,9,12,1.8,1.8,1,7.25,0
15,Leroy Sané ,26, M(CLR),FW,22(10),1982,7,7,2.8,1.6,1.9,7.17,0
17,Kingsley Coman ,26, M(LR),FW,16(5),1369,6,2,2.2,1.1,2.3,7.13,0
19,Julian Brandt ,26, M(CLR),FW,22(9),2083,9,8,1.1,1.4,1.2,7.12,0
21,Filip Kostic ,29, M(LR),FW,28(3),2525,4,9,1.6,2.8,0.8,7.11,0
22,Anthony Modeste ,34, FW,,31(1),2620,20,3,3.3,0.6,0.2,7.11,0
24,Vincenzo Grifo ,29, AM(CL),,33(1),2792,9,7,2,1.9,1.1,7.1,0
27,Lucas Höler ,28, AM(CLR),FW,30(4),2598,7,2,1.8,1.2,0.6,7.08,0
28,Sasa Kalajdzic ,25, FW,,13(2),1221,6,1,2.5,1.5,0.7,7.08,0
35,Max Kruse ,34, M(CLR),FW,16,1283,5,4,1.8,1.7,0.9,7.03,0
39,Mark Uth ,31, AM(CR),FW,24(6),2041,5,8,2.3,1.8,0.8,7,0
51,Omar Marmoush ,23, AM(L),FW,19(2),1584,3,5,2.3,1.5,2.1,6.95,0
55,Max Kruse ,34, M(CLR),FW,14,1138,7,1,1.5,1.1,0.6,6.94,0
59,Patrick Wimmer ,21, AM(R),,27(4),2067,3,6,1.8,1.4,2.3,6.92,0
60,Alassane Plea ,29, AM(CLR),FW,23(9),1983,9,6,1.9,1.8,1,6.91,0
61,Breel Embolo ,25, AM(CR),FW,23(5),2076,8,3,1.6,1.2,1.5,6.91,0
62,Donyell Malen ,23, AM(L),FW,20(7),1696,5,3,1.7,0.8,1.3,6.9,0
63,Andrej Kramaric ,31, AM(CLR),FW,30(2),2710,6,9,2.9,1.3,0.9,6.89,0
69,Florian Kainz ,29, AM(CLR),,31(1),2347,4,4,1.2,1.5,0.9,6.88,0
77,Karim Onisiwo ,30, AM(LR),FW,28(3),2376,5,8,2.1,1.3,1.6,6.84,0
79,Taiwo Awoniyi ,25, FW,,29(2),2200,15,1,2.2,0.9,1.1,6.84,0
83,Chris Führich ,24, M(CLR),FW,21(4),1725,3,2,1.2,1.2,1.6,6.83,0
85,Jonathan Burkardt ,22, AM(CR),FW,32(2),2632,11,3,2.3,0.9,1.2,6.82,0
87,Dominik Szoboszlai ,21, AM(CL),,15(16),1538,6,8,1.3,1.3,0.6,6.82,0
96,Sheraldo Becker ,27, AM(CLR),FW,22(6),1770,4,6,1.3,1.5,0.9,6.8,0
101,Rafael Borré ,26, FW,,28(3),2391,8,4,1.7,0.9,0.9,6.79,0
103,Michael Gregoritsch ,28, AM(CR),FW,15(10),1394,9,0,1.7,0.3,0.2,6.78,0
106,Karim Bellarabi ,32, M(CLR),FW,9(7),687,3,2,1.8,0.6,1.1,6.78,0
112,Wout Weghorst ,30, FW,,17(1),1552,6,1,2.1,0.9,0.4,6.76,0
113,Jesper Lindstrøm ,22, AM(C),FW,26(3),1996,5,4,1.9,1.6,1.1,6.76,0
122,André Silva ,26, FW,,24(9),2081,11,3,1.8,0.5,0.7,6.74,0
126,Thorgan Hazard ,29, M(CLR),FW,14(9),1337,4,1,1,1,1,6.73,0
137,Dani Olmo ,24, AM(CLR),FW,7(12),740,3,3,1.2,0.6,1.3,6.71,0
141,Paulinho ,22, AM(CLR),,14(10),1219,4,2,1.1,0.9,1.1,6.71,0
149,Ihlas Bebou ,28, M(CLR),FW,25(3),2106,7,2,1.6,0.7,0.6,6.69,0
166,Lukas Nmecha ,23, AM(CR),FW,18(7),1633,8,0,2.1,0.6,0.9,6.66,0
167,Sebastian Polter ,31, AM(R),FW,26(6),2259,10,1,1.7,0.9,0.1,6.66,0
168,Georginio Rutter ,20, FW,,13(20),1604,8,2,1.6,0.5,1.1,6.66,0
171,Jae-Sung Lee ,30, AM(CL),FW,19(8),1449,4,3,1,0.7,0.4,6.65,0
173,Lars Stindl ,34, M(CLR),FW,20(6),1637,4,5,1.7,1.2,0.3,6.64,0
176,Stevan Jovetic ,32, AM(CL),FW,13(5),1020,6,1,2.4,0.8,0.7,6.64,0
181,Daichi Kamada ,26, AM(CLR),FW,23(9),2146,4,3,1.1,1,0.9,6.63,0
185,Christoph Baumgartner ,23, AM(CLR),FW,23(6),1899,7,2,1.4,0.7,0.7,6.61,0
186,André Hahn ,32, AM(CLR),FW,25(7),2112,5,2,1.4,0.6,0.4,6.61,0
187,Tiago Tomás ,20, AM(CR),FW,13(1),1080,4,0,2,0.5,1.1,6.61,0
191,Amine Adli ,22, AM(CL),FW,13(12),1256,3,2,1.5,0.6,0.8,6.6,0
207,Emil Forsberg ,30, AM(CLR),FW,20(11),1709,6,2,1.4,0.8,0.7,6.58,0
219,Branimir Hrgota Greuther Fuerth,29, AM(CLR),FW,33(1),2789,9,5,1.9,1,1,6.57,0
220,Fabian Klos ,34, FW,,14(11),1423,3,1,1.6,0.6,0.4,6.57,0
224,Ishak Belfodil ,30, AM(LR),FW,17(9),1643,5,2,1.2,0.8,0.7,6.56,0
227,Vladimír Darida ,32, M(CLR),FW,23(2),1799,2,5,1,1.4,0.7,6.55,0
231,Yussuf Poulsen ,28, AM(R),FW,12(13),1078,6,0,1.1,0.3,0.5,6.55,0
232,Munas Dabbur ,30, AM(C),FW,17(10),1317,3,3,1.2,0.6,0.6,6.54,0
236,Jean-Paul Boëtius ,28, AM(CL),FW,19(14),1802,2,2,0.7,0.8,0.7,6.54,0
238,Marcus Thuram ,25, AM(L),FW,8(12),885,3,0,1.6,0.7,1.2,6.54,0
243,Roland Sallai ,25, AM(CLR),FW,18(13),1560,4,4,1.5,0.6,0.5,6.53,0
244,Timothy Tillman Greuther Fuerth,23, AM(C),,23(6),2018,1,2,0.8,1,1.3,6.53,0
246,Masaya Okugawa ,26, AM(CLR),FW,30(3),2545,8,1,1,0.8,0.6,6.52,0
253,Milos Pantovic ,26, AM(CLR),,18(10),1539,4,3,0.8,1.2,0.2,6.51,0
257,Woo-Yeong Jeong ,22, AM(CR),FW,23(9),1795,5,2,1.6,0.8,0.5,6.51,0
259,Marco Richter ,24, AM(CLR),FW,19(11),1716,5,1,1.5,0.6,0.5,6.5,0
264,Ondrej Duda ,27, AM(C),FW,20(11),1618,2,0,1.4,0.6,1.2,6.49,0
265,Eric Choupo-Moting ,33, M(CLR),FW,1(19),363,4,2,0.8,0.3,0.7,6.49,0
269,Dodi Lukébakio ,24, AM(CLR),FW,7(12),873,1,2,0.9,0.6,1.4,6.48,0
270,Danny Blum ,31, AM(LR),FW,2(11),339,2,0,0.8,0.9,0.4,6.48,0
273,Rubén Vargas ,24, AM(CLR),FW,26(3),2005,1,3,1.4,0.8,1.5,6.48,0
281,Takuma Asano ,27, AM(CLR),FW,20(7),1618,3,4,1.2,0.7,0.7,6.45,0
284,Jan Thielmann ,20, AM(CLR),FW,10(19),1182,3,3,0.5,0.8,0.6,6.45,0
289,Jamie Leweling Greuther Fuerth,21, AM(R),FW,22(11),1959,5,1,1.3,0.5,1.4,6.43,0
294,Florian Niederlechner ,31, AM(CR),FW,13(13),1153,5,3,1.1,0.6,0.3,6.43,0
0,Kevin De Bruyne ,31, M(CLR),FW,25(5),2205,15,8,2.6,2.9,1,7.63,0
1,Mohamed Salah ,30, AM(CLR),FW,30(5),2763,23,13,4,1.8,1.5,7.54,0
3,Son Heung-Min ,30, M(CLR),FW,35,3021,23,7,2.5,2.1,1.5,7.51,0
5,Harry Kane ,29, AM(C),FW,36(1),3232,17,9,3.6,1.4,1.5,7.45,0
6,Luis D?az ,25, AM(L),,11(2),964,4,3,2.9,1.5,2.4,7.44,0
13,Sadio Man? ,30, AM(CLR),FW,32(2),2825,16,2,2.9,1.2,1.4,7.3,0
14,Phil Foden ,22, AM(CLR),FW,24(4),2133,9,5,2,1.4,1.3,7.29,0
15,Ivan Toney ,26, FW,,32(1),2908,12,5,2.7,1.3,0.7,7.28,0
16,Bernardo Silva ,28, M(CLR),FW,33(2),2861,8,4,1.3,1.7,1.5,7.27,0
23,Raheem Sterling ,27, M(CLR),FW,23(7),2127,13,5,1.9,1.4,1.8,7.2,0
24,Gabriel Jesus ,25, AM(LR),FW,21(7),1880,8,8,2.3,1.4,1.6,7.19,0
25,Dejan Kulusevski ,22, AM(CR),FW,14(4),1267,5,8,1.4,1.4,1.4,7.19,0
29,Jack Grealish ,26, AM(CL),FW,22(4),1917,3,3,1.7,2,1.5,7.16,0
32,Jarrod Bowen ,25, AM(CLR),FW,34(2),2993,12,10,2.2,1.1,1.4,7.14,0
33,Cristiano Ronaldo ,37, M(L),FW,27(3),2459,18,3,3.7,0.9,0.7,7.11,0
38,Allan Saint-Maximin ,25, AM(CLR),FW,31(4),2812,5,5,1.8,1.4,4.3,7.09,0
39,Conor Gallagher ,22, AM(C),,33(1),2851,8,3,1.5,1.1,1.3,7.09,0
40,Diogo Jota ,25, AM(CLR),FW,27(8),2373,15,4,2.6,1.1,0.8,7.09,0
44,James Maddison ,25, AM(CLR),,28(7),2468,12,8,2.1,1.4,0.9,7.06,0
58,Riyad Mahrez ,31, AM(CLR),FW,15(13),1493,11,5,2.2,1.4,0.9,7,0
62,Wilfried Zaha ,29, AM(LR),FW,31(2),2761,14,1,2.1,1.4,2.3,6.99,0
63,Mason Greenwood ,20, AM(R),FW,16(2),1281,5,1,2.7,0.9,1.8,6.98,0
71,Raphinha ,25, AM(LR),FW,34(1),2923,11,3,2.5,1.9,1.8,6.96,0
73,Richarlison ,25, AM(CLR),FW,28(2),2528,10,5,2.4,1,1.3,6.96,0
76,Dwight McNeil ,22, AM(CLR),,35(3),3114,0,1,1.4,1.2,2.4,6.96,0
80,Jamie Vardy ,35, AM(L),FW,20(5),1806,15,2,2.2,0.7,0.4,6.94,0
81,Adama Traor? ,26, M(CLR),FW,10(10),1065,1,0,1.2,0.9,4.2,6.94,0
89,Dominic Calvert-Lewin ,25, AM(L),FW,15(2),1286,5,2,1.9,0.6,0.1,6.92,0
94,Martin ��degaard ,23, AM(CR),,32(4),2793,7,4,1.5,2.1,0.7,6.91,0
98,Ollie Watkins ,26, AM(LR),FW,33(2),2955,11,2,2.2,1,1.1,6.9,0
99,Leandro Trossard ,27, M(CLR),FW,32(2),2812,8,3,2.2,1.4,1.6,6.9,0
105,Emmanuel Dennis ,24, M(LR),FW,30(3),2591,10,6,1.8,1,2.1,6.89,0
121,Curtis Jones ,21, AM(C),,10(5),856,1,1,1.3,0.7,1.7,6.86,0
122,Sa?d Benrahma ,27, AM(CLR),,26(6),2184,8,6,2,1,1.2,6.86,0
