,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
59,Oscar Brazil,31, M(CLR),,7,641,2,1.3,37.4,78.6,0.9,2.7,0.3,7.39
60,Paul Pogba France,29, M(CL),,4(1),355,1,1,48.0,81.7,0.2,3.4,-,7.39
61,Sokratis Papastathopoulos Greece,34, D(CR),,4,391,-,0.5,34.8,83.5,-,5.0,-,7.39
62,Jermaine Jones USA,41, D(C),M(C),4,390,1,1.3,36.5,71.2,0.3,2.0,0.3,7.39
63,Gary Medel Chile,35, D(C),DMC,4,378,-,-,67.8,90.4,-,10.8,-,7.39
64,Rafael Márquez Mexico,43, D(C),,4,360,1,0.5,50.5,80.2,0.3,7.5,-,7.38
65,Mehrdad Pooladi Iran,35, Defender,,3,270,-,-,13.0,64.1,0.7,1.7,-,7.38
66,Geoff Cameron USA,37, D(CLR),DMC,3,300,-,0.3,47.3,76.8,0.3,3.0,-,7.37
67,Daley Blind Netherlands,32, D(CL),DMC,7,672,3,1,48.9,87.4,0.1,5.7,0.3,7.37
68,Philipp Lahm Germany,38, D(R),DMC,7,690,2,1.1,83.4,90.8,0.4,4.0,-,7.36
69,Vincent Enyeama Nigeria,40, GK,,4,360,-,-,23.8,52.6,-,4.0,-,7.35
70,David Luiz Brazil,35, D(C),DMC,7,661,1,0.3,47.3,81.0,0.3,7.7,0.1,7.35
71,Muhamed Besic Bosnia and Herzegovina,30, DMC,,3,270,-,0.7,74.3,91.0,-,9.3,-,7.35
72,Memphis Depay Netherlands,28, AM(CL),FW,1(3),174,1,0.5,14.5,77.6,-,-,0.3,7.34
73,Sergio Ramos Spain,36, D(CR),,3,270,-,0.3,64.3,85.0,-,5.3,-,7.34
74,Essaïd Belkalem Algeria,33, D(C),,2(1),211,-,-,22.0,69.7,-,1.7,-,7.33
75,Salvatore Sirigu Italy,35, GK,,1,90,-,-,29.0,86.2,-,5,-,7.33
76,Asamoah Gyan Ghana,36, FW,,3,270,1,1.7,21.3,64.1,0.3,0.3,-,7.33
77,Daryl Janmaat Netherlands,33, D(CR),M(R),3(2),366,2,1,28.2,75.9,0.4,1.4,0.2,7.33
78,Koke Spain,30, M(CLR),,1(1),135,-,-,66.0,89.4,0.5,4,-,7.32
79,Efe Ambrose Nigeria,34, D(CR),,4,360,-,1.5,41.5,84.3,0.5,1.8,-,7.32
80,Giorgio Chiellini Italy,38, D(C),,3,270,-,-,66.0,90.4,-,4.3,-,7.31
81,Leroy Fer Netherlands,32, M(CL),,0(1),16,-,-,3.0,100.0,-,-,-,7.31
