,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
57,Claudio Bravo Chile,39, GK,,4,391,-,-,-,0.3,1.5,-,-,-,7.4
58,Mathieu Debuchy France,37, D(CR),M(R),4,360,4,2,1.8,-,3.0,0.5,0.5,-,7.4
59,Oscar Brazil,31, M(CLR),,7,641,3.7,1,1.3,-,1.0,2,-,-,7.39
60,Paul Pogba France,29, M(CL),,4(1),355,0.6,0.4,1.6,-,1.0,0.6,-,-,7.39
61,Sokratis Papastathopoulos Greece,34, D(CR),,4,391,1.5,1.3,1.3,0.3,7.8,0.3,0.8,-,7.39
62,Jermaine Jones USA,41, D(C),M(C),4,390,1.5,1.5,2,-,1.3,1,-,-,7.39
63,Gary Medel Chile,35, D(C),DMC,4,378,1,2.3,0.8,-,10.0,0.8,1,-,7.39
64,Rafael Márquez Mexico,43, D(C),,4,360,1.5,2,0.8,0.3,4.5,0.8,0.8,-,7.38
65,Mehrdad Pooladi Iran,35, Defender,,3,270,3.3,3,0.7,-,7.0,1,1,-,7.38
66,Geoff Cameron USA,37, D(CLR),DMC,3,300,2.7,1.7,1,0.3,9.3,0.3,2.7,-,7.37
67,Daley Blind Netherlands,32, D(CL),DMC,7,672,3.1,1.7,1.4,0.4,2.3,2,-,-,7.37
68,Philipp Lahm Germany,38, D(R),DMC,7,690,2,1.1,0.4,0.4,3.3,0.7,0.7,-,7.36
69,Vincent Enyeama Nigeria,40, GK,,4,360,-,-,-,-,1.0,-,-,-,7.35
70,David Luiz Brazil,35, D(C),DMC,7,661,1.9,2.1,1.7,0.4,5.3,0.6,0.4,-,7.35
71,Muhamed Besic Bosnia and Herzegovina,30, DMC,,3,270,3,2.3,3.3,-,1.7,1.7,0.7,-,7.35
72,Memphis Depay Netherlands,28, AM(CL),FW,1(3),174,0.5,0.5,0.8,-,0.5,0.5,-,-,7.34
73,Sergio Ramos Spain,36, D(CR),,3,270,3.7,2,1.3,1.7,5.3,1,0.3,-,7.34
74,Essaïd Belkalem Algeria,33, D(C),,2(1),211,1,2.7,0.7,0.7,6.7,0.7,2,-,7.33
75,Salvatore Sirigu Italy,35, GK,,1,90,-,-,-,-,-,-,-,-,7.33
76,Asamoah Gyan Ghana,36, FW,,3,270,-,-,1.3,-,1,0.3,-,-,7.33
77,Daryl Janmaat Netherlands,33, D(CR),M(R),3(2),366,3.4,2,1.6,0.2,2.4,0.6,0.2,-,7.33
78,Koke Spain,30, M(CLR),,1(1),135,5,2.5,-,-,1.5,1,-,-,7.32
79,Efe Ambrose Nigeria,34, D(CR),,4,360,1.3,2.8,0.3,0.5,4.5,1.8,-,-,7.32
80,Giorgio Chiellini Italy,38, D(C),,3,270,3.3,3,0.3,0.3,4.7,0.7,0.3,-,7.31
81,Leroy Fer Netherlands,32, M(CL),,0(1),16,-,-,1,-,3,-,-,-,7.31
82,Gervinho Ivory Coast,35, M(LR),FW,3,263,-,0.7,-,-,-,-,0.3,-,7.3
83,Fabian Schär Switzerland,30, D(C),,2,210,1,4,1,-,11,1.5,0.5,-,7.3
84,Emir Spahic Bosnia and Herzegovina,42, D(C),,3,270,3.7,3.3,1,1.3,7,1.7,1,-,7.3
85,Gökhan Inler Switzerland,38, DMC,,4,390,2.8,1.3,1.5,-,2.3,1.5,0.3,-,7.29
86,Vasili Berezutski Russia,40, D(C),,3,270,1.3,2.3,0.3,0.3,8,0.7,0.7,-,7.29
87,Robin van Persie Netherlands,39, AM(C),FW,6,549,0.3,0.3,3,-,1.2,0.7,-,-,7.29
88,Abdelmoumene Djabou Algeria,35, Midfielder,,2(1),170,0.7,1.3,0.7,-,0.3,-,-,-,7.28
89,David Ospina Colombia,34, GK,,5,445,-,-,-,-,1.6,-,-,-,7.28
90,Kwadwo Asamoah Ghana,33, D(L),M(CL),3,270,1.7,3.7,0.3,-,2.0,0.3,0.3,-,7.28
91,Tim Cahill Australia,42, M(C),FW,2,158,-,0.5,3.5,-,1.0,-,-,-,7.28
92,Federico Fernández Argentina,33, D(C),,4,390,2,1.5,1,0.5,6.8,0.8,1,-,7.27
93,André Ayew Ghana,32, M(CLR),FW,3,261,2,1.3,0.7,-,0.7,0.7,-,-,7.27
94,Toni Sunjic Bosnia and Herzegovina,33, D(C),,2,180,4.5,2,1,1,7.0,1,1.5,-,7.27
95,Luiz Gustavo Brazil,35, D(C),M(C),6,528,2.2,3.8,2.5,-,2.7,1.3,-,-,7.27
96,Lucas Digne France,29, D(CL),M(L),1,90,3,-,1,-,2.0,1,-,-,7.26
97,Ki Sung-Yeung South Korea,33, DMC,,3,270,1,1.7,2,-,2.3,1.3,0.3,-,7.25
98,Hugo Campagnaro Argentina,42, D(CR),,1,46,-,2,-,1,3.0,-,1,-,7.25
99,Patrice Evra France,41, D(CL),M(L),4,360,2.3,0.8,1.3,0.3,2.5,0.3,-,-,7.25
100,Héctor Herrera Mexico,32, M(C),,4,346,1,0.5,1.8,-,1.5,1.8,-,-,7.24
101,Yohan Cabaye France,36, M(C),,4,318,3,2,2.3,0.3,1.3,0.8,0.5,-,7.24
102,Jackson Martínez Colombia,36, FW,,2(1),194,1.7,0.3,1.3,-,1,0.7,0.3,-,7.23
103,Aïssa Mandi Algeria,31, D(CLR),,3,300,3.7,2.3,1.3,0.7,3.3,1.3,0.3,-,7.23
104,Manuel Neuer Germany,36, GK,,7,690,-,-,-,-,1.4,-,-,-,7.23
