,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
197,Bastian Oczipka Eintracht Frankfurt,33, D(CL),M(L),15(5),1395,1,1.1,35.6,80.8,1.4,1.3,-,6.94
198,Per Ciljan Skjelbred Hertha Berlin,35, M(CR),,27(1),2118,6,1.1,27.9,78.1,0.5,1.4,0.1,6.93
199,Leonardo Bittencourt Hannover,28, M(CLR),FW,20(11),1840,5,1.1,20.2,73.9,0.7,0.5,-,6.93
200,Loris Karius Mainz,29, GK,,23,2070,-,0.1,32.2,51.1,-,10.3,-,6.93
201,Franco Di Santo Werder Bremen,33, AM(CLR),FW,21(2),1668,4,0.7,21.0,62.5,0.2,0.3,0.1,6.93
202,Stephan Schröck Eintracht Frankfurt,36, D(R),M(R),7(5),686,-,0.3,19.6,71.1,0.2,0.5,0.3,6.92
203,Anderson Eintracht Frankfurt,34, D(C),,15,1293,1,0.1,57.3,85.9,-,9.5,-,6.92
204,Peter Pekarík Hertha Berlin,36, D(LR),M(R),30(1),2761,1,0.5,34.4,78.9,0.9,1.3,-,6.92
205,Mirko Boland Eintracht Braunschweig,35, M(CL),,29(4),2608,5,1.1,31.3,72.3,0.3,1.9,0.1,6.92
206,Carlos Zambrano Eintracht Frankfurt,33, D(C),,30,2621,-,0.1,45.9,85.7,-,4.6,-,6.92
207,Diego Contento Bayern,32, D(L),M(L),6(4),589,1,0.6,32.9,83.9,0.2,2.5,-,6.92
208,Hong Jeong-Ho Augsburg,33, D(C),,6(10),794,-,0.1,26.4,79.9,-,3.3,0.1,6.91
209,Oliver Kirch Borussia Dortmund,40, D(R),M(C),4(4),466,-,0.1,41.9,82.1,-,2.6,-,6.9
210,Pirmin Schwegler Eintracht Frankfurt,35, M(C),,14(3),1161,-,0.8,40.9,80.9,0.5,4.0,-,6.9
211,Emanuel Pogatetz Nuernberg,39, D(C),,21(2),1939,1,0.1,44.7,77.5,-,5.7,-,6.9
212,Felix Klaus Freiburg,30, AM(CLR),,14(7),1396,1,0.6,19.0,72.6,0.1,0.9,-,6.89
213,Assani Lukimya Werder Bremen,36, D(C),,18(5),1616,-,0.2,26.0,69.2,-,2.8,-,6.89
214,Sebastian Rode Eintracht Frankfurt,32, D(R),M(C),17,1439,-,1.1,51.1,84.3,0.1,5.6,0.2,6.89
215,Zhi-Gin Lam Hamburg,31, D(L),,7(2),559,-,0.7,24.1,80.2,-,1.0,-,6.89
216,Alexander Baumjohann Hertha Berlin,35, M(C),,5(4),525,2,1.3,19.9,66.5,0.8,1.0,-,6.89
217,Markus Feulner Nuernberg,40, D(LR),M(CR),20(5),1767,3,0.7,21.1,71.0,0.4,1.3,-,6.88
218,Luca Caldirola Werder Bremen,31, D(CL),,33,2964,1,0.4,34.0,70.9,0.2,3.2,-,6.88
219,Benedikt Höwedes Schalke,34, D(CLR),,18(1),1515,-,0.3,41.6,86.2,-,3.5,-,6.87
220,Matthias Ginter Freiburg,28, D(CR),DMC,34,3039,-,0.2,52.4,85.7,-,4.7,-,6.87
221,Nils Petersen Werder Bremen,33, FW,,19(9),1637,2,0.5,13.9,56.2,-,0.2,-,6.87
222,Christian Fuchs Schalke,36, D(CL),M(L),9(7),856,2,1.2,23.7,72.0,0.8,1.6,-,6.86
223,Änis Ben-Hatira Hertha Berlin,34, M(CLR),,19(2),1543,2,1.0,22.5,73.2,0.6,0.5,-,6.86
224,Kaan Ayhan Schalke,27, D(CR),DMC,9(5),885,1,0.1,36.0,79.4,0.1,4.8,-,6.86
225,Omar Elabdellaoui Eintracht Braunschweig,30, D(R),M(R),27(2),2316,2,0.8,23.8,69.8,0.4,0.6,-,6.86
226,Lukas Raeder Bayern,28, Goalkeeper,,1(1),136,1,0.5,21.5,69.8,-,6.5,-,6.86
227,Johannes Flum Eintracht Frankfurt,34, D(C),M(C),23(3),1960,2,0.7,41.5,80.2,0.2,3.8,-,6.85
228,Philipp Wollscheid Leverkusen,33, D(C),,13(7),1163,-,0.3,31.4,85.5,0.1,4.3,-,6.85
229,Christian Pander Hannover,39, D(L),,6(2),578,2,2.0,31.6,62.1,1.6,2.1,-,6.85
230,Johannes van den Bergh Hertha Berlin,35, D(L),M(L),25(1),2227,1,0.7,39.2,75.6,0.5,3.2,-,6.85
231,Andrés Guardado Leverkusen,36, D(L),M(CL),3(1),271,-,1.0,41.0,83.5,1,1.8,-,6.84
