,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Luis Suárez Liverpool,35, AM(CLR),FW,33,2965,12,2.7,38.3,74.8,0.8,2.2,0.5,8.43
1,James Wilson Man Utd,26, AM(CR),FW,1,64,-,-,18.0,66.7,-,-,-,8.04
2,Chris David Fulham,29, Midfielder,,0(1),67,-,2,41.0,90.2,4,3,-,8.02
3,Lukasz Fabianski Arsenal,37, GK,,1,90,-,-,35.0,62.9,-,6,-,7.9
4,Anders Lindegaard Man Utd,38, GK,,1,90,-,-,30.0,43.3,-,9,-,7.82
5,Steven Gerrard Liverpool,42, M(C),,33(1),2900,13,2,65.3,86.0,1.4,7.6,0.2,7.77
6,Aaron Ramsey Arsenal,31, M(CLR),,20(3),1764,8,1.4,65.9,84.4,-,3.3,0.4,7.76
7,Marouane Fellaini Everton,34, M(C),,3,270,-,1,73.3,89.1,0.3,4.3,-,7.75
8,Sergio Agüero Man City,34, AM(CL),FW,20(3),1539,6,1.6,21.3,84.9,0.2,0.3,0.2,7.71
9,Eden Hazard Chelsea,31, M(CLR),FW,32(3),2898,7,2.7,44.0,83.4,0.3,1.6,0.2,7.68
10,Nemanja Matic Chelsea,34, DMC,,15(2),1364,4,1.4,56.0,84.8,0.1,4.5,0.2,7.63
11,Wayne Rooney Man Utd,37, M(CLR),FW,27(2),2448,10,1.9,45.7,80.1,1.2,4.9,0.2,7.62
12,David Silva Man City,36, M(CLR),FW,26(1),2174,9,3.2,69.2,88.2,1.2,1.9,0.6,7.57
13,Yaya Touré Man City,39, M(C),,35,2927,9,1.2,71.5,90.1,0.1,4.6,0.1,7.55
14,Mile Jedinak Crystal Palace,38, D(C),DMC,38,3389,1,0.9,42.5,71.9,-,3.2,-,7.55
15,Yohan Cabaye Newcastle,36, M(C),,17(2),1509,2,1.7,49.0,82.0,0.9,3.2,0.4,7.48
16,Martin Skrtel Liverpool,37, D(C),,36,3222,1,0.2,48.9,90.8,-,3.1,-,7.46
17,Daniel Sturridge Liverpool,33, M(R),FW,26(3),2277,7,1.0,25.5,79.3,-,1.5,0.3,7.45
18,Mathieu Debuchy Newcastle,37, D(CR),M(R),28(1),2494,3,0.8,34.9,72.8,0.5,1.1,0.1,7.44
19,Philippe Coutinho Liverpool,30, M(CLR),,28(5),2338,7,2.0,44.8,80.6,0.8,1.7,0.4,7.44
20,Joe Lewis Cardiff,35, GK,,1,90,-,-,43.0,67.4,-,15.0,-,7.41
21,Raheem Sterling Liverpool,27, M(CLR),FW,24(9),2221,5,1.6,28.3,81.7,0.3,0.7,0.2,7.4
22,Fernandinho Man City,37, D(CR),DMC,29(4),2609,3,1.2,50.9,88.3,0.1,2.7,0.1,7.4
23,Curtis Davies Hull,37, D(C),,37,3326,1,0.1,29.8,78.9,-,1.5,-,7.4
24,Martín Demichelis Man City,41, D(C),,27,2430,1,0.2,52.7,89.9,-,2.6,-,7.39
25,Bryan Oviedo Everton,32, D(L),M(L),8(1),718,2,0.9,31.8,85.0,1.7,0.9,-,7.38
26,Olivier Giroud Arsenal,36, FW,,36,3083,8,1,31.0,68.9,0.1,0.9,0.3,7.36
27,Santi Cazorla Arsenal,37, M(CLR),,30(1),2597,8,2.2,62.5,86.3,1.2,3.1,0.3,7.36
28,Marcos Alonso Sunderland,31, D(CL),M(L),16,1440,1,1.1,38.8,71.9,0.8,2.3,-,7.34
29,Samir Nasri Man City,35, M(CLR),,29(5),2499,7,2.7,55.9,91.5,1.9,1.7,0.2,7.34
30,Séamus Coleman Everton,34, D(CR),M(R),36,3229,2,1.3,38.7,88.5,0.8,1.2,0.1,7.32
31,Dejan Lovren Southampton,33, D(C),,31,2788,1,0.1,52.4,82.0,-,6.0,-,7.32
32,Patrice Evra Man Utd,41, D(CL),M(L),33,2884,3,1.2,38.1,83.5,0.9,1.0,-,7.32
33,Laurent Koscielny Arsenal,37, D(C),,32,2742,-,0.1,39.7,93.5,-,4.0,-,7.32
34,Juan Mata Man Utd,34, AM(CLR),,14(1),1231,4,2.3,56.5,89.0,0.9,3.2,0.3,7.31
35,Romelu Lukaku Everton,29, AM(R),FW,29(2),2564,6,1.1,25.5,66.6,0.1,0.6,0.1,7.31
36,Gary Cahill Chelsea,36, D(C),,29(1),2623,1,0.3,43.7,88.3,-,3.1,-,7.29
37,Branislav Ivanovic Chelsea,38, D(CR),,36,3180,1,0.8,42.4,81.8,0.6,2.2,-,7.29
38,Joel Ward Crystal Palace,33, D(CLR),DMC,36,3240,2,0.6,29.4,75.5,0.4,1.1,-,7.28
39,Gareth Barry Everton,41, M(C),,32,2849,4,1.3,67.3,86.7,0.2,7.1,-,7.28
40,Mesut Özil Arsenal,34, M(CLR),,25(1),2150,9,2.9,63.0,88.0,1.4,1.5,0.4,7.27
41,César Azpilicueta Chelsea,33, D(CLR),M(R),26(3),2325,-,0.4,41.2,80.6,0.4,2.3,-,7.26
42,Phil Jones Man Utd,30, D(CR),DMC,26,2174,2,0.6,41.3,88.3,0.3,2.4,0.1,7.26
43,Phil Jagielka Everton,40, D(CR),,26,2316,1,0.2,54.5,86.9,-,8.5,-,7.26
44,Christian Benteke Aston Villa,31, FW,,24(2),2128,2,1.8,33.5,60.7,-,1.1,0.1,7.25
45,Leighton Baines Everton,37, D(L),M(L),32,2840,4,1.5,47.5,85.7,1.3,1.8,-,7.25
46,Willian Chelsea,34, AM(CLR),,18(7),1680,2,2.6,39.4,85.6,1.5,2.9,-,7.25
47,Pablo Zabaleta Man City,37, D(R),DMC,34(1),3079,6,0.9,46.7,84.7,0.3,1.8,-,7.25
48,Chico Flores Swansea,35, D(C),,30(1),2690,-,0.2,58.9,89.9,-,3.8,-,7.25
49,Gaël Clichy Man City,37, D(L),,18(2),1660,-,0.7,52.0,85.9,0.4,2.6,-,7.25
50,Sylvain Distin Everton,44, D(C),,33,2926,-,0.1,47.6,85.0,-,4.6,-,7.25
51,Adam Lallana Southampton,34, M(CLR),,37(1),3102,5,1.9,38.9,84.6,0.9,1.5,0.1,7.24
52,Andy Carroll West Ham,33, FW,,12(3),1093,4,1,26.9,60.3,0.1,0.7,-,7.23
53,Ashley Williams Swansea,38, D(C),,34,3040,1,0.1,56.9,86.4,-,5.7,-,7.23
54,Christian Eriksen Tottenham,30, M(CLR),FW,23(2),1984,8,2.7,44.3,81.9,1.6,2.2,-,7.22
55,Marouane Fellaini Man Utd,34, M(C),,12(4),1106,1,0.3,50.5,88.5,0.1,2,-,7.21
56,Morgan Schneiderlin Southampton,33, DMC,,31(2),2767,1,0.9,58.5,89.3,0.1,4.2,0.1,7.21
57,José Fonte Southampton,38, D(C),,35(1),3181,-,0.1,53.5,82.5,0.1,4.9,-,7.21
58,Peter Crouch Stoke,41, FW,,30(4),2643,6,1,28.3,63.6,0.1,-,0.1,7.21
59,Mark Hudson Cardiff,40, D(C),,2,147,-,-,46.5,81.7,-,5,-,7.21
60,Jordan Henderson Liverpool,32, D(C),M(CLR),35,3129,7,1.8,57.9,87.1,0.2,4.3,0.2,7.2
61,Bacary Sagna Arsenal,39, D(CR),,34(1),3061,2,0.6,52.9,85.4,0.5,1.5,-,7.2
62,Vincent Kompany Man City,36, D(C),,28,2365,1,0.2,40.7,88.1,-,4.1,-,7.18
63,Nemanja Vidic Man Utd,41, D(C),,23(2),2084,-,0.2,41.7,85.5,-,5.2,-,7.17
64,James Tomkins West Ham,33, D(CR),,31,2601,-,0.1,27.6,73.7,-,2.9,-,7.17
65,Chris Smalling Man Utd,32, D(CR),,21(4),1938,-,0.4,39.4,82.7,0.4,2.8,-,7.16
66,Tom Huddlestone Hull,35, DMC,,35(1),3145,3,1.7,52.2,79.6,1.7,6.3,-,7.16
67,Emmanuel Adebayor Tottenham,38, FW,,20(1),1809,4,1.6,37.8,83.1,0.2,1.8,-,7.16
68,Michael Dawson Tottenham,38, D(C),,31(1),2838,-,0.2,49.2,81.6,-,6.2,-,7.16
69,Luke Shaw Southampton,27, D(CL),M(L),35,2995,1,1.0,40.1,79.1,0.8,1.1,-,7.16
70,Per Mertesacker Arsenal,38, D(C),,35,3150,-,0.1,48.8,93.0,-,2.6,-,7.15
71,James Collins West Ham,39, D(C),,22(2),1899,-,0.1,25.6,63.8,-,3.4,-,7.15
72,Damien Delaney Crystal Palace,41, D(C),,37,3286,1,0.1,21.7,62.5,0.1,2.5,-,7.15
73,Loïc Rémy Newcastle,35, M(LR),FW,24(2),2103,3,1.2,22.5,80.8,0.4,0.6,0.1,7.15
74,Jesús Navas Man City,36, D(R),M(R),18(12),1775,7,1.9,34.2,85.8,1.5,1.8,0.1,7.15
75,Edin Dzeko Man City,36, FW,,23(8),1993,1,0.6,23.0,73.7,-,1.0,0.1,7.15
76,James McCarthy Everton,31, M(C),,31(3),2856,3,1.2,50.3,87.2,0.2,4.6,0.1,7.14
