,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Luis Suárez Liverpool,35, AM(CLR),FW,33,2965,31,12,5.5,2.7,2.8,2,1,1.8,2.8,8.43
1,James Wilson Man Utd,26, AM(CR),FW,1,64,2,-,4,-,-,-,-,-,-,8.04
2,Chris David Fulham,29, Midfielder,,0(1),67,1,-,3,2,1,2,-,5,1,8.02
3,Lukasz Fabianski Arsenal,37, GK,,1,90,-,-,-,-,-,-,-,-,-,7.9
4,Anders Lindegaard Man Utd,38, GK,,1,90,-,-,-,-,-,-,-,-,-,7.82
5,Steven Gerrard Liverpool,42, M(C),,33(1),2900,13,13,1.8,2,0.4,0.6,-,0.5,0.5,7.77
6,Aaron Ramsey Arsenal,31, M(CLR),,20(3),1764,10,8,2.2,1.4,1.3,1.1,0.1,1.3,0.8,7.76
7,Marouane Fellaini Everton,34, M(C),,3,270,-,-,1.7,1,-,0.7,0.3,3,0.7,7.75
8,Sergio Agüero Man City,34, AM(CL),FW,20(3),1539,17,6,3.7,1.6,1.9,1,0.8,2.1,1.6,7.71
9,Eden Hazard Chelsea,31, M(CLR),FW,32(3),2898,14,7,2.1,2.7,3.8,2.5,0.3,2.3,1.9,7.68
10,Nemanja Matic Chelsea,34, DMC,,15(2),1364,-,4,0.8,1.4,1.4,0.7,0.1,1.1,1.0,7.63
11,Wayne Rooney Man Utd,37, M(CLR),FW,27(2),2448,17,10,3.5,1.9,1.4,1.0,0.5,2.3,1.6,7.62
12,David Silva Man City,36, M(CLR),FW,26(1),2174,7,9,2.0,3.2,1.1,1.5,0.1,2.0,1.0,7.57
13,Yaya Touré Man City,39, M(C),,35,2927,20,9,1.8,1.2,1.2,0.7,0.1,0.9,0.8,7.55
14,Mile Jedinak Crystal Palace,38, D(C),DMC,38,3389,1,1,0.9,0.9,0.3,1.2,-,0.4,0.4,7.55
15,Yohan Cabaye Newcastle,36, M(C),,17(2),1509,7,2,3.3,1.7,0.3,0.7,-,0.7,0.9,7.48
16,Martin Skrtel Liverpool,37, D(C),,36,3222,7,1,0.4,0.2,0.3,0.3,-,0.1,0.3,7.46
17,Daniel Sturridge Liverpool,33, M(R),FW,26(3),2277,21,7,3.4,1.0,1.3,1.3,0.7,1.8,1.8,7.45
18,Mathieu Debuchy Newcastle,37, D(CR),M(R),28(1),2494,1,3,1.2,0.8,0.6,0.8,0.2,0.5,1.0,7.44
19,Philippe Coutinho Liverpool,30, M(CLR),,28(5),2338,5,7,2.8,2.0,1.8,1.2,0.1,1.5,1.0,7.44
20,Joe Lewis Cardiff,35, GK,,1,90,-,-,-,-,-,-,-,-,-,7.41
21,Raheem Sterling Liverpool,27, M(CLR),FW,24(9),2221,9,5,1.4,1.6,2.8,1.9,0.2,2,1.2,7.4
22,Fernandinho Man City,37, D(CR),DMC,29(4),2609,5,3,1,1.2,1.1,0.7,-,0.8,0.8,7.4
23,Curtis Davies Hull,37, D(C),,37,3326,2,1,0.7,0.1,0.3,0.7,-,0.2,0.3,7.4
24,Martín Demichelis Man City,41, D(C),,27,2430,2,1,0.6,0.2,0.1,0.2,-,0.1,0.2,7.39
25,Bryan Oviedo Everton,32, D(L),M(L),8(1),718,2,2,1.7,0.9,0.7,1.1,0.1,1.2,0.9,7.38
26,Olivier Giroud Arsenal,36, FW,,36,3083,16,8,3.1,1,0.7,1.6,0.8,2.2,2.7,7.36
27,Santi Cazorla Arsenal,37, M(CLR),,30(1),2597,4,8,2.4,2.2,1.6,1,0.1,1.4,1.8,7.36
28,Marcos Alonso Sunderland,31, D(CL),M(L),16,1440,-,1,1.6,1.1,1,1.6,0.1,0.9,0.8,7.34
29,Samir Nasri Man City,35, M(CLR),,29(5),2499,7,7,1.4,2.7,1.3,0.8,0.2,1.7,1,7.34
30,Séamus Coleman Everton,34, D(CR),M(R),36,3229,6,2,0.8,1.3,1.8,0.9,0.1,1.0,0.7,7.32
31,Dejan Lovren Southampton,33, D(C),,31,2788,2,1,0.7,0.1,0.2,0.7,-,0.3,0.4,7.32
32,Patrice Evra Man Utd,41, D(CL),M(L),33,2884,1,3,0.6,1.2,0.8,0.9,0.4,0.8,0.6,7.32
33,Laurent Koscielny Arsenal,37, D(C),,32,2742,2,-,0.4,0.1,0.1,0.5,-,0.3,0.3,7.32
34,Juan Mata Man Utd,34, AM(CLR),,14(1),1231,6,4,1.9,2.3,0.9,1.7,0.5,3.0,0.9,7.31
35,Romelu Lukaku Everton,29, AM(R),FW,29(2),2564,15,6,3.2,1.1,1.3,0.4,0.6,1.7,1.6,7.31
36,Gary Cahill Chelsea,36, D(C),,29(1),2623,1,1,0.6,0.3,0.2,0.7,-,0.3,0.3,7.29
37,Branislav Ivanovic Chelsea,38, D(CR),,36,3180,3,1,1.1,0.8,0.5,0.7,0.2,0.4,0.4,7.29
38,Joel Ward Crystal Palace,33, D(CLR),DMC,36,3240,-,2,0.5,0.6,0.8,1.1,0.1,0.8,0.6,7.28
39,Gareth Barry Everton,41, M(C),,32,2849,2,4,0.5,1.3,0.4,1.3,-,0.8,0.6,7.28
40,Mesut Özil Arsenal,34, M(CLR),,25(1),2150,5,9,1.2,2.9,1.7,1.0,0.4,1.3,1.8,7.27
41,César Azpilicueta Chelsea,33, D(CLR),M(R),26(3),2325,-,-,0.2,0.4,0.2,0.8,-,0.3,0.5,7.26
42,Phil Jones Man Utd,30, D(CR),DMC,26,2174,1,2,0.5,0.6,0.3,1.0,-,0.4,0.5,7.26
43,Phil Jagielka Everton,40, D(CR),,26,2316,-,1,0.6,0.2,0.2,0.7,-,0.1,0.2,7.26
44,Christian Benteke Aston Villa,31, FW,,24(2),2128,10,2,2.6,1.8,0.7,1.7,1.2,2.3,2.6,7.25
45,Leighton Baines Everton,37, D(L),M(L),32,2840,5,4,0.7,1.5,1.0,1.8,0.3,0.8,0.9,7.25
46,Willian Chelsea,34, AM(CLR),,18(7),1680,4,2,1.8,2.6,1.5,0.8,0.2,1.3,1.2,7.25
47,Pablo Zabaleta Man City,37, D(R),DMC,34(1),3079,1,6,0.6,0.9,0.2,0.9,-,0.7,0.6,7.25
48,Chico Flores Swansea,35, D(C),,30(1),2690,3,-,0.8,0.2,0.5,0.7,-,0.3,0.3,7.25
49,Gaël Clichy Man City,37, D(L),,18(2),1660,-,-,0.1,0.7,0.6,0.5,-,0.4,0.6,7.25
