,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
198,Liam Rosenior Hull,38, D(LR),M(LR),22(7),1988,2.5,1.2,0.5,0.1,2.4,0.7,0.3,-,6.86
199,George McCartney West Ham,41, D(L),,20(2),1841,1.6,0.9,0.5,0.2,5.0,0.4,0.7,-,6.85
200,Calum Chambers Southampton,27, D(CR),DMC,18(4),1641,2.0,1.7,1.0,0.1,3.5,0.7,0.2,-,6.85
201,José Enrique Liverpool,36, D(L),M(L),6(2),602,1.4,1.1,0.5,0.1,2.5,0.3,0.1,-,6.85
202,Adam Johnson Sunderland,35, M(CLR),,28(8),2446,0.5,0.5,0.4,-,0.4,0.4,-,-,6.85
203,Modibo Maiga West Ham,35, FW,,11(3),1007,0.5,-,0.9,-,1.1,0.1,0.2,-,6.85
204,Leon Osman Everton,41, M(CLR),,27(11),2174,1.6,1.1,0.7,0.1,1.0,0.8,0.2,-,6.85
205,Claudio Yacob West Brom,35, DMC,,22(5),1844,3.8,1.7,1.4,-,2.0,1.7,0.4,-,6.84
206,Nathan Redmond Norwich,28, AM(CLR),FW,23(11),2159,1.6,0.9,0.4,-,0.4,0.8,-,-,6.84
207,Danny Welbeck Man Utd,31, AM(CLR),FW,15(10),1461,0.7,0.9,0.4,-,0.9,0.5,-,-,6.84
208,John Stones Everton,28, D(CR),,15(6),1368,1.2,0.9,0.1,0.4,4.1,0.4,0.9,-,6.84
209,Michu Swansea,36, AM(C),FW,15(2),1289,0.7,0.5,0.8,-,1.5,0.5,-,-,6.84
210,Kyle Bartley Swansea,31, D(C),,1(1),91,1.5,1,2,-,5.0,-,1,-,6.84
211,Scott Parker Fulham,42, M(C),,27(2),2318,2.9,1.8,1.3,-,1.4,0.9,0.8,-,6.83
212,Ravel Morrison West Ham,29, M(C),FW,12(4),1155,1,0.7,0.8,-,0.3,0.3,0.1,-,6.83
213,Guy Demel West Ham,41, D(R),,30(2),2638,1.6,1.1,0.8,0.1,3.3,0.2,0.5,1,6.83
214,Juan Cala Cardiff,32, D(C),,7,585,2.7,2.7,1.1,0.1,5.4,0.9,0.6,-,6.83
215,Brede Hangeland Fulham,41, D(C),,23,1908,1,1.6,0.4,0.3,8.0,0.5,0.7,-,6.83
216,Ashley Westwood Aston Villa,32, DMC,,35,3081,1.6,1.4,1.1,-,0.9,0.4,0.4,-,6.82
217,Adrián West Ham,35, GK,,20,1800,-,-,0.1,-,0.5,-,-,-,6.82
218,Carlos Cuellar Sunderland,41, D(C),,4,342,2.3,0.8,0.5,0.8,9.0,0.8,1.8,1,6.82
219,Petr Cech Chelsea,40, GK,,34,3060,-,-,-,-,0.6,-,-,-,6.82
220,James Chester Hull,33, D(CLR),,22(2),1868,1.8,2.0,0.6,0.1,4.6,0.7,0.9,2,6.82
221,Charlie Adam Stoke,36, M(C),,20(11),1760,1.4,0.5,1.2,-,0.5,1.2,0.2,-,6.81
222,Jordon Mutch Cardiff,30, M(CL),,26(9),2264,1.4,0.8,1.3,-,1.0,0.9,0.2,-,6.81
223,Marc Muniesa Stoke,30, D(CL),,7(6),827,2.6,1.2,0.4,0.2,3.0,1.5,0.4,-,6.81
224,Jake Livermore Hull,32, D(C),DMC,34(2),3054,1.9,1.4,1.2,-,0.8,1.0,0.4,-,6.81
225,Marc Albrighton Aston Villa,32, D(R),M(LR),9(10),968,1.8,0.3,0.7,-,0.3,0.9,-,-,6.81
226,Connor Wickham Sunderland,29, AM(L),FW,10(5),848,0.5,0.5,1.1,-,0.5,0.3,0.1,-,6.81
227,James Morrison West Brom,36, M(CR),,23(9),2210,2.6,1.2,0.8,-,1.0,1.1,0.2,-,6.8
228,Nathan Dyer Swansea,34, M(LR),,19(8),1751,1.2,0.4,0.4,-,0.3,0.9,-,-,6.8
229,Ki Sung-Yeung Sunderland,33, DMC,,25(2),2185,1.6,0.8,0.6,-,0.8,0.6,0.2,-,6.8
230,Steven Nzonzi Stoke,33, M(C),,34(2),3041,1.7,1,1.3,-,0.8,0.6,0.2,-,6.8
231,Fabio Borini Sunderland,31, M(CLR),FW,25(7),2145,0.8,0.8,1.2,-,1.1,1.0,0.1,-,6.8
232,Steven Whittaker Norwich,38, D(LR),,16(4),1423,2.2,2.1,0.9,0.1,2.9,0.8,0.3,-,6.8
233,Yoan Gouffran Newcastle,36, M(CLR),FW,31(4),2626,1.6,1,1,-,0.9,0.6,-,-,6.8
234,Julian Speroni Crystal Palace,43, GK,,37,3330,-,-,-,-,0.5,0.1,-,-,6.8
235,Philippe Senderos Fulham,37, D(C),,12,1027,0.8,2.1,0.8,0.8,7.3,0.3,1.2,-,6.79
236,Jack Cork Southampton,33, DMC,,21(7),1736,2.3,1,0.8,-,1.7,0.8,0.1,-,6.79
237,Bradley Guzan Aston Villa,38, GK,,38,3420,0.1,-,-,-,0.8,0.1,-,-,6.78
238,Fabricio Coloccini Newcastle,40, D(C),,27,2405,1.6,2.3,0.2,1.4,3.6,0.8,0.5,-,6.78
239,Kévin Théophile-Catherine Cardiff,33, D(CLR),,26(2),2357,2.2,1.8,1.1,0.2,4.3,0.8,0.5,-,6.78
240,Oussama Assaidi Stoke,34, AM(L),FW,12(7),1112,1.8,0.6,0.4,-,0.3,0.7,-,-,6.78
241,Kieran Richardson Fulham,38, D(L),M(CL),28(3),2381,1.9,1.3,0.5,0.1,2.9,0.7,0.2,-,6.78
242,Steven Pienaar Everton,40, M(CL),,19(4),1635,1.2,0.8,1.0,-,0.3,0.8,0.1,-,6.78
243,Thomas Vermaelen Arsenal,36, D(CL),,7(7),782,1.0,1.4,0.4,0.6,5.6,0.1,0.1,-,6.77
244,Glenn Whelan Stoke,38, DMC,,28(4),2362,2.2,1.5,1.0,-,1.9,1.2,0.5,-,6.77
245,Bryan Ruiz Fulham,37, M(CLR),FW,8(4),774,1.1,0.3,0.3,-,0.8,1.6,0.2,-,6.77
246,Ryan Bertrand Chelsea,33, D(CL),M(L),1,64,1.0,-,1.0,-,4,-,-,-,6.77
247,Cabral Sunderland,34, DMC,,1,90,4.0,1,5.0,-,-,2,1,-,6.77
248,Paul Dummett Newcastle,31, D(CL),,11(7),1138,2.0,1.1,0.5,0.2,4.3,0.6,0.2,-,6.77
249,Stéphane Sessegnon West Brom,38, M(CLR),,23(3),1963,0.9,0.2,0.8,-,-,0.2,-,-,6.77
250,Ashkan Dejagah Fulham,36, M(LR),,13(9),1301,1.2,0.4,0.8,-,0.7,0.5,0.1,-,6.76
251,Leon Britton Swansea,40, M(C),,23(2),2022,1.5,2,0.3,-,0.7,0.6,0.2,-,6.76
252,Leandro Bacuna Aston Villa,31, D(LR),M(CLR),28(7),2595,2.3,1.7,1.2,0.4,2.5,1,0.1,-,6.76
253,Stevan Jovetic Man City,33, AM(CL),FW,2(11),362,0.5,0.2,0.3,-,0.1,0.3,-,-,6.75
254,Aaron Hughes Fulham,43, D(CR),,11(2),1064,0.8,1.3,0.2,0.2,8.8,0.2,1,1,6.75
