number,name,position,age,nation,team,value
331,Max Aarons,Right-Back,22,England,Norwich City,¢æ22.00m
332,Orkun K?k??,Central Midfield,21,Turkey,Feyenoord Rotterdam,¢æ22.00m
333,Ezri Konsa,Centre-Back,24,England,Aston Villa,¢æ22.00m
334,Bryan Mbeumo,Right Winger,23,Cameroon,Brentford FC,¢æ22.00m
335,Edson ?lvarez,Defensive Midfield,24,Mexico,Ajax Amsterdam,¢æ22.00m
336,Hamed Junior Traor?,Attacking Midfield,22,Cote d'Ivoire,US Sassuolo,¢æ22.00m
337,Tet?,Right Winger,22,Brazil,Olympique Lyon,¢æ22.00m
338,Pablo Fornals,Attacking Midfield,26,Spain,West Ham United,¢æ22.00m
339,Daichi Kamada,Attacking Midfield,26,Japan,Eintracht Frankfurt,¢æ22.00m
340,Giovani Lo Celso,Central Midfield,26,Argentina,Villarreal CF,¢æ22.00m
341,Gerson,Central Midfield,25,Brazil,Olympique Marseille,¢æ22.00m
342,Cengiz ?nder,Right Winger,25,Turkey,Olympique Marseille,¢æ22.00m
343,Kyle Walker-Peters,Right-Back,25,England,Southampton FC,¢æ22.00m
344,Joe Willock,Central Midfield,23,England,Newcastle United,¢æ22.00m
345,Noa Lang,Left Winger,23,Netherlands,Club Brugge KV,¢æ22.00m
346,Christoph Baumgartner,Attacking Midfield,23,Austria,TSG 1899 Hoffenheim,¢æ22.00m
347,Malcom,Right Winger,25,Brazil,Zenit St. Petersburg,¢æ22.00m
348,Nikola Vlasic,Attacking Midfield,24,Croatia,Torino FC,¢æ22.00m
349,Demarai Gray,Left Winger,26,England,Everton FC,¢æ22.00m
350,Joan Jord?n,Central Midfield,28,Spain,Sevilla FC,¢æ22.00m
351,David Raya,Goalkeeper,26,Spain,Brentford FC,¢æ22.00m
352,Gregor Kobel,Goalkeeper,24,Switzerland,Borussia Dortmund,¢æ22.00m
353,Jan Bednarek,Centre-Back,26,Poland,Southampton FC,¢æ22.00m
354,Reinildo Mandava,Left-Back,28,Mozambique,Atl?tico de Madrid,¢æ22.00m
355,N?lson Semedo,Right-Back,28,Portugal,Wolverhampton Wanderers,¢æ22.00m
356,Thilo Kehrer,Centre-Back,25,Germany,West Ham United,¢æ22.00m
357,?lex Remiro,Goalkeeper,27,Spain,Real Sociedad,¢æ22.00m
358,Djibril Sow,Central Midfield,25,Switzerland,Eintracht Frankfurt,¢æ22.00m
359,Julian Weigl,Defensive Midfield,26,Germany,SL Benfica,¢æ22.00m
360,Victor Lindel?f,Centre-Back,28,Sweden,Manchester United,¢æ22.00m
361,Sardar Azmoun,Centre-Forward,27,Iran,Bayer 04 Leverkusen,¢æ22.00m
362,James Tarkowski,Centre-Back,29,England,Everton FC,¢æ22.00m
363,Abdoulaye Doucour?,Central Midfield,29,Mali,Everton FC,¢æ22.00m
364,Kevin Volland,Second Striker,30,Germany,AS Monaco,¢æ22.00m
365,Mauro Icardi,Centre-Forward,29,Argentina,Paris Saint-Germain,¢æ22.00m
366,Thomas M?ller,Second Striker,32,Germany,Bayern Munich,¢æ22.00m
367,Gianluca Mancini,Centre-Back,26,Italy,AS Roma,¢æ21.00m
368,Odilon Kossounou,Centre-Back,21,Cote d'Ivoire,Bayer 04 Leverkusen,¢æ20.00m
369,Castello Lukeba,Centre-Back,19,France,Olympique Lyon,¢æ20.00m
370,Unai Vencedor,Central Midfield,21,Spain,Athletic Bilbao,¢æ20.00m
371,Jean-Clair Todibo,Centre-Back,22,France,OGC Nice,¢æ20.00m
372,Anthony Elanga,Left Winger,20,Sweden,Manchester United,¢æ20.00m
373,Rayan A?t-Nouri,Left-Back,21,France,Wolverhampton Wanderers,¢æ20.00m
374,Sofiane Diop,Left Winger,22,France,AS Monaco,¢æ20.00m
375,Adam Hlozek,Left Winger,20,Czech Republic,Bayer 04 Leverkusen,¢æ20.00m
376,Illan Meslier,Goalkeeper,22,France,Leeds United,¢æ20.00m
377,Anthony Gordon,Left Winger,21,England,Everton FC,¢æ20.00m
378,Luka Sucic,Central Midfield,19,Croatia,Red Bull Salzburg,¢æ20.00m
379,Hugo Guillam?n,Defensive Midfield,22,Spain,Valencia CF,¢æ20.00m
380,J?r?my Doku,Right Winger,20,Belgium,Stade Rennais FC,¢æ20.00m
381,Jeremie Frimpong,Right-Back,21,Netherlands,Bayer 04 Leverkusen,¢æ20.00m
382,David Neres,Right Winger,25,Brazil,SL Benfica,¢æ20.00m
383,Nico Gonz?lez,Central Midfield,20,Spain,Valencia CF,¢æ20.00m
384,Maxence Lacroix,Centre-Back,22,France,VfL Wolfsburg,¢æ20.00m
385,Nahuel Molina,Right-Back,24,Argentina,Atl?tico de Madrid,¢æ20.00m
386,Caio Henrique,Left-Back,25,Brazil,AS Monaco,¢æ20.00m
387,Nikola Milenkovi?,Centre-Back,24,Serbia,ACF Fiorentina,¢æ20.00m
388,Francisco Trinc?o,Right Winger,22,Portugal,Sporting CP,¢æ20.00m
389,Nicolas Seiwald,Central Midfield,21,Austria,Red Bull Salzburg,¢æ20.00m
390,Samuel Chukwueze,Right Winger,23,Nigeria,Villarreal CF,¢æ20.00m
391,Dod?,Right-Back,23,Brazil,ACF Fiorentina,¢æ20.00m
392,Davide Frattesi,Central Midfield,22,Italy,US Sassuolo,¢æ20.00m
393,Lovro Majer,Attacking Midfield,24,Croatia,Stade Rennais FC,¢æ20.00m
394,Patson Daka,Centre-Forward,23,Zambia,Leicester City,¢æ20.00m
395,Diogo Dalot,Right-Back,23,Portugal,Manchester United,¢æ20.00m
396,Pervis Estupi??n,Left-Back,24,Ecuador,Brighton & Hove Albion,¢æ20.00m
397,Nordi Mukiele,Right-Back,24,France,Paris Saint-Germain,¢æ20.00m
398,Trevoh Chalobah,Centre-Back,23,England,Chelsea FC,¢æ20.00m
399,Ben Godfrey,Centre-Back,24,England,Everton FC,¢æ20.00m
400,Noussair Mazraoui,Right-Back,24,Morocco,Bayern Munich,¢æ20.00m
401,Rico Henry,Left-Back,25,England,Brentford FC,¢æ20.00m
402,Joelinton,Attacking Midfield,26,Brazil,Newcastle United,¢æ20.00m
403,Ridle Baku,Right-Back,24,Germany,VfL Wolfsburg,¢æ20.00m
404,Rafael Borr?,Centre-Forward,26,Colombia,Eintracht Frankfurt,¢æ20.00m
405,Marcus Thuram,Centre-Forward,25,France,Borussia M?nchengladbach,¢æ20.00m
406,David Raum,Left-Back,24,Germany,RB Leipzig,¢æ20.00m
407,Lucas Torreira,Defensive Midfield,26,Uruguay,Galatasaray A.S.,¢æ20.00m
408,Andrea Pinamonti,Centre-Forward,23,Italy,US Sassuolo,¢æ20.00m
409,Mehdi Taremi,Centre-Forward,30,Iran,FC Porto,¢æ20.00m
410,David Garc?a,Centre-Back,28,Spain,CA Osasuna,¢æ20.00m
411,Kelechi Iheanacho,Centre-Forward,25,Nigeria,Leicester City,¢æ20.00m
412,Taiwo Awoniyi,Centre-Forward,25,Nigeria,Nottingham Forest,¢æ20.00m
413,Yerry Mina,Centre-Back,27,Colombia,Everton FC,¢æ20.00m
414,Mario Hermoso,Centre-Back,27,Spain,Atl?tico de Madrid,¢æ20.00m
415,Florian Neuhaus,Central Midfield,25,Germany,Borussia M?nchengladbach,¢æ20.00m
416,Antonin Barak,Attacking Midfield,27,Czech Republic,Hellas Verona,¢æ20.00m
417,Ricardo Horta,Left Winger,27,Portugal,SC Braga,¢æ20.00m
418,Wilmar Barrios,Defensive Midfield,28,Colombia,Zenit St. Petersburg,¢æ20.00m
419,Daniel Podence,Right Winger,26,Portugal,Wolverhampton Wanderers,¢æ20.00m
420,Rafa Silva,Second Striker,29,Portugal,SL Benfica,¢æ20.00m
421,Aritz Elustondo,Centre-Back,28,Spain,Real Sociedad,¢æ20.00m
422,Moussa Demb?l?,Centre-Forward,26,France,Olympique Lyon,¢æ20.00m
423,Ricardo Pereira,Right-Back,28,Portugal,Leicester City,¢æ20.00m
424,Adama Traor?,Right Winger,26,Spain,Wolverhampton Wanderers,¢æ20.00m
425,Ruben Loftus-Cheek,Central Midfield,26,England,Chelsea FC,¢æ20.00m
426,Bryan Cristante,Defensive Midfield,27,Italy,AS Roma,¢æ20.00m
427,Alejandro Grimaldo,Left-Back,26,Spain,SL Benfica,¢æ20.00m
428,Ben Davies,Left-Back,29,Wales,Tottenham Hotspur,¢æ20.00m
429,Stanislav Lobotka,Defensive Midfield,27,Slovakia,SSC Napoli,¢æ20.00m
430,Fred,Central Midfield,29,Brazil,Manchester United,¢æ20.00m
431,H?ctor Beller?n,Right-Back,27,Spain,Arsenal FC,¢æ20.00m
432,Andrea Belotti,Centre-Forward,28,Italy,Without Club,¢æ20.00m
433,Matteo Politano,Right Winger,29,Italy,SSC Napoli,¢æ20.00m
434,Remo Freuler,Central Midfield,30,Switzerland,Nottingham Forest,¢æ20.00m
435,Lewis Dunk,Centre-Back,30,England,Brighton & Hove Albion,¢æ20.00m
436,Leandro Trossard,Left Winger,27,Belgium,Brighton & Hove Albion,¢æ20.00m
437,Danny Ings,Centre-Forward,30,England,Aston Villa,¢æ20.00m
438,Lorenzo Insigne,Left Winger,31,Italy,Toronto FC,¢æ20.00m
439,Jordan Pickford,Goalkeeper,28,England,Everton FC,¢æ20.00m
440,Geoffrey Kondogbia,Defensive Midfield,29,Central African Republic,Atl?tico de Madrid,¢æ20.00m
441,Luis Muriel,Centre-Forward,31,Colombia,Atalanta BC,¢æ20.00m
442,Leonardo Spinazzola,Left-Back,29,Italy,AS Roma,¢æ20.00m
443,Michael Keane,Centre-Back,29,England,Everton FC,¢æ20.00m
444,Granit Xhaka,Defensive Midfield,29,Switzerland,Arsenal FC,¢æ20.00m
445,Philippe Coutinho,Left Winger,30,Brazil,Aston Villa,¢æ20.00m
446,Lucas Moura,Right Winger,30,Brazil,Tottenham Hotspur,¢æ20.00m
447,Christian Eriksen,Attacking Midfield,30,Denmark,Manchester United,¢æ20.00m
448,Sergio Canales,Attacking Midfield,31,Spain,Real Betis Balompi?,¢æ20.00m
449,Thiago,Central Midfield,31,Spain,Liverpool FC,¢æ20.00m
450,Aleksandar Mitrovi?,Centre-Forward,27,Serbia,Fulham FC,¢æ20.00m
451,Toni Kroos,Central Midfield,32,Germany,Real Madrid,¢æ20.00m
452,Wendel,Central Midfield,24,Brazil,Zenit St. Petersburg,¢æ19.00m
453,J?r?mie Boga,Left Winger,25,Cote d'Ivoire,Atalanta BC,¢æ19.00m
454,Vanderson,Right-Back,21,Brazil,AS Monaco,¢æ18.00m
455,Kamaldeen Sulemana,Left Winger,20,Ghana,Stade Rennais FC,¢æ18.00m
456,Kouadio Kon?,Central Midfield,21,France,Borussia M?nchengladbach,¢æ18.00m
457,Rayan Cherki,Right Winger,19,France,Olympique Lyon,¢æ18.00m
458,Aaron Hickey,Left-Back,20,Scotland,Brentford FC,¢æ18.00m
459,Arnaud Kalimuendo,Centre-Forward,20,France,Stade Rennais FC,¢æ18.00m
460,Dwight McNeil,Left Winger,22,England,Everton FC,¢æ18.00m
461,Youssouf Fofana,Central Midfield,23,France,AS Monaco,¢æ18.00m
462,Mohammed Salisu,Centre-Back,23,Ghana,Southampton FC,¢æ18.00m
463,Bryan Gil,Left Winger,21,Spain,Tottenham Hotspur,¢æ18.00m
464,Pep?,Left Midfield,25,Brazil,FC Porto,¢æ18.00m
465,Tariq Lamptey,Right-Back,21,Ghana,Brighton & Hove Albion,¢æ18.00m
466,Noni Madueke,Right Winger,20,England,PSV Eindhoven,¢æ18.00m
467,Enock Mwepu,Central Midfield,24,Zambia,Brighton & Hove Albion,¢æ18.00m
468,Musa Barrow,Left Winger,23,The Gambia,Bologna FC 1909,¢æ18.00m
469,Eric Garc?a,Centre-Back,21,Spain,FC Barcelona,¢æ18.00m
470,Jack Harrison,Left Winger,25,England,Leeds United,¢æ18.00m
471,Oliver Skipp,Defensive Midfield,21,England,Tottenham Hotspur,¢æ18.00m
472,Vitaliy Mykolenko,Left-Back,23,Ukraine,Everton FC,¢æ18.00m
473,Claudinho,Attacking Midfield,25,Brazil,Zenit St. Petersburg,¢æ18.00m
474,Manor Solomon,Left Winger,23,Israel,Fulham FC,¢æ18.00m
475,Ryan Sessegnon,Left Midfield,22,England,Tottenham Hotspur,¢æ18.00m
476,Arthur,Defensive Midfield,26,Brazil,Juventus FC,¢æ18.00m
477,Sergi?o Dest,Right-Back,21,United States,FC Barcelona,¢æ18.00m
478,Alfonso Pedraza,Left-Back,26,Spain,Villarreal CF,¢æ18.00m
479,Mason Holgate,Centre-Back,25,England,Everton FC,¢æ18.00m
480,Noah Okafor,Centre-Forward,22,Switzerland,Red Bull Salzburg,¢æ18.00m
481,Ch? Adams,Centre-Forward,26,Scotland,Southampton FC,¢æ18.00m
482,Umar Sadiq,Centre-Forward,25,Nigeria,UD Almer?a,¢æ18.00m
483,Todd Cantwell,Left Midfield,24,England,Norwich City,¢æ18.00m
484,Kristoffer Ajer,Centre-Back,24,Norway,Brentford FC,¢æ18.00m
485,Jonathan Ikon?,Right Winger,24,France,ACF Fiorentina,¢æ18.00m
486,Philip Billing,Central Midfield,26,Denmark,AFC Bournemouth,¢æ18.00m
487,Daniel James,Right Winger,24,Wales,Leeds United,¢æ18.00m
488,Brahim D?az,Attacking Midfield,23,Spain,AC Milan,¢æ18.00m
489,Lukas Nmecha,Centre-Forward,23,Germany,VfL Wolfsburg,¢æ18.00m
490,Tom Davies,Central Midfield,24,England,Everton FC,¢æ18.00m
491,Brais M?ndez,Right Winger,25,Spain,Real Sociedad,¢æ18.00m
492,Ugurcan Cakir,Goalkeeper,26,Turkey,Trabzonspor,¢æ18.00m
493,Moussa Niakhat?,Centre-Back,26,France,Nottingham Forest,¢æ18.00m
494,Steven Bergwijn,Left Winger,24,Netherlands,Ajax Amsterdam,¢æ18.00m
495,Mattia Zaccagni,Attacking Midfield,27,Italy,SS Lazio,¢æ18.00m
496,Benjamin Bourigeaud,Right Midfield,28,France,Stade Rennais FC,¢æ18.00m
497,Dean Henderson,Goalkeeper,25,England,Nottingham Forest,¢æ18.00m
498,Joe Gomez,Centre-Back,25,England,Liverpool FC,¢æ18.00m
499,Alex Telles,Left-Back,29,Brazil,Sevilla FC,¢æ18.00m
500,Zeki Celik,Right-Back,25,Turkey,AS Roma,¢æ18.00m
