number,name,position,age,nation,team,value
78,Gabriel Jesus,Centre-Forward,25,Brazil,Arsenal FC,¢æ50.00m
79,Arnaut Danjuma,Centre-Forward,25,Netherlands,Villarreal CF,¢æ50.00m
80,Kalvin Phillips,Defensive Midfield,26,England,Manchester City,¢æ50.00m
81,Mikel Merino,Central Midfield,26,Spain,Real Sociedad,¢æ50.00m
82,Tammy Abraham,Centre-Forward,24,England,AS Roma,¢æ50.00m
83,Gianluigi Donnarumma,Goalkeeper,23,Italy,Paris Saint-Germain,¢æ50.00m
84,Fikayo Tomori,Centre-Back,24,England,AC Milan,¢æ50.00m
85,James Maddison,Attacking Midfield,25,England,Leicester City,¢æ50.00m
86,Lucas Hern?ndez,Centre-Back,26,France,Bayern Munich,¢æ50.00m
87,Jos? Mar?a Gim?nez,Centre-Back,27,Uruguay,Atl?tico de Madrid,¢æ50.00m
88,Patrik Schick,Centre-Forward,26,Czech Republic,Bayer 04 Leverkusen,¢æ50.00m
89,Alisson,Goalkeeper,29,Brazil,Liverpool FC,¢æ50.00m
90,Marco Verratti,Central Midfield,29,Italy,Paris Saint-Germain,¢æ50.00m
91,Lionel Messi,Right Winger,35,Argentina,Paris Saint-Germain,¢æ50.00m
92,Richarlison,Centre-Forward,25,Brazil,Tottenham Hotspur,¢æ48.00m
93,Cristian Romero,Centre-Back,24,Argentina,Tottenham Hotspur,¢æ48.00m
94,Rapha?l Varane,Centre-Back,29,France,Manchester United,¢æ48.00m
95,Paul Pogba,Central Midfield,29,France,Juventus FC,¢æ48.00m
96,Jonathan David,Centre-Forward,22,Canada,LOSC Lille,¢æ45.00m
97,Raphinha,Right Winger,25,Brazil,FC Barcelona,¢æ45.00m
98,Ferran Torres,Left Winger,22,Spain,FC Barcelona,¢æ45.00m
99,Martin ¨ªdegaard,Attacking Midfield,23,Norway,Arsenal FC,¢æ45.00m
100,Franck Kessi?,Central Midfield,25,Cote d'Ivoire,FC Barcelona,¢æ45.00m
101,Lorenzo Pellegrini,Attacking Midfield,26,Italy,AS Roma,¢æ45.00m
102,Tomas Soucek,Defensive Midfield,27,Czech Republic,West Ham United,¢æ45.00m
103,Marcos Llorente,Central Midfield,27,Spain,Atl?tico de Madrid,¢æ45.00m
104,?ngel Correa,Second Striker,27,Argentina,Atl?tico de Madrid,¢æ45.00m
105,Ederson,Goalkeeper,29,Brazil,Manchester City,¢æ45.00m
106,Aymeric Laporte,Centre-Back,28,Spain,Manchester City,¢æ45.00m
107,Jan Oblak,Goalkeeper,29,Slovenia,Atl?tico de Madrid,¢æ45.00m
108,Robert Lewandowski,Centre-Forward,34,Poland,FC Barcelona,¢æ45.00m
109,Amine Gouiri,Centre-Forward,22,France,OGC Nice,¢æ42.00m
110,Christian Pulisic,Right Winger,23,United States,Chelsea FC,¢æ42.00m
111,Jarrod Bowen,Right Winger,25,England,West Ham United,¢æ42.00m
112,Mateo Kovacic,Central Midfield,28,Croatia,Chelsea FC,¢æ42.00m
113,Gabriel Martinelli,Left Winger,21,Brazil,Arsenal FC,¢æ40.00m
114,Nuno Mendes,Left-Back,20,Portugal,Paris Saint-Germain,¢æ40.00m
115,Y?remy Pino,Right Winger,19,Spain,Villarreal CF,¢æ40.00m
116,Bruno Guimar?es,Defensive Midfield,24,Brazil,Newcastle United,¢æ40.00m
117,Wesley Fofana,Centre-Back,21,France,Leicester City,¢æ40.00m
118,Dejan Kulusevski,Right Winger,22,Sweden,Tottenham Hotspur,¢æ40.00m
119,Emile Smith Rowe,Attacking Midfield,22,England,Arsenal FC,¢æ40.00m
120,Ibrahima Konat?,Centre-Back,23,France,Liverpool FC,¢æ40.00m
121,Dayot Upamecano,Centre-Back,23,France,Bayern Munich,¢æ40.00m
122,Ben White,Centre-Back,24,England,Arsenal FC,¢æ40.00m
123,Diego Carlos,Centre-Back,29,Brazil,Aston Villa,¢æ40.00m
