,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
176,Pasquale Mazzocchi Salernitana,27, D(R),M(R),15,1277,1.9,0.7,1.2,0.3,1.9,1.3,-,-,6.67
177,Luigi Sepe Salernitana,31, GK,,16,1394,-,0.1,-,-,0.4,-,-,-,6.67
178,Jakub Kiwior Spezia,22, D(C),DMC,21(1),1963,2.3,1.8,1.2,-,2.2,1.4,0.7,-,6.66
179,Emil Audero Sampdoria,25, GK,,29,2562,0.1,0.1,-,-,0.9,0.1,-,-,6.66
180,Morten Thorsby Sampdoria,26, M(CLR),,35,2952,1.3,0.7,2.3,-,1.1,0.8,0.3,-,6.66
181,Omar Colley Sampdoria,29, D(C),,31(1),2749,1.5,2.5,0.8,0.4,4.2,0.3,0.6,-,6.66
182,Nicola Zalewski Roma,20, M(L),,9(7),799,2.0,1.0,0.6,-,0.1,0.9,0.1,-,6.66
183,Luiz Felipe Lazio,25, D(C),,28(3),2494,1.3,1.1,0.9,0.5,3.2,0.5,1.1,-,6.66
184,Mattias Svanberg Bologna,23, M(CL),,31(5),2576,1.1,0.8,1.0,-,0.8,1.1,0.3,-,6.66
185,Koray Günter Verona,28, D(C),,29(1),2416,1.1,2.3,1.4,0.2,3.5,0.5,0.7,1,6.66
186,Mattia Caldara Venezia,28, D(C),,30(1),2703,1.5,2.0,0.9,0.4,4.6,0.5,1.2,-,6.66
187,Rodrigo Bentancur Juventus,25, M(C),,13(6),1157,1.7,1.4,1.3,-,0.7,0.7,0.1,-,6.65
188,Antonio Sanabria Torino,26, FW,,22(7),1814,0.1,0.1,0.9,-,0.3,0.1,0.1,-,6.65
189,Rodrigo Becão Udinese,26, D(C),,35,3132,2.3,1.2,1.6,0.3,2.5,0.7,0.6,-,6.65
190,Ivan Ilic Verona,21, M(C),,30(2),2537,1.2,0.7,1.4,-,1.7,1.1,0.4,1,6.65
191,Mamadou Coulibaly Salernitana,23, M(C),,9(3),810,1.3,0.9,1.3,-,0.5,1.1,-,-,6.64
192,Francesco Caputo Sassuolo,35, FW,,2,158,-,-,-,-,-,-,-,-,6.64
193,Nahitan Nández Cagliari,26, M(CLR),,16(5),1521,1.9,0.4,1.3,-,0.7,0.7,-,-,6.63
194,Alessandro Florenzi AC Milan,31, D(R),M(CLR),12(12),1152,1.2,1.1,0.4,0.1,0.3,0.8,0.1,-,6.63
195,Stefano Sensi Sampdoria,27, AM(C),,10(1),761,1.6,0.5,1.6,-,0.4,1.2,-,-,6.63
196,Bram Nuytinck Udinese,32, D(C),,23(4),2037,1.4,0.8,0.6,0.4,3.5,0.7,1.1,-,6.63
197,Silvan Hefti Genoa,24, D(R),,14(2),1290,3.1,1.3,0.8,0.5,1.8,1.6,0.3,-,6.63
198,Davide Zappacosta Atalanta,30, D(R),M(LR),29(5),2360,0.9,0.4,0.9,0.1,0.5,0.5,0.1,-,6.63
199,Brahim Díaz AC Milan,23, AM(CLR),,25(6),1872,0.7,0.3,0.7,-,0.1,0.5,-,-,6.62
200,Alexis Sánchez Inter,33, M(CLR),FW,7(20),863,0.3,0.1,0.4,-,0.1,0.3,-,-,6.62
201,Igor Julio Fiorentina,24, D(C),M(L),23(7),2240,1.8,1,0.9,0.8,1.4,0.3,0.6,-,6.62
202,Alex Ferrari Sampdoria,28, D(CR),,20(3),1653,1.7,1.7,1.3,0.3,2.7,0.6,1,-,6.62
203,Matteo Pessina Atalanta,25, AM(CR),,18(9),1444,1,0.5,0.6,-,0.2,0.7,0.1,-,6.62
204,Koffi Djidji Torino,29, D(CL),,21(4),1738,1.9,1.4,1.0,0.4,2.3,0.2,0.4,-,6.61
205,Jérémie Boga Sassuolo,25, AM(CLR),FW,8(4),672,0.6,0.2,0.1,-,-,0.1,-,-,6.61
206,Andrea Consigli Sassuolo,35, GK,,37,3322,-,-,0.1,-,0.8,0.1,-,-,6.61
207,Rolando Mandragora Torino,25, DMC,,16(5),1319,1,0.5,1.2,-,0.6,0.4,0.2,-,6.61
208,Arthur Theate Bologna,22, D(C),,28(3),2428,1.1,1.4,0.8,0.5,2,0.5,0.5,-,6.61
209,Roberto Soriano Bologna,31, AM(CLR),,32(3),2639,1.6,0.6,1.4,-,0.9,1.1,0.1,-,6.61
210,Mattia De Sciglio Juventus,29, D(CLR),M(LR),13(7),1168,1.2,0.5,0.8,-,1.3,0.7,-,-,6.61
211,Pawel Dawidowicz Verona,27, D(C),,13(4),1196,1.8,1.2,1.5,0.4,3.0,0.5,0.6,-,6.6
212,Pietro Terracciano Fiorentina,32, GK,,31(1),2860,-,0.1,-,-,1.3,0.1,-,-,6.6
213,Berat Djimsiti Atalanta,29, D(C),,25(6),2257,1.4,1,0.7,0.3,1.7,0.5,0.4,1,6.6
214,Rui Patrício Roma,34, GK,,38,3420,-,-,-,-,0.3,-,-,-,6.6
215,Rick Karsdorp Roma,27, D(R),M(R),32(4),2890,1.5,0.9,0.8,0.2,0.6,0.6,0.1,-,6.59
216,Luca Pellegrini Juventus,23, D(L),M(L),15(3),1117,1.3,0.3,1.3,-,0.9,0.4,0.1,-,6.59
217,Aleksey Miranchuk Atalanta,26, M(CR),FW,7(12),769,0.6,0.1,0.7,-,0.3,0.4,-,-,6.59
218,Gianluca Mancini Roma,26, D(C),DMC,33,2884,1.2,1.2,1.8,0.8,2.0,0.5,0.6,-,6.59
219,Salvatore Sirigu Genoa,35, GK,,37,3330,-,-,-,-,0.6,-,-,1,6.59
220,Simon Kjaer AC Milan,33, D(C),,10(1),806,1.8,0.8,1.8,0.3,3.3,0.5,1.2,1,6.59
221,Nicolò Casale Verona,24, D(C),,30(6),2596,1.3,1.4,1.2,0.1,2.4,0.4,0.3,-,6.58
