,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
62,Alex Meret Napoli,25, GK,,7,620,-,-,21.6,86.8,-,4.6,-,6.87
63,Guglielmo Vicario Empoli,25, GK,,38,3420,-,-,29.2,74.9,-,4.7,-,6.87
64,Lukasz Skorupski Bologna,31, GK,,36,3240,-,-,30.2,72.0,-,7.1,-,6.86
65,Pierre Kalulu AC Milan,22, D(CR),,21(7),1939,2,0.3,38.9,89.8,0.2,1.8,-,6.86
66,Etrit Berisha Torino,33, GK,,10,900,-,-,28.1,49.5,-,5.9,-,6.86
67,Junior Messias AC Milan,31, AM(CR),FW,14(12),1430,2,0.8,18.5,72.8,0.3,0.4,-,6.86
68,Mario Pasalic Atalanta,27, M(CL),,24(13),2010,6,1.1,26.6,81.1,-,0.9,-,6.86
69,Dries Mertens Napoli,35, AM(CLR),FW,16(14),1389,1,1.1,17.3,76.2,0.1,0.7,0.1,6.86
70,Marko Arnautovic Bologna,33, AM(CLR),FW,32(1),2706,1,1.3,26.7,73.7,0.1,0.4,-,6.85
71,Hirving Lozano Napoli,27, AM(LR),FW,20(10),1622,5,0.9,17.5,82.1,0.5,0.2,-,6.85
72,Sasa Lukic Torino,26, M(C),,34(1),2987,4,0.9,48.8,87.8,0.3,2.1,0.1,6.85
73,Dusan Vlahovic Juventus,22, FW,,12(3),1078,1,0.6,14.7,68.3,0.1,0.9,-,6.85
74,Beto Udinese,24, FW,,24(4),2175,-,0.7,12.7,68.7,-,0.3,-,6.84
75,Adrien Tameze Verona,28, M(C),,26(12),2580,2,0.7,32.1,81.1,0.2,1.7,0.1,6.84
76,Jerdy Schouten Bologna,25, DMC,,16(1),1394,1,0.7,46.2,84.7,-,1.7,-,6.84
77,Josip Ilicic Atalanta,34, AM(CLR),FW,8(12),837,4,1.7,22.4,76.3,0.8,1.6,0.1,6.84
78,Álvaro Morata Juventus,29, AM(L),FW,26(9),2312,7,1.3,18.1,75.7,0.1,0.8,0.1,6.83
79,Nicolás Domínguez Bologna,24, DMC,,23(5),2027,3,1.0,42.3,83.4,0.1,2.8,0.1,6.83
80,Amir Rrahmani Napoli,28, D(CL),,33,2928,-,0.2,60.8,91.1,-,3.2,-,6.83
81,Adrian Semper Genoa,24, GK,,1,90,-,-,34.0,52.9,-,8.0,-,6.83
