,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating,Country
49,Blaise Matuidi ,35, M(CL),,27(5),2355,1,0.5,42.1,91.6,0.1,1.3,0,6.8,6.77,France
50,Valon Behrami ,37, M(C),,18(2),1407,1,0.5,25.1,82.3,0.1,1,0,6.77,6.61,Switzerland
51,Blerim Dzemaili ,36, M(C),,14(1),1196,0,0.7,31.5,79,0.1,1.4,0.1,6.75,6.64,Switzerland
52,Piotr Zielinski ,28, M(CL),,14(22),1659,2,1,35.7,88,0,1.1,0.1,6.75,6.47,Poland
53,João Mário ,29, M(CLR),,5(9),548,3,1.2,24.9,89.4,0.8,0.3,0.1,6.65,6.64,Portugal
7,Toni Kroos ,32, M(C),,24(5),2072,4,1.3,75.6,91.9,0.9,8.6,0.1,7.34,7.72,Germany
13,Xherdan Shaqiri ,31, M(CLR),,10(7),793,2,1.4,24.9,84.7,1.1,1.2,0.1,7.2,7.74,Switzerland
20,Koo Ja-Cheol ,33, M(CLR),,8(6),757,2,1.1,21.3,80.2,0,1.1,0.1,7.08,6.79,South Korea
34,Gelson Fernandes ,36, DMC,,26(4),2227,2,0.4,29.2,83.7,0,1.1,0,6.83,6.26,Switzerland
44,Steven Gerrard ,42, M(C),,33(1),2900,13,2,65.3,86,1.4,7.6,0.2,7.77,6.3,England
47,Yaya Touré ,39, M(C),,35,2927,9,1.2,71.5,90.1,0.1,4.6,0.1,7.55,7.21,Ivory Coast
48,Yohan Cabaye ,36, M(C),,17(2),1509,2,1.7,49,82,0.9,3.2,0.4,7.48,7.24,France
50,Santi Cazorla ,37, M(CLR),,30(1),2597,8,2.2,62.5,86.3,1.2,3.1,0.3,7.36,6.76,Spain
52,Juan Mata ,34, AM(CLR),,14(1),1231,4,2.3,56.5,89,0.9,3.2,0.3,7.31,7.12,Spain
54,Mesut Özil ,34, M(CLR),,25(1),2150,9,2.9,63,88,1.4,1.5,0.4,7.27,7.17,Germany
55,Willian ,34, AM(CLR),,18(7),1680,2,2.6,39.4,85.6,1.5,2.9,0,7.25,6.33,Brazil
57,Marouane Fellaini ,34, M(C),,12(4),1106,1,0.3,50.5,88.5,0.1,2,0,7.21,7.05,Belgium
58,Morgan Schneiderlin ,33, DMC,,31(2),2767,1,0.9,58.5,89.3,0.1,4.2,0.1,7.21,7.22,France
61,Mousa Dembélé ,35, M(CR),,22(6),1823,1,1.1,40.4,90.8,0,2.6,0,7.14,7.04,Belgium
65,Moussa Sissoko ,33, M(CR),,35,3036,6,2.2,38.5,81.2,0.8,1.3,0.2,7.09,6.62,France
67,Frank Lampard ,44, M(C),,20(6),1705,3,1.3,40.2,82.4,1.3,2.4,0,7.07,7.64,England
68,Ramires ,35, M(CR),,29(1),2610,2,1.1,46.4,83.8,0.3,2.9,0.1,7.07,6.39,Brazil
69,Oscar ,31, M(CLR),,24(9),2144,2,1.5,38.2,83.3,0.6,2.2,0,7.04,7.39,Brazil
73,Jack Wilshere ,30, M(CLR),,19(5),1720,4,1.4,50.8,86.1,0.1,2.5,0.4,7.01,6.47,England
