,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating,Country
43,Marcelo Brozovic ,29, M(CR),,21(10),1924,9,2.0,53.7,87.9,1.0,4.2,0.2,7.2,6.75,Croatia
44,Lucas Torreira ,26, DMC,,36,3185,1,1.0,60.8,87.2,0.8,2.5,0.0,7.17,6.86,Uruguay
45,Milan Badelj ,33, M(C),,27,2355,1,1.6,64.9,83.2,0.3,4.1,0.1,7.12,7.06,Croatia
46,Sami Khedira ,35, M(C),,24(2),1922,2,0.6,36.6,87.2,0.1,1.4,0.0,6.91,6.54,Germany
47,Lucas Biglia ,36, DMC,,24(4),2043,1,0.9,58.7,91.0,0.0,4.5,0.0,6.88,6.23,Argentina
48,Matías Vecino ,31, M(C),,25(4),2137,2,0.8,55.1,88.3,0.0,1.7,0.1,6.83,6.82,Uruguay
49,Blaise Matuidi ,35, M(CL),,27(5),2355,1,0.5,42.1,91.6,0.1,1.3,0.0,6.8,6.77,France
50,Valon Behrami ,37, M(C),,18(2),1407,1,0.5,25.1,82.3,0.1,1.0,0.0,6.77,6.61,Switzerland
51,Blerim Dzemaili ,36, M(C),,14(1),1196,0,0.7,31.5,79.0,0.1,1.4,0.1,6.75,6.64,Switzerland
52,Piotr Zielinski ,28, M(CL),,14(22),1659,2,1.0,35.7,88.0,0.0,1.1,0.1,6.75,6.47,Poland
53,João Mário ,29, M(CLR),,5(9),548,3,1.2,24.9,89.4,0.8,0.3,0.1,6.65,6.64,Portugal
