,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
191,Philippe Coutinho ,30, M(CLR),,5(7),500,0,0.1,25.2,86.8,0.3,0.6,0.0,6.46,0
192,Benjamin Bourigeaud ,28, M(CLR),,38,3215,12,3.2,42.1,76.9,2.7,2.7,0.1,7.44,0
193,Téji Savanier ,30, M(C),,28(1),2422,7,2.1,47.5,72.4,1.6,5.5,0.2,7.4,0
194,Aurélien Tchouaméni ,22, DMC,,33(2),2933,2,0.6,58.9,86.7,0.1,3.1,0.1,7.32,0
195,Marco Verratti ,29, M(C),,23(1),1951,2,1.3,87.3,91.6,0.1,2.7,0.2,7.21,0
196,Bruno Guimarães ,24, DMC,,19(1),1642,3,1.8,66.5,88.0,0.3,4.7,0.3,7.21,0
197,in Faivre ,24, AM(CLR),,20(1),1801,5,1.8,35.0,83.3,1.9,1.2,0.1,7.2,0
198,Franck Honorat ,26, M(LR),,34,2911,4,1.7,28.7,74.5,1.6,1.2,0.1,7.13,0
199,Lovro Majer ,24, AM(CR),,21(8),1841,8,1.6,33.0,81.0,0.8,1.6,0.1,7.06,0
200,in Faivre ,24, AM(CLR),,9(5),889,0,1.9,37.7,87.9,1.7,1.3,0.1,7.03,0
201,Kamaldeen Sulemana ,20, AM(L),,11(9),1018,2,1.1,16.0,80.3,0.4,1.3,0.0,7.0,0
202,Jimmy Cabot ,28, M(LR),,24,2012,4,0.8,45.6,80.9,0.5,3.1,0.0,6.99,0
203,Florian Tardieu ,30, M(C),,29(1),2631,2,1.6,63.1,86.5,1.2,5.0,0.1,6.98,0
204,Adrien Thomasson Strasbourg,28, M(CLR),,27(4),2397,4,1.1,39.5,78.8,0.4,1.4,0.2,6.94,0
205,Seko Fofana ,27, M(C),,38,3364,1,1.1,45.8,89.8,0.2,1.7,0.0,6.94,0
206,Cheick Oumar Doucouré ,22, DMC,,33(1),2948,4,1.2,55.7,87.5,0.0,2.4,0.2,6.94,0
207,Houssem Aouar ,24, M(CL),,29(7),2508,4,1.1,39.1,86.9,0.1,1.2,0.2,6.93,0
208,Sofiane Diop ,22, AM(CLR),,24(6),1959,4,1.3,28.7,77.6,0.9,1.4,0.2,6.9,0
209,Flavien Tait ,29, M(CLR),,24(4),2131,3,1.1,44.0,86.4,0.1,2.8,0.0,6.9,0
210,Gerson ,25, M(CLR),,29(6),2553,4,0.9,35.6,90.4,0.1,1.0,0.0,6.89,0
211,Mattéo Guendouzi ,23, M(C),,35(3),3154,6,0.9,55.1,88.4,0.2,3.1,0.1,6.87,0
212,Idrissa Gueye ,32, M(C),,18(8),1641,1,0.6,53.0,93.5,0.0,1.4,0.0,6.86,0
213,Youcef Belaïli ,30, AM(L),,11(2),832,2,1.4,25.2,76.1,1.0,2.0,0.2,6.86,0
214,Renato Sanches ,25, M(CR),,20(5),1657,5,1.4,44.9,85.1,0.8,4.8,0.1,6.85,0
215,Azor Matusiwa ,24, DMC,,29,2469,1,0.6,40.6,83.7,0.0,3.4,0.0,6.84,0
