,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
130,John Brooks ,29, D(C),,29(2),2619,1.5,1.3,3.9,0.6,6.73,0
134,Cristian Gamboa ,32, D(R),,20(3),1725,2.6,1.4,1.3,0.3,6.72,0
135,Moussa Niakhaté ,26, D(CL),,29(1),2567,1.3,1.7,2.2,0.4,6.72,0
136,Corentin Tolisso ,28, D(R),M(CR),8(7),705,0.7,0.6,0.7,0.1,6.72,0
139,Manuel Akanji ,27, D(CR),,25(1),2263,1.3,1.3,2.1,0.6,6.71,0
142,Louis Jordan Beyer ,22, D(CR),,14(2),1294,2.9,0.8,2.9,0.3,6.71,0
143,Timo Baumgartl ,26, D(C),,25,2169,2.4,1.5,2.2,0.4,6.71,0
146,Marvin Friedrich ,26, D(C),,13,1170,1.3,1.8,3.4,0.5,6.7,0
148,Jeffrey Gouweleeuw ,31, D(C),,29,2578,1.7,1.7,4,0.6,6.7,0
150,Lukas Klostermann ,26, D(CLR),M(R),17(6),1648,1.3,1.1,2.3,0.1,6.69,0
151,Piero Hincapié ,20, D(CL),,20(7),1752,1.2,1.2,2,0.6,6.69,0
152,Benjamin Henrichs ,25, D(LR),DMC,12(10),1138,1.4,0.9,0.6,0,6.69,0
153,Niko Gießelmann ,30, D(CL),M(L),25(3),2093,0.9,0.6,1,0.1,6.69,0
155,Waldemar Anton ,26, D(CR),DMC,29,2597,1.4,1.1,3.9,0.6,6.68,0
156,Rani Khedira ,28, D(C),DMC,32,2765,2.3,1.6,0.8,0.3,6.68,0
161,Marc Oliver Kempf ,27, D(C),,10(2),841,1.1,1.3,2.1,1.2,6.67,0
162,Konrad Laimer ,25, D(R),M(CR),15(11),1246,1.5,0.2,0.3,0.1,6.67,0
165,Chris Richards ,22, D(C),,13(6),1301,1.4,1.2,2.5,0.5,6.66,0
170,Gerrit Holtmann ,27, D(L),M(LR),22(6),1765,0.5,0.3,0.1,0.1,6.65,0
172,Mitchel Bakker ,22, D(L),M(L),19(6),1825,1.3,0.9,1.6,0.1,6.65,0
174,Hiroki Ito ,23, D(C),,26(3),2348,1.5,1.8,3,0.7,6.64,0
175,Kevin Mbabu ,27, D(R),M(R),14(10),1389,1.3,1.5,1.3,0.3,6.64,0
179,Vasilios Lampropoulos ,32, D(C),,13,1169,1.4,1.3,4.1,0.8,6.63,0
180,Bastian Oczipka ,33, D(CL),M(L),9(9),929,1.3,0.7,0.9,0.1,6.63,0
182,Axel Witsel ,33, D(C),M(C),22(7),1946,1.4,0.9,1.2,0.3,6.62,0
183,Erhan Masovic ,23, D(C),,16(3),1461,1.8,1.7,3.3,1,6.62,0
184,Marc Oliver Kempf ,27, D(C),,12,1052,0.8,2.1,4,0.6,6.61,0
192,Maxim Leitsch ,24, D(C),,17(2),1537,0.9,1.6,3.7,1,6.6,0
195,Eduard Löwen ,25, D(C),M(C),14(11),1346,1.1,0.3,0.6,0.1,6.6,0
199,Martin Hinteregger ,29, D(C),,25(2),2222,1.7,1.6,2.9,0.6,6.6,0
200,Josip Stanisic ,22, D(R),,6(7),646,1.6,0.8,0.7,0,6.59,0
202,Konstantinos Stafylidis ,28, D(LR),DMC,14(9),1299,1.6,1.2,1.7,0.3,6.59,0
203,Sebastiaan Bornauw ,23, D(C),,23(4),2008,1.1,1.6,3.4,0.3,6.59,0
206,Niklas Stark ,27, D(C),DMC,22(4),2028,1.1,1.4,4.5,0.7,6.59,0
209,Yannick Gerhardt ,28, D(L),M(CL),17(10),1577,1.6,0.9,0.8,0,6.58,0
211,Pavel Kaderábek ,30, D(R),M(LR),14(5),1202,0.6,0.7,1.1,0.3,6.58,0
213,Benno Schmitz ,27, D(CLR),,29(2),2433,1.8,1.3,1.2,0.3,6.58,0
217,Makoto Hasebe ,38, D(CR),M(CR),12(6),1184,1.5,1.2,1.8,0.4,6.57,0
222,Stefan Posch ,25, D(CR),,26(2),2203,1.7,1,2.4,0.6,6.57,0
223,Armel Bella-Kotchap ,20, D(C),,19(2),1679,1.6,1.9,4,0.8,6.56,0
226,Nico Elvedi ,25, D(CLR),,28,2432,1.4,1.2,2.9,0.8,6.55,0
228,Luca Kilian ,22, D(C),,25(5),2282,1.4,1.5,3.5,0.4,6.55,0
229,Marco Meyerhöfer Greuther Fuerth,26, D(R),M(R),25(1),2281,2,1.8,2.2,0.7,6.55,0
230,Odilon Kossounou ,21, D(CR),,20(7),1791,0.9,1,2.2,0.5,6.55,0
237,Rafael Czichos ,32, D(C),,16(1),1404,1.7,1.1,3,0.8,6.54,0
240,Omar Richards ,24, D(L),M(L),5(7),437,1.6,0.3,0.4,0.1,6.54,0
242,Andrés Andrade ,23, D(CL),,12(5),1046,1.6,1.1,2.5,0.4,6.53,0
247,Tanguy Nianzou ,20, D(C),,6(11),577,0.6,0.4,1,0.1,6.52,0
248,Dedryck Boyata ,31, D(C),,22(1),1900,0.7,0.7,5.8,0.6,6.52,0
249,Julian Ryerson ,24, D(R),M(CLR),13(15),1421,1,0.6,1.1,0.1,6.52,0
251,Kingsley Ehizibue ,27, D(R),M(R),6(10),675,2,0.6,1.4,0.3,6.52,0
254,Christopher Lenz ,27, D(L),M(L),6(9),659,1.9,0.5,1.4,0.3,6.51,0
255,Dan-Axel Zagadou ,23, D(CL),,10(5),950,0.9,1,2.5,0.3,6.51,0
258,Jérôme Roussillon ,29, D(L),M(L),18(8),1779,0.5,0.5,1.2,0.2,6.5,0
260,Nico Schulz ,29, D(L),M(L),9(7),834,1.3,0.7,0.4,0.1,6.5,0
266,Pascal Stenzel ,26, D(CR),M(R),9(7),894,1.5,0.7,1.4,0.2,6.49,0
272,Joe Scally ,19, D(R),M(R),20(10),1905,1.3,0.7,1.1,0.1,6.48,0
274,Jonathan Schmid ,32, D(R),M(CLR),6(7),583,0.9,0.5,1,0.1,6.47,0
275,Kevin Akpoguma ,27, D(CR),M(R),19(7),1535,1.3,0.8,0.9,0.1,6.47,0
278,Anderson Lucoqui ,25, D(L),M(L),9(4),743,1.6,0.8,0.6,0.2,6.46,0
280,Marius Wolf ,27, D(R),M(CLR),15(12),1324,1,0.5,0.2,0,6.45,0
282,Jacob Barrett ,27, D(L),,20(4),1641,0.7,1.2,1.7,0.3,6.45,0
285,Peter Pekarík ,35, D(LR),M(R),26(1),2239,1.7,1.1,1.9,0.4,6.44,0
286,Gian-Luca Itter Greuther Fuerth,23, D(CL),,16(8),1453,1.8,0.5,2,0.4,6.44,0
