,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
101,Scott McTominay ,25, D(C),DMC,28(2),2393,2.2,1,2,0.3,6.89,0
102,Alex Telles ,29, D(L),M(L),18(3),1660,2.3,1.2,2,0.2,6.89,0
103,Nathan Collins ,21, D(CR),,18(1),1670,1.9,1.3,4.3,1.3,6.89,0
106,Shane Duffy ,30, D(C),,15(3),1434,0.8,0.9,4.2,1,6.88,0
108,Maximilian Kilman ,25, D(C),,30,2689,1.7,1.5,3.5,0.7,6.87,0
111,Antonio Rüdiger ,29, D(CR),,34,3035,1.4,0.8,2.6,0.3,6.87,0
112,Emerson Royal ,23, D(R),M(R),26(5),2291,2.3,0.7,2.5,0.1,6.87,0
115,Davinson Sánchez ,26, D(C),,17(6),1626,1.8,1.3,2.3,0.7,6.87,0
116,in Saïss ,32, D(C),DMC,31,2709,1.3,1.9,4.8,0.7,6.87,0
117,Jordan Henderson ,32, D(C),M(CLR),29(6),2604,1,0.7,0.3,0,6.87,0
118,Hassane Kamara ,28, D(L),M(L),18(1),1625,2.8,3.6,3.2,0.2,6.86,0
119,Liam Cooper ,30, D(C),,21,1815,2,2,3.4,0.9,6.86,0
124,Diogo Dalot ,23, D(LR),M(R),19(5),1799,2.3,1.2,2.3,0.5,6.86,0
129,Kyle Walker-Peters ,25, D(LR),M(R),29(3),2632,1.8,1.2,1.3,0.3,6.84,0
131,Takehiro Tomiyasu ,23, D(CR),,20(1),1682,1.7,1.1,2.6,0.1,6.83,0
132,Mohammed Salisu ,23, D(CL),,33(1),2972,2.4,2.3,4.4,0.8,6.82,0
135,César Azpilicueta ,32, D(CLR),M(R),24(3),2075,1.9,0.9,2.3,0.3,6.82,0
136,Charlie Taylor ,28, D(CL),M(L),30(1),2731,1.5,1.9,2.3,0.6,6.82,0
137,Nélson Semedo ,28, D(LR),M(R),25,2137,2.3,0.8,2.1,0.2,6.82,0
141,Jan Bednarek ,26, D(C),,30(1),2633,1,2.3,4.5,0.9,6.81,0
142,Dan Burn ,30, D(CL),M(L),12(1),1023,1.7,1.8,3.6,0.8,6.8,0
145,Joël Veltman ,30, D(CR),M(R),33(1),2881,2.2,1.3,2.5,0.5,6.8,0
146,Lucas Digne ,29, D(CL),M(L),13,1170,2.5,1.1,1.9,0.4,6.8,0
153,Stuart Dallas ,31, D(LR),M(CLR),34,2929,2.7,1.7,1.6,0.4,6.78,0
154,Raphaël Varane ,29, D(C),,20(2),1829,1.3,0.8,3.5,0.4,6.78,0
156,Ben Davies ,29, D(CL),M(L),28(1),2540,1.2,1,2.5,0.7,6.78,0
157,Ben White ,24, D(CR),DMC,32,2880,1.4,1.3,3.2,0.8,6.78,0
159,Marc Guéhi ,22, D(C),,36,3223,1,0.8,3.5,0.7,6.77,0
164,Kieran Tierney ,25, D(CL),M(L),22,1919,0.8,0.7,2.2,0.2,6.77,0
165,Eric Dier ,28, D(CR),DMC,35,3072,0.4,0.8,4,0.9,6.77,0
166,Pontus Jansson ,31, D(C),,37,3322,1.1,1.4,5,0.7,6.76,0
168,Jonny ,28, D(CLR),M(LR),10(3),1023,1.9,1,0.6,0.2,6.76,0
169,Jonny Evans ,34, D(CL),,16(2),1350,1.3,1.1,3.3,0.7,6.76,0
171,Marçal ,33, D(CL),M(L),17(1),1453,2.3,1.6,2.2,0.2,6.75,0
172,Tyrick Mitchell ,22, D(L),,35(1),3103,2.9,1.1,2.3,0.1,6.75,0
173,Aaron Cresswell ,32, D(CL),M(L),31,2728,0.9,1.1,2.1,0.6,6.75,0
175,Gabriel Magalhães ,24, D(C),,35,3068,1.4,0.4,3.1,0.7,6.74,0
176,Kurt Zouma ,27, D(CR),,24,2080,0.5,1.4,5.5,1.1,6.74,0
178,Cheikhou Kouyaté ,32, D(CR),DMC,23(4),1978,1.9,1.4,1.2,0.5,6.74,0
179,Çaglar Söyüncü ,26, D(C),,28,2498,1.7,1.1,4,1,6.74,0
183,Tyrone Mings ,29, D(CL),,35(1),3188,0.6,1.3,4.2,0.8,6.74,0
185,Valentino Livramento ,19, D(R),,25(3),2203,1.9,1.7,1.7,0.3,6.73,0
186,Lewis Dunk ,30, D(C),,29,2574,0.3,0.9,3.8,1,6.73,0
188,Kristoffer Ajer ,24, D(CR),DMC,23(1),1987,1.2,1.1,3,0.5,6.73,0
190,Grant Hanley ,30, D(C),,33,2899,1.3,1.7,5.2,1.4,6.73,0
191,Luke Thomas ,21, D(L),M(L),21(1),1912,2.3,1.8,2.1,0.6,6.73,0
192,Jeffrey Schlupp ,29, D(L),M(CLR),20(12),1846,1.4,0.6,1,0.3,6.73,0
195,Joel Ward ,32, D(LR),DMC,27(1),2486,1.6,1.1,3.4,0.4,6.72,0
197,Michael Keane ,29, D(CR),,31(1),2793,1.4,1.9,4,0.9,6.72,0
199,Adam Webster ,27, D(C),,16(6),1432,1.2,0.8,2.8,0.8,6.72,0
200,Kyle Walker ,32, D(CR),M(R),20,1756,0.8,0.7,0.8,0.2,6.72,0
201,Matt Targett ,26, D(L),M(L),17,1434,2,1.4,1.3,0.5,6.71,0
204,Erik Pieters ,34, D(L),M(L),8(4),727,2.3,0.8,3.1,0.6,6.71,0
206,Fabian Schär ,30, D(C),,25,2161,0.6,1.3,3.8,0.7,6.7,0
207,James Justin ,24, D(CLR),M(LR),11(2),997,1.7,1.3,2.5,0.3,6.7,0
208,Timothy Castagne ,26, D(CLR),M(LR),22(5),2126,2.5,1.1,1.7,0.3,6.7,0
209,Craig Dawson ,32, D(CR),,30(4),2754,0.9,0.9,4.1,1.5,6.7,0
213,Fernandinho ,37, D(CR),DMC,10(9),960,1.1,0.4,0.7,0.1,6.7,0
216,Vitalii Mykolenko ,23, D(CL),M(L),12(1),1056,1.9,1.2,2.1,0.2,6.69,0
219,Maxwel Cornet ,25, D(L),M(LR),21(5),1778,0.6,0.4,0.5,0.2,6.69,0
220,Ryan Sessegnon ,22, D(L),M(LR),13(2),1054,1.7,0.5,1.5,0.2,6.68,0
223,Arthur Masuaku ,28, D(L),M(L),6(7),645,2.4,0.7,1.2,0.1,6.67,0
224,Joachim Andersen ,26, D(C),,32(2),2915,0.9,1.1,3.6,0.6,6.67,0
226,Granit Xhaka ,29, D(L),M(C),27,2331,1.2,0.8,1,0.2,6.67,0
234,Conor Coady ,29, D(CR),DMC,38,3364,0.8,0.7,3.7,1.1,6.66,0
237,Adam Masina ,28, D(L),M(L),13(2),1077,1.6,1.2,2.7,0.4,6.66,0
240,Ben Johnson ,22, D(LR),M(L),16(4),1401,1.7,1.1,2.5,0.4,6.65,0
243,Harry Maguire ,29, D(C),,28(2),2514,1.1,1.1,3.3,1,6.65,0
250,Luke Shaw ,27, D(CL),M(L),19(1),1603,1.1,0.5,0.9,0.6,6.64,0
259,Yerry Mina ,27, D(C),,11(2),847,0.9,0.8,2.8,0.7,6.61,0
261,Séamus Coleman ,33, D(CR),M(R),30,2658,2,1.1,2.5,0.4,6.61,0
262,Connor Roberts ,26, D(LR),M(R),19(2),1693,1,1,2.5,0.2,6.61,0
263,Dimitris Giannoulis ,26, D(L),M(L),14(4),1169,2,1.1,1.8,0.3,6.61,0
266,James Milner ,36, D(LR),M(CLR),9(15),851,1.2,0.7,0.8,0.2,6.6,0
269,Diego Llorente ,29, D(C),DMC,28,2344,1.9,1.4,2.7,0.6,6.6,0
272,Matthew Lowton ,33, D(LR),M(R),20(5),1772,1.5,1,2.5,0.4,6.59,0
274,Emil Krafth ,28, D(CR),,18(2),1638,1.9,1.3,2.5,0.5,6.59,0
286,Nathaniel Clyne ,31, D(LR),M(R),15(1),1351,1.3,0.9,1.9,0.1,6.57,0
288,Kalvin Phillips ,26, D(C),DMC,18(2),1596,2.7,1.2,0.9,0.5,6.57,0
291,Vladimír Coufal ,30, D(R),M(R),25(3),2211,1.6,0.8,2,0.3,6.56,0
299,Brandon Williams ,21, D(L),M(L),23(3),2123,2.1,1.7,1.7,0.2,6.54,0
21,Dani Alves ,39, D(R),M(CR),13(1),1103,2.1,0.8,0.6,0.2,7.03,0
24,Javi Galán ,27, D(L),M(L),37,3300,2.9,1.2,1.1,0.2,7.01,0
26,Mathías Olivera ,24, D(L),M(L),32,2807,2.5,1.7,1.7,0.1,7,0
29,Jordi Alba ,33, D(L),M(L),30,2648,1.6,1.1,1.1,0.2,6.99,0
31,Gabriel Paulista ,31, D(CR),,19,1602,1.1,2.1,4.5,0.6,6.98,0
33,Eder Militão ,24, D(CR),,34,3033,1.5,1.5,3.1,0.6,6.97,0
34,Ferland Mendy ,27, D(L),M(L),20(2),1739,1.1,0.8,0.9,0.1,6.96,0
35,Etienne Capoue ,34, D(C),M(CL),26(4),2298,1.5,1.2,1.7,0.2,6.96,0
36,José Morales ,35, D(R),M(CLR),31(4),2727,0.8,0.1,0.1,0,6.96,0
37,Marcos Acuña ,30, D(L),M(CL),26(5),2266,1.6,0.5,0.6,0.2,6.96,0
38,Marc Bartra ,31, D(CR),DMC,23,1994,1.7,1.4,4.4,1,6.95,0
39,Íñigo Martínez ,31, D(C),,26(1),2344,1,1.4,5.1,0.4,6.94,0
41,Juan Foyth ,24, D(CR),DMC,22(3),1932,2.8,0.8,1.7,0.3,6.94,0
42,David García ,28, D(C),,35,3106,0.8,1.5,4.7,0.6,6.94,0
46,Pablo Maffeo ,25, D(R),M(R),35,2952,2.4,1.3,1.7,0.4,6.93,0
50,Gerard Piqué ,35, D(C),,25(2),2097,0.8,1.3,3.1,0.6,6.93,0
55,Álex Moreno ,29, D(L),M(L),28(2),2408,2.5,1.1,2.3,0.2,6.92,0
57,Jules Koundé ,23, D(CR),,31(1),2738,1.3,0.7,3.1,0.6,6.92,0
59,Frenkie de Jong ,25, D(C),DMC,30(2),2486,1.1,0.6,0.5,0.2,6.91,0
66,Yuri Berchiche ,32, D(L),M(L),11(3),1016,1.8,0.9,1.4,0.4,6.89,0
68,Germán Pezzella ,31, D(C),,22(1),1991,0.9,1.7,4.4,0.8,6.87,0
69,Héctor Bellerín ,27, D(R),M(R),22(1),1979,2.3,1,2.4,0.1,6.87,0
71,Alfonso Pedraza ,26, D(L),M(L),19(9),1706,1.2,1.1,1,0.1,6.86,0
72,Robin Le Normand ,25, D(C),,37,3330,1.3,1.3,3.2,0.6,6.86,0
74,Pau Torres ,25, D(C),,33,2858,1,0.6,3.1,0.7,6.86,0
76,Daniel Carvajal ,30, D(R),,17(7),1553,1.8,0.8,1.3,0.3,6.85,0
79,Ronald Araújo ,23, D(CR),,25(5),2271,1.4,0.8,2,0.7,6.84,0
83,José Giménez ,27, D(CR),,24,2047,0.8,1,3.9,0.8,6.82,0
85,Yeray Álvarez ,27, D(C),,21(1),1860,1.1,2,4.3,0.7,6.82,0
86,Alfonso Espino ,30, D(L),,37,3330,2.9,1.5,2.1,0.3,6.82,0
88,Geoffrey Kondogbia ,29, D(C),DMC,21(7),1885,2.6,1.6,0.8,0.2,6.81,0
95,Dani Vivian ,23, D(C),,22(2),1985,1.3,1.1,4.5,0.6,6.8,0
97,Stefan Savic ,31, D(C),,28,2440,1.6,1.3,3.5,0.4,6.8,0
99,Alejandro Catena ,27, D(C),,36,3240,1.1,0.8,4.6,0.5,6.8,0
101,Omar Alderete ,25, D(C),,28(1),2412,1.8,1.2,5.2,0.6,6.79,0
103,Kevin Vázquez ,29, D(R),,16(1),1332,2,2.1,1.5,0.4,6.79,0
107,Nacho Vidal ,27, D(R),,33(2),2906,2.4,1.7,2,0.4,6.78,0
110,Alex Berenguer ,27, D(LR),M(CLR),24(10),2174,1.3,0.5,0.4,0.1,6.78,0
113,Aritz Elustondo ,28, D(CR),,22(8),2102,0.7,1,2.8,0.4,6.77,0
114,Reinildo ,28, D(CL),M(L),15(2),1300,2.6,1.2,1.9,0.5,6.77,0
116,Óscar De Marcos ,33, D(LR),M(CR),19(3),1685,2.3,0.9,1.2,0.1,6.76,0
118,Juan Miranda ,22, D(L),,9(4),782,1.6,1.2,1.6,0.3,6.76,0
119,Sergiño Dest ,21, D(LR),M(R),17(4),1516,1.5,0.1,0.8,0.2,6.76,0
124,David Alaba ,30, D(CL),M(CL),30,2645,0.8,0.7,2.2,0.5,6.75,0
125,Diego Carlos ,29, D(C),,34,2961,1,0.7,3.5,1,6.75,0
126,Edgar González ,25, D(C),DMC,14(7),1457,1.2,1.1,3.9,0.5,6.74,0
127,Diego Rico ,29, D(CL),M(L),19(2),1647,2,1.4,1.9,0.2,6.74,0
130,Leandro Cabrera ,31, D(CL),,37,3330,1,1.2,5.8,0.6,6.74,0
135,Lucas Vázquez ,31, D(R),M(R),20(9),1835,1.5,0.7,1.1,0.2,6.73,0
138,Carlos Akapo ,29, D(LR),,21(4),1847,1.7,2,2.2,0.3,6.72,0
139,Víctor Ruiz ,33, D(C),,17(1),1425,0.6,1.6,3.9,0.7,6.72,0
141,Jorge Cuenca ,22, D(C),,31(1),2686,1.4,1.2,4.6,0.4,6.72,0
150,Marcelo ,34, D(L),M(L),5(7),521,0.7,0.1,0.8,0.2,6.7,0
159,Damián Suárez ,34, D(R),M(R),31(4),2721,2.1,0.9,0.8,0.1,6.69,0
161,Johan Mojica ,30, D(L),M(L),32(1),2857,1.4,0.8,1.5,0.1,6.69,0
164,Helibelton Palacios ,29, D(R),,22(4),1932,2.7,0.7,2.2,0.3,6.69,0
165,Nahuel Tenaglia ,26, D(CR),,12(2),1073,3,1.9,2.5,0.1,6.68,0
166,Adrià Pedrosa ,24, D(L),M(L),31,2723,1.9,0.8,2.8,0.2,6.68,0
168,Jesús Corona ,29, D(R),M(CLR),12(6),1161,0.7,0.4,0.3,0,6.68,0
175,Marcos Llorente ,27, D(R),M(CR),29,2456,1.8,0.9,1.3,0.3,6.67,0
177,Raúl Albiol ,36, D(C),,28,2467,0.9,0.8,4.4,0.5,6.67,0
182,Andoni Gorosabel ,26, D(R),,25(7),2298,1.5,0.6,1.3,0.1,6.66,0
185,Thierry Correia ,23, D(R),M(R),18(1),1424,1.8,1,1.2,0.3,6.65,0
186,Rubén Duarte ,26, D(CL),,31(3),2630,2.2,1.7,2.1,0.2,6.65,0
187,Nacho ,32, D(CLR),,17(11),1549,0.6,1.2,1.8,0.5,6.65,0
188,Fran García ,23, D(L),,34,3027,1.8,1.3,1.3,0.2,6.65,0
190,Jesús Navas ,36, D(R),M(R),19(6),1788,0.7,0.7,0.8,0.1,6.64,0
191,Alberto Moreno ,30, D(L),M(L),13(11),1223,0.5,1.1,0.5,0,6.64,0
198,José Gayà ,27, D(L),M(L),22(2),1875,1.5,0.8,1.4,0.1,6.63,0
199,Pedro Bigas ,32, D(CL),,19,1556,1.3,0.9,4,0.8,6.63,0
200,Aïssa Mandi ,30, D(CLR),,14(3),1374,0.6,0.8,2.9,0.8,6.63,0
202,Eric García ,21, D(C),,23(3),2044,1,1.7,1.8,0.5,6.62,0
207,Óscar Duarte ,33, D(C),DMC,20(3),1775,0.8,1,4.3,0.4,6.62,0
208,Hugo Mallo ,31, D(CR),M(R),21,1830,2.1,1,2.2,0.4,6.62,0
210,Óscar Gil ,24, D(R),,20(2),1698,2.4,0.9,1,0.4,6.61,0
211,Jens Jønsson ,29, D(C),DMC,17(5),1315,1.8,1.5,1.4,0.3,6.61,0
215,Maxime Gonalons ,33, D(C),M(C),20(5),1556,1.7,0.7,1.1,0.4,6.61,0
217,Djené Dakonam ,30, D(C),,35,3117,1.3,1.7,3,0.1,6.61,0
220,Jaume Costa ,34, D(LR),M(L),21(4),1831,1.4,0.9,2.2,0.3,6.61,0
221,Jesús Vázquez ,19, D(L),,8(7),813,1.6,0.6,0.9,0.2,6.6,0
230,Íñigo Lekue ,29, D(LR),M(LR),22(3),1928,1.3,0.9,2,0.5,6.59,0
232,Daniel Wass ,33, D(LR),M(CLR),19,1592,1.2,0.7,0.8,0.1,6.59,0
235,Joseph Aidoo ,26, D(C),,30(2),2641,1.2,1.2,3,0.4,6.58,0
238,Unai García ,30, D(C),,15(3),1407,1.2,1.2,4.2,0.6,6.58,0
241,Kieran Trippier ,31, D(LR),M(R),12(3),979,1.5,0.7,0.5,0.1,6.57,0
242,Iza ,29, D(R),,17(8),1546,1.7,1.4,1.5,0.2,6.57,0
250,Iván Balliu ,30, D(R),M(R),35,3148,1.3,1.1,1.6,0.1,6.56,0
252,Mikel Balenziaga ,34, D(L),,23(3),2027,1.3,0.8,2.7,0.2,6.55,0
253,Manu Sánchez ,22, D(L),,25(8),2260,2.2,0.5,1,0.1,6.55,0
265,Fali ,29, D(C),DMC,23(5),1813,1.1,0.9,2.8,0.6,6.54,0
266,Mario Hermoso ,27, D(CL),,22(5),1872,1.1,1.1,1.7,0.1,6.54,0
267,Serge Aurier ,29, D(CLR),M(R),10(9),1003,0.7,0.6,1.2,0.4,6.53,0
268,Esteban Saveljich ,31, D(C),,21,1708,0.9,0.8,3.1,0.6,6.53,0
269,Sime Vrsaljko ,30, D(LR),M(R),10(11),910,1.3,0.6,1.2,0,6.53,0
275,Antonio Raíllo ,30, D(C),,17,1530,0.9,1.1,4.7,0.8,6.53,0
279,Felipe ,33, D(C),,15(11),1499,0.8,1.1,2.9,0.4,6.52,0
281,Sergi Gómez ,30, D(CR),,31,2724,1.1,1.3,3.8,0.7,6.52,0
282,Pervis Estupiñán ,24, D(L),,17(11),1574,1.3,0.9,0.8,0.2,6.52,0
284,Nemanja Gudelj ,30, D(C),M(C),9(12),1040,0.8,1,1.7,0.4,6.51,0
285,Néstor Araújo ,30, D(C),,29(5),2617,0.6,0.8,3,0.3,6.51,0
289,Sergio Escudero ,32, D(L),M(L),15(12),1429,1.7,1,1,0.1,6.5,0
291,Aridane Hernández ,33, D(C),,12(3),1159,0.8,1.3,4.6,0.6,6.5,0
292,Florian Lejeune ,31, D(C),,30,2700,1.1,1,5.1,0.6,6.5,0
293,Domingos Duarte ,27, D(C),,19(2),1689,0.9,1,3.8,1,6.5,0
295,Víctor Laguardia ,32, D(C),,34,3044,0.9,0.8,4.3,0.7,6.5,0
297,Josan ,32, D(R),M(R),10(21),1200,1.2,0.3,0.5,0.1,6.49,0
299,Jorge Miramón ,33, D(R),M(R),22(7),1976,1.2,1.2,1.8,0.1,6.49,0
301,Quini ,32, D(LR),,27(5),2305,2.3,1.1,1.6,0.3,6.49,0
303,Martin Valjent ,26, D(C),,36,3183,0.9,0.9,4.8,0.7,6.49,0
304,Óscar Mingueza ,23, D(CR),,9(10),892,1.3,0.5,0.9,0,6.49,0
305,Varazdat Haroyan ,30, D(C),,16(1),1439,1.8,0.9,3.6,0.7,6.49,0
307,Luis Hernández ,33, D(CR),,15(1),1366,0.6,1,2.1,0.2,6.49,0
309,Carlos Neva ,26, D(L),M(L),24(2),2115,1.2,1.2,2.2,0.3,6.48,0
312,Aihen Muñoz ,25, D(L),,15(5),1345,1.4,0.9,1.5,0.1,6.48,0
313,Enzo Roco ,30, D(C),,29(1),2555,1.2,0.9,3.6,0.9,6.48,0
314,Germán Sánchez ,35, D(C),,25(7),2298,0.8,0.9,4.3,0.5,6.47,0
316,Karim Rekik ,27, D(CL),,11(7),1095,0.6,0.5,1.1,0.3,6.47,0
320,Renan Lodi ,24, D(L),M(L),13(16),1181,1.1,0.4,0.5,0.1,6.47,0
323,Juan Cruz ,30, D(CL),,22(1),1935,1.2,0.7,2.4,0.5,6.46,0
324,Dimitri Foulquier ,29, D(CLR),M(R),25(4),2337,1.2,1,1.4,0.1,6.46,0
15,Jonathan Clauss ,29, D(R),M(R),35(2),3063,1.7,2,1.1,0,7.22,0
23,Andrei Girotto ,30, D(C),DMC,36,3150,2.4,1.9,3.9,0.9,7.13,0
27,Youcef Atal ,26, D(R),M(R),13(4),1144,1.7,1.9,1.2,0.1,7.08,0
31,Boubakar Kouyaté ,25, D(C),,30,2666,2.8,2.6,7,1.1,7.04,0
32,Frédéric Guilbert Strasbourg,27, D(CLR),M(R),28(5),2521,2.1,1.7,1.1,0.3,7.04,0
38,Hamari Traoré ,30, D(R),M(R),33,2898,1.9,1.1,2,0.2,7,0
41,Benjamin André ,32, D(R),M(CLR),33,2764,3.7,1.5,1.5,0.3,6.99,0
45,Marshall Munetsi ,26, D(C),DMC,20(4),1886,1.4,1.8,2.9,0.5,6.95,0
52,Abdou Diallo ,26, D(CL),,10(2),877,1.8,0.8,1.1,0.2,6.93,0
55,Danilo Pereira ,30, D(C),DMC,22(5),2039,1.2,1.4,1,0.4,6.93,0
56,Achraf Hakimi ,23, D(LR),M(R),28(4),2486,2.3,0.9,0.6,0.2,6.93,0
57,Fabien Centonze ,26, D(R),M(R),18(1),1587,1.7,1.7,2.4,0.4,6.92,0
58,Emerson ,28, D(L),M(L),26(3),2267,1.6,0.9,2.1,0.3,6.91,0
59,Boubacar Kamara ,22, D(CL),DMC,31(3),2779,2,1.4,1.2,0.3,6.91,0
64,Melvin Bard ,21, D(L),,30(3),2593,1.8,1.5,1.3,0.3,6.89,0
66,Nayef Aguerd ,26, D(C),,31,2738,0.9,0.8,4,0.5,6.88,0
68,William Saliba ,21, D(C),,36,3240,1.5,1.3,2.2,0.4,6.87,0
70,Jean-Clair Todibo ,22, D(C),,35(1),3116,1.6,1.4,3.6,0.6,6.87,0
71,Brendan Chardonnet ,27, D(C),,31(1),2687,1.4,1.7,4.4,0.9,6.87,0
75,Marquinhos ,28, D(CR),DMC,32,2862,1.2,0.5,3,0.6,6.86,0
77,Christopher Wooh ,20, D(C),,11(3),1051,2.1,1.5,2.8,1,6.85,0
78,Valentin Rongier ,27, D(R),M(C),25(7),2199,2.4,1,0.3,0.2,6.85,0
82,Jonathan Gradit ,29, D(CR),,35,3073,1.7,1.9,3,0.8,6.84,0
83,Ruben Aguilar ,29, D(R),M(R),22(6),2138,2.8,1.6,1.9,0.1,6.84,0
86,Julien Laporte ,28, D(C),,33,2893,1.9,1.6,5.2,0.7,6.83,0
88,Ghislain Konan ,26, D(L),M(L),28,2422,1.3,1,1.4,0.3,6.83,0
89,Sven Botman ,22, D(C),,25,2250,1,1,4.5,0.8,6.83,0
93,Reinildo ,28, D(CL),M(L),18,1531,2.4,2.1,2.6,0.2,6.81,0
100,Luan Peres ,28, D(CL),,29(5),2677,1.9,1.3,1.5,0.4,6.8,0
101,Ronaël Pierre-Gabriel ,24, D(LR),,29(1),2555,2.6,1.6,2.2,0.2,6.8,0
104,Vanderson ,21, D(R),M(R),12(5),1122,2.1,0.8,0.6,0.2,6.79,0
108,Ibrahima Sissoko Strasbourg,24, D(C),DMC,26(9),2306,1.3,1,0.7,0.3,6.79,0
110,in Thomas ,34, D(C),,29(1),2566,1.6,1.5,4.1,0.7,6.78,0
112,Sergio Ramos ,36, D(CR),,8(4),799,1,0.7,2.3,0.2,6.78,0
115,Mahdi Camara ,24, D(CR),DMC,34(1),3074,2.9,1.7,0.9,0.2,6.77,0
117,Kevin Danso ,23, D(C),,32(1),2793,1.2,1.2,3.3,0.8,6.77,0
118,Castello Lukeba ,19, D(C),,24,2097,1.4,1.6,2.5,0.4,6.77,0
120,Benoît Badiashile ,21, D(C),,21(3),1837,1.5,1.2,2.8,0.5,6.77,0
121,Maxime Le Marchand Strasbourg,32, D(CL),,9(3),857,1.4,1.2,2.4,0.4,6.77,0
122,Giulian Biancone ,22, D(CLR),M(LR),26(7),2292,2.1,1.6,2,0.2,6.77,0
125,Presnel Kimpembe ,27, D(C),,29(1),2580,1.1,1.3,2.4,0.5,6.76,0
126,Quentin Merlin ,20, D(L),M(L),21(7),1923,1.6,1,0.8,0.1,6.76,0
127,Wout Faes ,24, D(C),,37,3330,1.1,1.4,4.5,1,6.76,0
128,Yunis Abdelhamid ,34, D(C),,34,2984,1.4,2,2.9,0.7,6.76,0
129,Dimitri Lienard Strasbourg,34, D(L),M(CL),23(10),2047,2.2,0.6,0.6,0,6.76,0
132,Matthieu Udol ,26, D(CL),M(L),11(1),1006,1.9,2.6,2.1,0.6,6.75,0
133,Alexander Djiku Strasbourg,28, D(CR),DMC,30(1),2697,1.6,2,2.9,0.4,6.74,0
138,Caio Henrique ,25, D(L),M(CL),31(3),2670,1.6,0.8,1,0.2,6.74,0
140,Guillermo Maripán ,28, D(C),,21(5),1828,1.4,1,2.5,0.5,6.73,0
141,Saïdou Sow ,20, D(C),,11(2),992,2.2,1.8,2.5,0.4,6.73,0
144,Anthony Caci Strasbourg,25, D(CLR),M(L),26(11),2395,1.8,0.9,1.3,0.1,6.73,0
146,Zeki Çelik ,25, D(R),M(R),30(2),2698,2,1.3,1.6,0.3,6.73,0
148,Tiago Djaló ,22, D(CLR),,26(2),2330,2.1,0.9,2.3,0.4,6.73,0
151,Christophe Hérelle ,30, D(CR),,23,1938,2.1,1.9,3.5,0.7,6.73,0
153,Jean-Charles Castelletto ,27, D(C),,28,2512,1.6,1.1,2.6,1,6.72,0
157,Dante ,38, D(C),,33(1),2874,1.2,1.4,2.7,0.8,6.71,0
159,Nicolas Pallois ,34, D(C),,29(1),2450,1.7,1.8,3.6,0.6,6.71,0
161,Gerzino Nyamsi Strasbourg,25, D(C),,33(1),2983,1,0.7,2.5,0.5,6.7,0
163,José Fonte ,38, D(C),,38,3420,0.6,1.2,4.1,0.8,6.7,0
164,Axel Disasi ,24, D(C),,30(2),2725,1.3,0.8,2.3,0.9,6.7,0
166,Juan Bernat ,29, D(L),M(CL),12(3),965,1.6,0.5,0.9,0,6.69,0
169,Josuha Guilavogui ,31, D(C),M(C),15,1332,2.6,2.4,1.4,0.5,6.69,0
175,Lucas Perrin Strasbourg,23, D(C),,29(2),2508,1.4,1.4,2,0.4,6.68,0
177,Malo Gusto ,19, D(R),M(R),21(9),1884,1.8,1.1,1,0.2,6.68,0
178,Mamadou Sakho ,32, D(C),,29,2578,1.2,1.4,4.4,1.2,6.68,0
180,Vital N'Simba ,29, D(L),,31(3),2791,1.9,0.9,0.8,0.2,6.67,0
181,Akim Zedadka ,27, D(R),,37(1),3338,1.9,1.5,1.1,0.2,6.67,0
182,Nuno Mendes ,20, D(L),M(L),18(9),1654,1.8,0.8,0.5,0.2,6.67,0
183,Jason Denayer ,27, D(CR),DMC,12(3),1001,0.7,1.1,3.2,0.5,6.67,0
187,Facundo Medina ,23, D(CL),,30(1),2597,2,1.2,2.4,0.3,6.67,0
190,Vital N'Simba ,29, D(L),,31(3),2791,1.9,0.9,0.8,0.2,6.67,0
191,Akim Zedadka ,27, D(R),,37(1),3338,1.9,1.5,1.1,0.2,6.67,0
192,Nuno Mendes ,20, D(L),M(L),18(9),1654,1.8,0.8,0.5,0.2,6.67,0
193,Jason Denayer ,27, D(CR),DMC,12(3),1001,0.7,1.1,3.2,0.5,6.67,0
197,Facundo Medina ,23, D(CL),,30(1),2597,2,1.2,2.4,0.3,6.67,0
202,Jean-Kévin Duverne ,25, D(CLR),,33(4),3007,1.9,1.4,2.3,0.1,6.66,0
211,Léo Dubois ,27, D(LR),M(R),20(3),1747,1.9,1,1.2,0.1,6.63,0
212,Renaud Ripart ,29, D(R),M(CLR),22(6),1902,1.4,0.7,0.6,0,6.63,0
218,Damien da Silva ,34, D(C),,13(4),1127,0.8,1.3,3.1,0.6,6.62,0
220,Mihailo Ristic ,26, D(L),M(L),19(10),1808,1.5,0.6,1.4,0.2,6.62,0
221,Loïc Badé ,22, D(C),,11(3),984,0.4,0.9,3.3,0.7,6.62,0
224,Mickael Nade ,23, D(C),,29(1),2568,1.9,2,2.6,0.5,6.62,0
229,Erik Palmer-Brown ,25, D(C),,19(2),1739,1.8,1.6,4,0.9,6.61,0
230,Birger Meling ,27, D(LR),DMC,20(11),1828,1.4,0.7,0.9,0.2,6.61,0
231,Souleyman Doumbia ,25, D(L),M(L),27,2231,1.1,1.4,1.5,0.1,6.61,0
237,Duje Caleta-Car ,25, D(C),,24(2),2062,0.8,0.9,2.1,0.3,6.6,0
