,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
283,Jonjo Shelvey Newcastle,30, M(C),,22(2),1986,1.3,0.9,0.8,-,0.8,0.8,0.3,-,6.57
284,Oliver Skipp Tottenham,21, DMC,,14(4),1349,1.8,0.7,0.9,-,0.4,0.9,0.4,-,6.57
285,Rodrigo Leeds,31, M(CLR),FW,27(4),2275,0.6,0.4,0.7,-,0.8,0.9,-,-,6.57
286,Nathaniel Clyne Crystal Palace,31, D(LR),M(R),15(1),1351,1.3,0.9,0.2,0.3,1.9,0.6,0.1,-,6.57
287,Yan Valery Southampton,23, D(CR),M(R),3(2),369,1.6,1.2,0.6,0.4,3.2,1.0,0.6,-,6.57
288,Kalvin Phillips Leeds,26, D(C),DMC,18(2),1596,2.7,1.2,1.7,0.2,0.9,1.7,0.5,-,6.57
289,Harvey Elliott Liverpool,19, AM(CR),,4(2),346,0.5,0.7,0.3,-,0.3,1.0,0.2,-,6.57
290,Angus Gunn Norwich,26, GK,,9,810,-,-,-,-,1.4,-,-,-,6.56
291,Vladimír Coufal West Ham,30, D(R),M(R),25(3),2211,1.6,0.8,1,-,2.0,0.6,0.3,1,6.56
292,Joe Gomez Liverpool,25, D(CLR),,4(4),331,1.3,0.6,0.6,0.3,0.8,0.5,0.1,-,6.56
293,Alphonse Areola West Ham,29, GK,,1,90,-,-,-,-,1.0,-,-,-,6.56
294,Anthony Elanga Man Utd,20, AM(LR),,14(7),1217,1.2,0.4,0.4,-,0.2,0.7,-,-,6.56
295,Mathias Normann Norwich,26, M(C),,20(3),1653,1.5,0.8,1.6,-,1.7,1.3,0.3,-,6.56
296,Alex Oxlade Chamberlain Liverpool,29, M(CLR),,9(8),787,0.9,0.4,0.6,-,0.3,0.6,0.1,-,6.55
297,Imrân Louza Watford,23, M(CLR),,17(3),1423,2.1,2.1,1.2,-,1.0,1.1,0.3,-,6.55
298,Charlie Goode Brentford,27, D(C),,4(2),448,1.2,0.3,0.8,0.5,1.3,-,0.3,-,6.55
299,Brandon Williams Norwich,21, D(L),M(L),23(3),2123,2.1,1.7,0.9,0.2,1.7,1.1,0.2,-,6.54
