,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
286,Amine Harit ,25, AM(CLR),FW,12(11),1168,4,4,0.7,1.1,1.1,6.73,0
287,Stephy Mavididi ,24, AM(LR),FW,27(3),2313,8,3,2.0,0.8,1.3,6.71,0
288,Habib Diallo Strasbourg,27, AM(R),FW,16(15),1537,11,1,1.6,0.5,0.5,6.7,0
289,Arnaud Kalimuendo-Muinga ,20, FW,,27(5),2165,12,0,1.9,0.7,0.8,6.69,0
290,Jonathan Bamba ,26, AM(CLR),FW,28(3),2442,1,3,1.6,1.5,1.1,6.69,0
291,Kalifa Coulibaly ,31, FW,,9(12),848,5,0,1.2,0.4,0.3,6.69,0
292,Jérémy Doku ,20, AM(LR),,4(10),467,1,2,0.4,0.6,2.6,6.68,0
293,Elbasan Rashani ,29, AM(LR),,22(7),1769,8,3,1.0,0.5,0.7,6.65,0
294,Kevin Gameiro Strasbourg,35, FW,,28(7),2397,11,3,1.9,0.8,0.5,6.65,0
295,Alberth Elis ,26, AM(LR),FW,16(4),1416,9,1,1.6,0.8,0.8,6.64,0
296,Jason Berthomier ,32, AM(C),,22(7),1744,1,5,0.8,1.6,0.8,6.63,0
297,El Bilal Touré ,20, FW,,15(6),1201,2,4,1.6,0.5,0.4,6.63,0
298,Bamba Dieng ,22, AM(L),FW,11(14),976,7,1,1.5,0.4,0.2,6.61,0
299,Lucas da Cunha ,21, AM(R),,11(4),844,2,0,1.2,0.9,1.3,6.6,0
300,Florent Mollet ,30, AM(CLR),,32(3),2649,6,2,1.6,0.9,0.4,6.6,0
301,Ibrahima Koné ,23, FW,,6(10),728,5,1,0.9,0.9,0.6,6.59,0
302,Arkadiusz Milik ,28, AM(C),FW,15(8),1419,7,2,2.3,0.7,0.1,6.58,0
303,Javairô Dilrosun ,24, AM(CLR),,19(13),1738,2,6,1.3,1.0,1.4,6.57,0
304,Terem Moffi ,23, AM(R),FW,34(3),2736,8,4,1.6,0.9,0.9,6.57,0
305,Kasper Dolberg ,24, FW,,20(7),1503,6,2,1.5,0.6,0.4,6.57,0
306,Ilan Kebbal ,24, AM(C),FW,21(10),1785,1,4,0.9,1.1,0.9,6.56,0
307,Jonathan Ikoné ,24, AM(CLR),FW,13(5),1077,1,0,1.2,0.9,1.4,6.55,0
308,in Del Castillo ,26, AM(LR),FW,13(6),985,0,6,0.6,0.8,1.1,6.55,0
309,Hwang Ui-Jo ,30, AM(CLR),FW,29(3),2526,11,2,1.7,0.4,0.3,6.54,0
310,Pape Sarr ,19, AM(C),,22(11),2130,1,3,0.9,0.6,0.9,6.54,0
311,Farid Boulaya ,29, AM(CLR),FW,18(6),1534,4,2,0.8,1.3,0.8,6.54,0
312,Remi Oudin ,25, M(CLR),FW,20(13),1744,4,5,1.7,0.6,0.6,6.53,0
313,David da Costa ,21, AM(C),,16(17),1463,3,5,0.8,1.2,0.7,6.53,0
314,Martín Satriano ,21, FW,,11(4),941,4,0,1.6,0.1,0.6,6.53,0
315,Konrad De la Fuente ,21, AM(L),,9(7),788,0,2,0.9,0.6,1.3,6.52,0
316,Iké Ugbo ,23, FW,,11(3),820,5,0,1.1,0.4,0.2,6.51,0
317,Valère Germain ,32, AM(LR),FW,22(12),1978,4,3,0.9,0.6,0.1,6.51,0
318,Gaël Kakuta ,31, M(CLR),FW,20(9),1685,3,2,1.4,0.7,0.9,6.51,0
319,Timothy Weah ,22, AM(LR),FW,17(12),1620,3,4,1.2,0.9,0.7,6.5,0
320,Julian Draxler ,28, AM(CLR),FW,5(13),542,2,1,0.5,0.5,0.6,6.49,0
321,Domenico Berardi ,28, AM(R),FW,33,2838,15,14,3.3,2.5,0.9,7.43,0
322,Rafael Leão ,23, AM(L),FW,31(3),2621,11,8,2.9,1.3,2.9,7.37,0
323,Sergej Milinkovic-Savic ,27, AM(C),,36(1),3111,11,11,2.0,1.4,1.2,7.36,0
324,Dusan Vlahovic ,22, FW,,21,1862,17,2,3.6,1.0,1.0,7.33,0
325,Ciro Immobile ,32, FW,,31,2718,27,2,3.8,0.9,0.6,7.31,0
326,Luis Muriel ,31, AM(CL),FW,17(10),1543,9,8,2.1,2.2,2.3,7.3,0
327,Hakan Çalhanoglu ,28, M(CLR),FW,33(1),2509,7,12,1.9,2.6,0.4,7.28,0
328,Victor Osimhen ,23, FW,,23(4),1993,14,2,3.4,0.6,1.1,7.22,0
329,Ivan Perisic ,33, M(CLR),FW,35,2844,8,7,1.3,1.6,0.7,7.22,0
330,Paulo Dybala ,28, AM(CR),FW,26(3),2074,10,5,3.4,1.3,1.6,7.22,0
331,Gianluca Caprari ,29, AM(CLR),FW,33(2),2755,12,7,1.9,1.8,1.9,7.2,0
332,Lautaro Martínez ,25, FW,,28(7),2302,21,3,3.4,0.8,0.6,7.18,0
333,Tammy Abraham ,24, FW,,36(1),3099,17,4,2.6,1.0,1.0,7.17,0
334,Nicolò Barella ,25, AM(C),,36,2933,3,12,1.9,1.8,1.0,7.13,0
335,Lorenzo Insigne ,31, AM(CL),FW,28(4),2311,11,9,2.9,2.0,1.3,7.09,0
336,Edin Dzeko ,36, FW,,27(9),2476,13,5,2.4,1.1,0.5,7.07,0
337,Duván Zapata ,31, FW,,20(4),1732,10,4,3.4,1.6,1.2,7.06,0
338,Gerard Deulofeu ,28, AM(CLR),FW,31(3),2628,13,5,2.3,2.4,1.5,7.04,0
339,Felipe Anderson ,29, M(CLR),FW,33(5),2900,6,8,1.2,1.3,1.5,7.02,0
340,Nicolás González ,24, M(CLR),FW,26(7),2361,7,6,2.2,1.1,1.7,7.02,0
341,Mattia Zaccagni ,27, AM(CL),FW,21(8),1881,4,5,1.1,0.9,1.6,7.01,0
342,Abdelhamid Sabiri ,25, AM(CL),FW,9(5),895,3,2,1.1,0.9,1.2,7.0,0
343,Henrikh Mkhitaryan ,33, M(CLR),FW,29(2),2505,5,6,1.8,1.3,1.1,6.99,0
344,Olivier Giroud ,35, FW,,22(7),1905,11,3,2.2,0.9,0.1,6.99,0
345,Milan Djuric ,32, FW,,23(10),2173,5,3,1.5,1.0,0.2,6.97,0
346,Luis Alberto ,29, AM(CL),FW,27(7),2363,5,10,1.4,1.9,0.8,6.96,0
347,Federico Chiesa ,24, M(CLR),FW,11(3),868,2,2,2.0,1.2,1.5,6.94,0
348,Antonin Barak ,27, AM(C),,27(2),2348,11,4,1.8,1.0,1.1,6.91,0
349,Ruslan Malinovskyi ,29, M(CR),FW,19(11),1603,6,4,1.9,1.5,1.6,6.91,0
350,Simone Verdi ,30, AM(CLR),FW,11(4),838,5,0,2.4,1.3,1.8,6.9,0
351,Pedro ,35, M(CLR),FW,25(7),2043,9,5,1.1,0.9,1.0,6.89,0
352,Hamed Traorè ,22, AM(CLR),,21(10),1780,7,2,1.6,1.2,2.0,6.89,0
353,Giovanni Simeone ,27, AM(R),FW,32(3),2669,17,5,2.0,0.7,0.7,6.89,0
354,Junior Messias ,31, AM(CR),FW,14(12),1430,5,2,1.7,0.8,1.2,6.86,0
355,Dries Mertens ,35, AM(CLR),FW,16(14),1389,11,1,1.5,1.1,0.6,6.86,0
356,Marko Arnautovic ,33, AM(CLR),FW,32(1),2706,14,1,2.8,1.3,1.1,6.85,0
357,Hirving Lozano ,27, AM(LR),FW,20(10),1622,5,5,1.7,0.9,1.0,6.85,0
358,Dusan Vlahovic ,22, FW,,12(3),1078,7,1,2.9,0.6,0.7,6.85,0
359,Beto ,24, FW,,24(4),2175,11,0,2.3,0.7,1.4,6.84,0
360,Josip Ilicic ,34, AM(CLR),FW,8(12),837,3,4,1.6,1.7,1.4,6.84,0
361,Álvaro Morata ,29, AM(L),FW,26(9),2312,9,7,1.7,1.3,0.7,6.83,0
362,Zlatan Ibrahimovic ,40, FW,,11(12),1009,8,3,2.2,1.0,0.2,6.82,0
363,Gianluca Scamacca ,23, FW,,25(11),2155,16,0,2.2,0.7,0.6,6.82,0
364,João Pedro ,30, AM(CLR),FW,37,3325,13,4,2.5,0.8,0.9,6.77,0
365,Josip Brekalo ,24, AM(CLR),FW,26(6),2297,7,2,1.4,1.9,1.3,6.77,0
366,Musa Barrow ,23, AM(CL),FW,25(9),2147,6,6,2.1,1.3,0.9,6.75,0
367,Giacomo Raspadori ,22, AM(CL),FW,32(4),2757,10,5,2.0,1.2,1.0,6.75,0
368,Andrea Pinamonti ,23, FW,,32(4),2871,13,2,2.5,0.8,0.5,6.74,0
369,Filip Djuricic ,30, AM(CLR),FW,9(3),678,2,1,1.4,0.9,1.5,6.72,0
370,Andrea Belotti ,28, FW,,16(6),1378,8,1,2.6,0.5,0.7,6.71,0
371,Manolo Gabbiadini ,30, AM(CLR),FW,15(3),1147,6,2,2.4,0.9,0.2,6.71,0
372,Daniele Verde Spezia,26, AM(CLR),,21(12),1959,8,6,1.6,1.2,0.5,6.7,0
373,Joaquín Correa ,28, AM(CL),FW,12(14),1024,6,1,1.3,0.7,0.7,6.7,0
374,Tommaso Pobega ,23, AM(C),,24(9),2240,4,3,1.5,0.8,0.4,6.69,0
375,Nedim Bajrami ,23, AM(C),,23(12),2063,6,5,1.5,1.5,1.2,6.68,0
376,Mattia Aramu ,27, AM(CR),,25(7),2112,7,5,1.8,1.1,0.5,6.68,0
377,Francesco Caputo ,35, FW,,31(5),2799,11,4,1.5,1.1,0.4,6.68,0
378,Nicolò Zaniolo ,23, AM(CR),FW,23(5),1985,2,2,2.5,1.0,2.0,6.67,0
