,Unnamed: 0,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating,Country
473,14,Bremer,25, D(C),,33,2895,1.5,3.2,4.0,0.7,7.22,0,Brazil
482,48,Danilo,31, D(CLR),DMC,22,1895,1.7,1.5,2.1,0.5,6.93,0,Brazil
485,61,Matthijs de Ligt,23, D(C),,29(2),2675,1.1,0.8,3.1,0.7,6.87,0,Netherlands
488,85,Teun Koopmeiners,24, D(C),M(C),23(7),2129,1.3,0.5,0.5,0.1,6.82,0,Netherlands
490,90,Denzel Dumfries,26, D(R),M(R),21(12),2028,1.0,0.3,0.5,0.2,6.81,0,Netherlands
496,106,Marten de Roon,31, D(C),DMC,28(2),2549,2.3,1.5,1.4,0.1,6.78,0,Netherlands
511,133,Ethan Ampadu,21, D(C),DMC,26(3),2289,2.3,1.8,2.5,0.7,6.73,0,Wales
512,134,Weston McKennie,24, D(C),M(CLR),15(6),1372,1.0,1.1,0.9,0.4,6.73,0,United States
513,135,Stefan de Vrij,30, D(C),,28(2),2413,1.3,1.1,1.7,0.3,6.73,0,Netherlands
523,165,Nahuel Molina,24, D(R),M(R),31(4),2650,1.2,0.6,1.0,0.1,6.68,0,Argentina
542,208,Arthur Theate,22, D(C),,28(3),2428,1.1,1.4,2.0,0.5,6.61,0,Belgium
554,231,Alex Sandro,31, D(CL),M(L),17(11),1776,1.0,1.0,1.3,0.2,6.57,0,Brazil
567,276,Maya Yoshida,34, D(CR),,19(7),1823,0.7,1.1,2.7,0.8,6.53,0,Japan
